title,salary,location,employer,employer_rating,summary,search_city,search_role
Senior People Data Analyst - Los Angeles,,"Los Angeles, CA",TikTok,3.5,Establish and iterate people analytics framework and methodology via data mining and understanding the root data logic of Bytedance HR management systems.,Los+Angeles,data scientist
Data Scientist,,"Los Angeles, CA 90066 (Del Rey area)",Exponent,4.0,We leverage over 50 years of experience in analyzing accidents and failures to advise clients as they innovate their technologically complex products and…,Los+Angeles,data scientist
Machine Learning Scientist - Remote,,"Los Angeles, CA 90002+1 location•Remote",UnitedHealth Group,3.6,"Our team conducts cutting-edge research in the health care space and incubates data-driven digital solutions which aim to improve patients’ health outcomes,…",Los+Angeles,data scientist
Statistician/Methodologist,,"Santa Monica, CA•Remote",Lionsgate,4.1,"The team members will be required to collaborate across teams and utilize internal datasets and industry data, applying modern methodological statistical…",Los+Angeles,data scientist
Data Scientist,,"Hollywood, CA",Universal Orlando,4.0,"How to pull data from numerous sources and leverage Python, Minitab, Tableau and other data techniques to make sense of data, create insights, Formulate and…",Los+Angeles,data scientist
Senior Data Analyst,,"Los Angeles, CA 90291 (Venice area)",Snapchat,3.6,"This team of designers, scientists, and product managers work in a highly collaborative environment to build the products and experiences that bring our…",Los+Angeles,data scientist
Data Scientist,,"Los Angeles, CA+2 locations",sharethrough,4.7,"Present findings to data scientists and product managers to influence product roadmaps.
Work with our data engineering team to make the data needed for your…",Los+Angeles,data scientist
Data Scientist (Analytics),,"Los Angeles, CA 90064 (Sawtelle area)",Singularity 6,,"Contribute to the overall data efforts at Singularity 6, setting the bar for analytics standards and challenging technical norms.",Los+Angeles,data scientist
,,"Los Angeles, CA 90025 (West Los Angeles area)•Remote","Neustar, Inc.",3.9,Establish deterministic and probabilistic linkages between data sources and develop ways to extract and summarize the sought information in the data using a…,Los+Angeles,data scientist
Sr. (Data) Marketing Scientist,,"Burbank, CA 91505",The Walt Disney Studios,4.2,"For the data science specialization, areas might include applied mathematics, statistics, machine learning, or computer science.
Proficiency with R or Python.",Los+Angeles,data scientist
Earth Science Data Engineer,,"Pasadena, CA 91109",JPL/NASA,4.3,"The SDS is the integrated set of software, hardware, facilities, people and procedures with the capability to process, manage, distribute, explore, and analyze…",Los+Angeles,data scientist
Senior Data Analyst,,"Santa Monica, CA",Activision,3.8,The user acquisition analytics role is building the foundation that will shape analytics and automation for user acquisition across Activision.,Los+Angeles,data scientist
Senior Data Scientist,,"Los Angeles, CA",Foursquare,4.0,"Data scientists at Foursquare are also highly collaborative, working largely with Product and Engineering stakeholders to deploy machine learning models and…",Los+Angeles,data scientist
Lead Data Scientist,,"Los Angeles, CA 90013 (Downtown area)",Deloitte,4.0,"Actively mentor Junior data scientists on good software practices.
Our focus is on bringing data, analytics, and technology together with our deep expertise in…",Los+Angeles,data scientist
