title,salary,location,employer,employer_rating,summary,search_city,search_role
,"$49,770 - $92,430 a year","Englewood, CO+1 location",BOEING,3.9,"Researches and performs basic analysis of processes, applications, systems and data to identify functional requirements for application or system design.",Denver,data analyst
Data Analyst,,"Highlands Ranch, CO 80129",LOCKHEED MARTIN CORPORATION,4.0,"Must have demonstrated experience providing accurate data and calculations, with unfailing attention to detail.
Strong written and verbal communication.",Denver,data analyst
,$31.72 - $47.57 an hour,"Aurora, CO",Children's Hospital Colorado,3.9,"Supports management in the analysis and interpretation of data to identify trends or areas requiring attention.
Hours per week: 40, eligible for benefits.",Denver,data analyst
,$25.80 - $38.70 an hour,"Denver, CO+1 location",UCHealth,3.7,"Familiar with analytical, reporting and data visualization tools as well as familiar with all applicable vendor data platforms.
Work Schedule: Full Time Days.",Denver,data analyst
Data Analyst,"$55,000 - $92,000 a year","Denver, CO 80205 (Five Points area)",CRB,3.7,"Elicit data related business requirements from stakeholders and develop associated technical specifications.
Extreme attention to detail and accuracy a must.",Denver,data analyst
,,"Denver, CO+1 location",City and County of Denver,3.6,"Designing, building, and validating relational database queries and extractions via backend data access.
Designs, builds, and validates relational database…",Denver,data analyst
Icqa Data Analyst,,"Aurora, CO",Amazon.com Services LLC,3.5,"Development of data collection processes and data management systems.
Initiative to develop tools, data collection processes, and data management systems.",Denver,data analyst
Senior Data Analyst,"$82,800 - $92,000 a year","Denver, CO 80202 (Central Business District area)+2 locations•Remote",Strive Health,3.5,"Working knowledge of analyzing medical claim, lab data, EMR data and clinical data.
At least 3+ years’ experience in healthcare data analysis.",Denver,data analyst
,"$72,400 - $126,600 a year","Denver, CO","Amazon Web Services, Inc.",3.5,"The ideal candidate will have worked in-depth in data analysis, including experience extracting and manipulating data using SQL, leveraging advanced Excel…",Denver,data analyst
Business Analyst,"$54,000 - $70,000 a year","Glendale, CO",Covius,3.3,"Additionally, the Business Analyst will review and interrogate large amounts of data to determine the characteristics as well as the integrity of the data.",Denver,data analyst
Data Analyst Supply Chain Informatics,$31.61 - $47.41 an hour,"Aurora, CO",UCHealth,3.7,"Minimum Experience: 3 years of data analysis work experience.
Performs and reports advanced data analysis.
Develops and implements tools for data collection,…",Denver,data analyst
Enterprise Bi Analyst,,"Denver, CO 80217 (Central Business District area)•Remote",University of Colorado,4.1,"Experience in shared data governance environment, supporting a coordinated approach to data leadership, including data use and management.",Denver,data analyst
Data Analytics/Fraud Strategy Analyst,"$83,000 - $132,600 a year","Lone Tree, CO 80124•Remote work available",Charles Schwab,3.9,"Daily monitoring and analysis of relevant data to identify and advance emerging fraud trends.
4+ years of data analytics and/or general analysis experience,…",Denver,data analyst
Entry Level Data Analyst (Recent Grad),"$50,000 - $60,000 a year","Littleton, CO",ClientSolv Technologies,2.5,Validate large amounts of data to ensure data quality in a variety of different ways depending on the data and its consumer.,Denver,data analyst
,"$52,525 - $87,614 a year","Denver, CO 80202 (Central Business District area)","Kleinfelder, Inc.",3.4,"Working knowledge of data, including the ability to understand a data model and how it relates to the business.
Solid analytical and problem solving skills.",Denver,data analyst
,"$71,316 - $80,520 a year","Lakewood, CO 80401",State of Colorado Job Opportunities,3.3,"Department Information We serve all Colorado residents in their everyday lives. The department is driven by our values of service, teamwork, accountability,…",Denver,data scientist
,"$99,333 - $178,795 a year","Denver, CO+1 location•Remote",Oracle,3.8,"Explore, innovate and develop digital data insights to help our clients leverage the power of digital marketing to drive new customer acquisition, engagement…",Denver,data scientist
,"$70,000 - $90,000 a year","Denver, CO",Appcast Inc.,2.8,Category Product Location Denver Job Details Appcast is currently looking for a dynamic and motivated Data Scientist. This role is an exciting opportunity…,Denver,data scientist
Geospatial Data Scientist,"$81,000 - $151,000 a year","Denver, CO 80202 (Central Business District area)",Verizon,3.9,"When you join Verizon Verizon is one of the world's leading providers of technology and communications services, transforming the way we connect across the…",Denver,data scientist
Data Scientist - Nationwide Opportunities,"$119,300 - $160,000 a year","Denver, CO+3 locations","Amazon Web Services, Inc.",3.5,"· Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent…",Denver,data scientist
Senior Data Scientist,"$117,000 - $217,000 a year","Denver, CO 80202 (Central Business District area)",Verizon,3.9,"When you join Verizon Verizon is one of the world's leading providers of technology and communications services, transforming the way we connect across the…",Denver,data scientist
,,"Denver, CO 80238•Remote",Frontdoor,,"Overview Frontdoor is a company that’s obsessed with taking the hassle out of owning a home. With services powered by people and enabled by technology, it is…",Denver,data scientist
Data Scientist,,"Denver, CO",bp,3.8,Job Profile Summary Role Synopsis The Data Scientist will be responsible for running analytical experiments in a methodical manner and will regularly…,Denver,data scientist
Natural Language Processing Specialist,,"Evergreen, CO 80437",Ometrics,,"Compensation: Hourly, part time or full time Location: Must be able to come into the Evergreen, Colorado office part of the week. Ometrics is hiring a…",Denver,data scientist
Data Scientist,"$82,700 - $117,566 a year","Denver, CO 80202 (Union Station area)",Xcel Energy,3.6,"Responsible for modeling complex business problems and discovering insights through the use of statistical, algorithmic, mining and visualization techniques.…",Denver,data scientist
Principal Data Scientist,"$110,000 - $204,000 a year","Denver, CO 80202 (Central Business District area)",Verizon,3.9,"When you join Verizon Verizon is one of the world's leading providers of technology and communications services, transforming the way we connect across the…",Denver,data scientist
Data Scientist,"$90,000 - $120,000 a year","Denver, CO 80231",Project Canary,,"Project Canary is a growth-stage, SaaS and certification company combatting climate change from an incredible vantage point that can impact oil & gas,…",Denver,data scientist
,"$190,000 - $276,000 a year","Denver, CO+2 locations",Credera,4.1,"Principal Architect Data ScienceDenver Description As a Principal Architect in Credera’s Data & Analytics (D&A) practice, you will serve in an integral…",Denver,data scientist
"Sr. Manager, Data Scientist","$122,700 - $200,300 a year","Lone Tree, CO 80124•Remote work available",Charles Schwab,3.9,"Your Opportunity We are looking for a curious, optimistic, and innovative data scientist who takes initiative to solve problems that help our clients and one…",Denver,data scientist
Epidemiology And Data Science Professional,"$62,400 - $78,000 a year","Greenwood Village, CO 80111",Tri-County Health Department,4.1,"Epidemiology and Data Science Professional Tri-County Health Department (Full-Time, Administration Office/Hybrid) What we do: Promote, protect and improve…",Denver,data scientist
"Data Analytics Manager, Denver Health Medical Plan","$102,200 - $150,200 a year","Denver, CO 80204 (Lincoln Park area)",Denver Health,,This role will develop a data analytics roadmap by creating work standards which enhance the data self-service capabilities and ability to produce consistent…,Denver,data analyst
