title,salary,location,employer,employer_rating,summary,search_city,search_role
"Ml Engineer, Experience Management",,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Collaborate with our services data scientists to deploy and use libraries and APIs which make machine learning for customer use cases both easy and powerful,…",Miami,data scientist
Senior Data Science Specialist,,"Miami, FL•Remote",Banner Health,3.6,"A minimum of four to seven years of experience or equivalent as typically obtained in one or multiple areas: reporting and/or analytics in clinical, financial,…",Miami,data scientist
Machine Learning Architect -Location Open,,"Miami, FL 33131 (Downtown area)+2 locations",Deloitte,4.0,"Collaborate with data scientists, data engineers and other key stakeholders in a fast-paced cross-functional and diverse environment.",Miami,data scientist
Business Intelligence Analyst/Statistician,,"Plantation, FL 33324",Synergy Technologies,4.4,"Description: Work with PL/SQL, Hive, Spark, AWS Lambda, KINESIS, SNS, Kafka, Java, Python, Scala,.
Requires Masters with 1 year experience or Bachelors plus 5…",Miami,data scientist
Advanced Analytics & Predictive Modeling Manager,,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Minimum of 5+ years of relevant experience with focus on advanced analytics and predictive modeling.
Designs and implements predictive and statistical models to…",Miami,data scientist
"Associate, Data Scientist Engineer - Advisory Data Organizat...",,"Miami, FL+1 location",KPMG,3.9,The Signals Repository is a KPMG created platform to enable data scientists & analysts to build machine learning (ML) enabled business solutions using open…,Miami,data scientist
Data Engineer,,"Miami, FL 33222",Assurant,3.5,"This role wrangles data in support of Data Science projects and constructs, tests, and maintains scalable data solutions for structured and unstructured data to…",Miami,data scientist
"Senior Consultant, Artificial Intelligence Strategic Growth...",,"Miami, FL 33131 (Downtown area)+1 location",Deloitte,4.0,"Ability to manage several projects of varying complexity at one time.
Can be trusted to work with confidential and sensitive data.",Miami,data scientist
Ai Automation -Process Analyst- Encore Consultant,,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"The Analytics & Cognitive team leverages the power of AI, machine learning, data, analytics, RPA, science and other cognitive technologies to uncover hidden…",Miami,data scientist
Senior Data Analyst,,"Miami, FL 33222•Remote",Assurant,3.5,This position also requires partnership with other key internal/ external business and I/T personnel to promote the effective and efficient use of data…,Miami,data scientist
Data Scientist (Remote Us),,"Fort Lauderdale, FL 33301 (Colee Hammock area)•Remote",Infoblox,3.8,Apply data-mining and machine learning techniques for a variety of modeling and relevance problems involving DNS and networking data.,Miami,data scientist
Conversational Ai / Chatbot Developer,,"Miami, FL 33131 (Downtown area)+1 location",Deloitte,4.0,"Work with project leadership, project managers, conversational AI architects, developers, UX designers, product managers, and fellow designers to strategize,…",Miami,data scientist
"Director Of Quantitative Analytics, Marketing Modeling",,"Fort Lauderdale, FL 33324",Bankers Healthcare Group,4.1,"Manage, professionally develop, and grow your team of data scientists to achieve peak performance of marketing modeling activities:",Miami,data scientist
Sr. Uhealth It Data Scientist,,"Miami, FL",University of Miami,4.0,"Able to distill complex business problems into clear data science and machine learning projects.
Prior experience with building custom statistical models,…",Miami,data scientist
"Conversational Artificial Designer, Senior Consultant - Appl...",,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",Miami,data scientist
Client Service Sr. Analyst,,"Miami, FL",Citi,3.9,"Ability to problem solve and analyzes data with demonstration of attention to detail.
5-8 years of experience.
Strong verbal and written communication skills.",Miami,data analyst
Senior Business Analyst,,"Miami, FL",DB Schenker,3.4,"Generally prefer 5-6 years of related experience.
It is not an exhaustive list of all expectations.).
: * Define logistics and global hub related issues with…",Miami,data analyst
Data Visualization Consultant,,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Triangulate various data sources (e.g., internal client HR data, survey data, qualitative data, external data) to be able to tell a story that addresses…",Miami,data analyst
Business Intelligence Analyst (Remote),,"Miami, FL 33170•Remote",Costa Farms,3.5,"Analysis of business data using various data mining and modeling techniques.
Implementation of systems to capture business operation data that ensure data…",Miami,data analyst
It Business Analyst I,,"Miami, FL+1 location",World Fuel Services,3.3,"0 to 3 years of relevant prior experience beyond formal education.
Employees frequently interact with peers, internal customers, and multiple functional areas…",Miami,data analyst
Bi Analyst,,"Doral, FL 33126 (Flagami area)",PROTOCOL INFOTECH,,"At least 2-5 years of business intelligence and data warehouse experience.
Develop deep understanding of analytical data models.",Miami,data analyst
,,"Fort Lauderdale, FL 33324","Medical Air Services Association, Inc",4.1,"Monitor and maintain commissions data reports for field and brokers and coordinate the revision of data.
Document all data and findings thoroughly and present…",Miami,data analyst
Cra Data Analyst,,"Miami Lakes, FL 33016",BankUnited,3.6,"Extracts CRA-related data from multiple bank data sources, including lending, deposit, and investment systems.",Miami,data analyst
Business Analyst,,"Miami, FL",Infosys,3.9,"At least 5 years of experience in Utilities/Customer Service Projects(Billing).
At least 5 years of experience as an IT Business Analyst.",Miami,data analyst
Healthcare Analytics Sme,,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Interpret the rules for data integration and conversion.
Analyze, support and develop data warehouse objects, data quality processes, design and develop fact…",Miami,data analyst
Senior Business Analyst - Vp,,"Miami, FL+1 location",Citi,3.9,"Senior Business analyst at VP or SVP level.
Ensuring ongoing support of the projects by testing, analysing data and identifying gaps.",Miami,data analyst
Data And Analytics - Data Visualization - Senior Associate,,"Hallandale Beach, FL 33009+2 locations",PRICE WATERHOUSE COOPERS,4.0,"Supporting the definition of data management requirements, including translating and documenting needs, assessing data, and implementing appropriate data…",Miami,data analyst
Senior Business Analyst-Jd Edwards World Erp,,"Miami, FL",Lennar,3.6,"Prepare and summarize data and present to management,.
As a Sr. Analyst - Financial Systems, you will be responsible for understanding current business…",Miami,data analyst
"Bxti - Liquids Technology, Data Analyst",,"Miami, FL",Blackstone Group,3.7,"Generate analysis, data visualizations, and automate reporting to drive business initiatives.
Blackstone is seeking a Data Analyst to support Blackstone’s key…",Miami,data analyst
Business Intelligence Analyst 2,,"Coral Gables, FL",University of Miami,4.0,"5 years of experience in BI related field, of which, at least 3 years of experience with database management systems and data analysis.",Miami,data analyst
Sr. Uhealth It Data Scientist,,"Miami, FL",University of Miami,4.0,"Able to distill complex business problems into clear data science and machine learning projects.
Prior experience with building custom statistical models,…",Miami,data scientist
"Conversational Artificial Designer, Senior Consultant - Appl...",,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",Miami,data scientist
Backend Developer Ai Ml Senior Consultant,,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Training in applied statistics, machine learning, and data visualization.
2+ years of experience with the popular set of scientific computing tools in Python …",Miami,data scientist
"Computer Vision Architect, Manager - Applied Artificial Inte...",,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Strong knowledge of machine learning, deep learning, image processing, computer vision.
Drive operational efficiency by maintaining their data ecosystems,…",Miami,data scientist
"Cloud Data Engineer, Solution Architect, Gps - Virtual",,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from…",Miami,data scientist
Data Modernization Architect,,"Miami, FL 33126 (Flagami area)",Accenture,4.0,"Familiarity with data visualization and self-service BI/data warehousing/ advanced analytics tools.
Methodologies for integration, data security, data…",Miami,data scientist
"Artificial Intelligence Architect, Manager - Applied Artific...",,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Demonstrated expertise in at least one of the following: machine learning, deep learning, time-series modeling, propensity and prediction, behavioral nudges,…",Miami,data scientist
"Aws Cloud Enablement - Analytics & Cognitive, Consultant",,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",Miami,data scientist
"Azure Cloud Enablement - Analytics & Cognitive, Consultant",,"Miami, FL 33131 (Downtown area)+4 locations",Deloitte,4.0,"Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",Miami,data scientist
"Manager, Data Science",,"Fort Lauderdale, FL•Remote work available",GroupM Services,,"This role requires excellent technical skills and experience in data matching, analytical and machine learning applications, data mining, reporting, and…",Miami,data scientist
"Master Data Management, Consultant - Analytics & Cognitive (...",,"Miami, FL 33131 (Downtown area)+1 location",Deloitte,4.0,"2+ years of relevant data management consulting or industry experience (master data, metadata, data architecture, data governance, data quality, data modeling,…",Miami,data scientist
"Artificial Intelligence, Manager - Applied Artificial Intell...",,"Miami, FL 33131 (Downtown area)+2 locations",Deloitte,4.0,"The Analytics& Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast…",Miami,data scientist
,$55 - $60 an hour,"Miami, FL",Pri Global Inc,,Experience in building and deploying production level data driven applications and data processing workflows/pipelines and/or implementing machine learning…,Miami,data scientist
Simulation Data Scientist,,"Miami, FL+1 location",Recruiting From Scratch,,"They work with protocols to manage risk, improve capital efficiency, and manage incentive spend.
Build data models and visualizations of public blockchain data…",Miami,data scientist
Bioinformatic Data Scientist,,"Miami, FL","WiredPeople, Inc.",,"Share and present genomic surveillance data to public health laboratory leadership, epidemiologists, and other state and national public health officials.",Miami,data scientist
"Strategic Maintenance Planning, Analyst Ii",,"Miramar, FL 33025",Spirit Airlines,3.3,"A high attention to detail and highest regard for data quality and accuracy.
Analytical skills to process large amounts of data.",Miami,data analyst
Lead Biso Analyst (Enabling Areas),,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Use data analyst techniques to answer research questions about vulnerabilities, and general threat intelligence trends.",Miami,data analyst
Senior Research Analyst,"$64,817 - $81,021 a year","Miami, FL 33132 (Downtown area)",Miami Dade College,4.2,Analyzes data using appropriate statistical models and assists stakeholders in the interpretations of the data.,Miami,data analyst
Senior Business Analyst - Vp,,"Miami, FL+1 location",Citi,3.9,"Senior Business analyst at VP or SVP level.
Ensuring ongoing support of the projects by testing, analysing data and identifying gaps.",Miami,data analyst
"Bxti - Liquid Markets Technology, Data Analyst",,"Miami, FL",Blackstone Group,3.7,"1+ years of experience working in a data driven organization.
Generate analysis, data visualizations, and automate reporting to drive business initiatives.",Miami,data analyst
Dtc E-Commerce Business Analyst,,"Hollywood, FL 33020•Remote work available",The Oliver Gal Artist Co.,4.4,"Experience with Google Data Studio or similar business intelligence/data visualization tools.
Oliver Gal is looking for DTC e-Business Analyst to analyze the…",Miami,data analyst
Part-Time Assessment & Evaluation Analyst,$21.80 - $29.80 an hour,"Miami, FL 33132 (Downtown area)",Miami Dade College,4.2,"Produces detailed technical reports on survey data, course evaluation data and educational data.
Integrates and analyzes data from a course management system.",Miami,data analyst
Global Chief Data Office Ems - Metrics And Governance Analys...,,"Miami, FL 33131 (Downtown area)+3 locations",PRICE WATERHOUSE COOPERS,4.0,"Leading engagements with data domain leaders to establish global data standards and quality measures;
Contributing to data quality issue remediation and data…",Miami,data analyst
Business Analyst Senior- (Bilingual),,"Miami, FL 33126 (Flagami area)",FIS Global,3.4,"Experienced (relevant combo of work and education).
The Payment Production Support team is responsible for supporting FIS customers 24/7 in LATAM and Caribbean…",Miami,data analyst
Sql Srv Etl Analyst Ii,,"Plantation, FL 33322•Remote work available",Envision Healthcare,3.2,"Minimum two (2) years of relevant data analyst experience.
Performs complex data analysis using various techniques, e.g. statistical analysis, explanatory and…",Miami,data analyst
Senior Data Analyst,,"Dania Beach, FL 33004+2 locations",Chewy,2.7,"Relevant work experience using Python or R for data analytics.
Synthesize large quantities of complex data into usable/actionable information.",Miami,data analyst
Real Estate Analyst,,"Coral Gables, FL",Great American Insurance Group,3.8,"Analyze data, prepare loan sizing and cash flows modeling.
Exceptional attention to detail and organization skills with well-developed verbal and written…",Miami,data analyst
,,"Miami, FL",World Fuel Services,3.3,"Experience in critical analysis of data related to process or operational issues.
Develop an in depth knowledge of how data is utilized in business systems.",Miami,data analyst
Marketing & Pr Analyst,,"Miami, FL 33155",Nicklaus Children's Hospital,4.0,Drive conversations around technology and data strategy needed to support marketing’s analytics and data segmentation needs.,Miami,data analyst
Business Intelligence Analyst 2,,"Coral Gables, FL",University of Miami,4.0,"5 years of experience in BI related field, of which, at least 3 years of experience with database management systems and data analysis.",Miami,data analyst
,$20 - $32 an hour,"Miami, FL 33131 (Downtown area)",404 Media Solutions,,"Supervising the data acquisition process if more data is needed.
Verifying data quality, and/or ensuring it via data cleaning.",Miami,data scientist
"Educator, Data Scientist",,"Miami, FL+1 location",BrainStation,,3-5+ years experience as a Data Scientist or Analytics professional and a Bachelor's degree relevant to the subject matter OR 8+ years work experience in the…,Miami,data scientist
Data Science Qa,,"Miami, FL",CapB InfoteK,,"During design, development and testing, recognizes issues and takes responsibility for major issues to ensure that an effective solution is reached;",Miami,data scientist
Simulation Data Scientist,,"Miami, FL+1 location",Recruiting From Scratch,,"They work with protocols to manage risk, improve capital efficiency, and manage incentive spend.
Build data models and visualizations of public blockchain data…",Miami,data scientist
Senior Data Scientist,,"Miami, FL•Remote",Hear.com US,,"Expertise in data engineering, data modelling and virtualization.
Ownership of engineering and data modeling process.",Miami,data scientist
Senior Data Analyst,,"Miami, FL",Tilting Point,,"Design and evaluate data process, practice and solution to advance Tilting Point's analytics capability.
Build relationships with stakeholders and processes…",Miami,data scientist
Sr. Clinical Quality Data Analyst,,"Miami, FL 33172",Health Choice Network Inc,3.8,"Serves as lead subject matter expert in the mapping of clinical related data from HCN EMRs to data lakes.
Understanding of health care initiatives and health…",Miami,data scientist
Lead Data Analyst,,"Miami, FL 33131•Remote",PairSoft,,"3-4 years of experience in a data analyst, data scientist, or other analytical role.
Using statistical tools to interpret data sets, paying particular attention…",Miami,data scientist
Senior Associate Data Science & Analytics,,"Miami, FL 33133 (North-East Coconut Grove area)",Razorfish,3.8,"Passion for digital analytics, working with data and deriving insights to answer client business questions.
The role combines experience with campaign targeting…",Miami,data scientist
Sr. Business Data Analyst,,"Miami, FL 33179",HAPPY FLOORS,2.7,"As a Sales Operations Analyst, you will manage a large and diverse workload and will be expected to perform and demonstrate a high level of attention to detail,…",Miami,data scientist
Sr. Data Analyst,,"Miami, FL",World Fuel Services,3.3,"Hands-on in the use of data analytics and business intelligence tools.
Advanced knowledge of Tableau for data visualization.
Master’s Degree in Data Science.",Miami,data scientist
Freelance It-Artificial Intelligence Software Writer,,"Miami, FL•Remote","Tempesta Media, LLC",,"You must have current or previous work experience in the industry that you are applying for.
All content assignments are paid on a per-word basis depending on…",Miami,data scientist
Senior Simulation Data Scientist,,"Miami, FL",Recruiting From Scratch,,"They work with protocols to manage risk, improve capital efficiency, and manage incentive spend.
Build data models and visualizations of public blockchain data…",Miami,data scientist
Data Quality Specialist,,"Miami, FL 33136 (Overtown area)",HistoWiz,3.5,"Explore publicly available machine learning datasets.
Assure quality in machine learning training datasets.
2+ years of industry experience at a company doing…",Miami,data scientist
Data Scientist,,"Fort Lauderdale, FL",Momentum Consulting,,"Ability to guide and contribute to the execution of a Data Science Methodology according to the requirements of each project; This includes Goal Definition,…",Miami,data scientist
Servicenow (Snow) Business Analyst,,"Miami, FL",iTech AG,,"The SNOW Business Analyst will be responsible for the successful delivery of ServiceNow solutions and services for a federal agency.
The candidate must be a US.",Miami,data analyst
Business Analyst,,"Miami, FL",Carnival Cruise Line,4.1,"Strong understanding of financial data analysis tools and systems such as Oracle Financials, Hyperion Essbase, Tableau, or OBIEE.
Paid vacation and sick time.",Miami,data analyst
State Medicaid Data Warehouse Analytics Sme,,"Miami, FL 33131 (Downtown area)",Deloitte,4.0,"Manage team s on a data warehousing engagement.
Experience implementing a data warehouse for State Medicaid Agency.
Organize knowledge transfer to clients.",Miami,data analyst
Business Analyst,,"Doral, FL 33126 (Flagami area)",PROTOCOL INFOTECH,,"Provide tier 1-3 support to existing clients.
This role requires a detail oriented individual, with strong communication skills and a passion for working in a…",Miami,data analyst
"Analyst, Bi And Portfolio Analytics",,"Miami, FL",777 Partners,3.7,"Working with large and confidential data sets to augment the due diligence process on new deals with advanced data analytics.
Advanced knowledge of MS Power BI.",Miami,data analyst
Bi Analyst,,"Doral, FL 33126 (Flagami area)",PROTOCOL INFOTECH,,"At least 2-5 years of business intelligence and data warehouse experience.
Develop deep understanding of analytical data models.",Miami,data analyst
It-Revenue Cycle Sys Analyst Ii (Cerner Registration Exp Req...,,"Miami, FL 33155+1 location",Nicklaus Children's Hospital,4.0,"Identifies data integrity issues and analyzes data and process flows for process improvement opportunities.
Knowledge of SQL databases and general knowledge of…",Miami,data analyst
Digital Optimization Analyst,,"Miami, FL",Norwegian Cruise Line Holdings Ltd.,3.7,"Ability to collect and synthesize data from disparate data sources and to analyze data and trends.
Assist key stakeholders in discovering their own insights…",Miami,data analyst
