title,salary,location,employer,employer_rating,summary,search_city,search_role
Data Analyst,"£35,000 - £50,000 a year",London SW9 6DE•Temporarily Remote,Zen Educate,4.6,"Perform ad-hoc data analysis.
You don't just love data, but love understanding the stories the data tells about the business.
Job Types: Full-time, Permanent.",London,data analyst
Data Analyst,,London E8 2BT,Eat Work Art,,"Exceptional knowledge of data warehousing concepts, data modeling, master data management and data quality assurance.
Suggest new solutions for data analysis.",London,data analyst
"Data Entry Analyst (Remote, London)",,London•Remote,Coleman Research,,"In this role, you will be responsible for reviewing the data of various entries within our proprietary database.
This is a remote position.",London,data analyst
Data Analyst,"£27,157 - £29,859 a year",London SE1 4YB,Guy's and St Thomas' NHS Foundation Trust,4.1,"Maintainingdatabases and data collection systems.
Analysing data using statistical techniques and providing reports.",London,data analyst
,"£40,057 - £45,839 a year",London SE1 6LH,Arden and GEM Commissioning Support Unit,,As an Information & data analyst the post holder will work as part of a dynamic team in delivering an effective service supporting managers and staff across the…,London,data analyst
,"£40,000 a year",London,Dogs Trust,3.8,"To be successful in this role you will have experience in data mapping, creating a Record of Processing Activities (ROPA), promoting a data protection culture,…",London,data analyst
,"Up to £45,000 a year",London•Remote,Dataworks,,"Clean and sort data in order to make it usable.
Acquire and sort data from a variety of primary and secondary sources and maintain internal databases.",London,data analyst
Data Analyst,"£2,230 a month",London•Remote,Zymewire,,"Maintaining and updating our database of companies, ensuring we have the best coverage of the industry and most accurate data possible- assisting other members…",London,data analyst
Junior Data Analyst,,London W1T 1HX,Union Visual Effects,,"Experience with a data visualisation tool such as tableau.
Review all existing systems, reports and dashboards - their data sources, use and challenges.",London,data analyst
"Business Transformation Analyst, Consulting, Full-Time Gradu...","£24,138 - £76,075 a year",London,Deloitte,4.0,"They include anything from programme managers, to data analysts, to functional business analysts.
To prepare you for project life, you’ll first join our analyst…",London,data analyst
,"£34,033 a year",London,London Borough of Camden,4.1,You will also be required to support with data returns for national programmes to the relevant government departments.,London,data analyst
Research Data Analyst,"£34,304 - £36,382 a year",London,St. George's University of London,4.0,"A sound understanding and knowledge of data protection legislation and the ability to handle sensitive data.
Demonstrative knowledge of working with statistical…",London,data analyst
,,London,Mace,4.1,"Carrying out data cleansing and data linking, with rigorous data validation and quality assurance across a variety of data types.",London,data analyst
Junior Analyst,"£25,000 - £27,000 a year",London SW1Y 6HD,CriterionCapital,,"Collation and formatting of disparate data.
Knowledge of Excel with excellent attention to detail and problem-solving ability, as well as a working knowledge of…",London,data analyst
,"£20,301 - £35,000 a year",London EC1R 5HL•Temporarily Remote,Fast Data Analytics and Security LTD,,"Work with data scientists to build insights based on the data on hand and theme of the study.
Build effective and visually rich presentation to represent data…",London,data analyst
,,London,NatWest Group,3.2,"We’ll look to you to identify and work with data sets from across the bank’s data estate to solve difficult, non-routine analysis problems and apply advanced…",London,data scientist
,"£48,859 - £62,286 a year",London SE1,UK Health Security Agency,,"Ability to mentor data scientists in best practice.
You share data science practices, promoting professional development and use of best practice across all…",London,data scientist
Data Scientist,,London,LEGO,4.2,"With an eye for data quality to ensure rigour of input data going into models.
Data Science is all about using scientific methods in a data driven fashion to…",London,data scientist
,"£50,000 - £60,000 a year",London SE1 0AT,Fable Data,,Assist in the maintenance of a library of ground truth data points either using data feeds from financial data providers or from manual collection of data from…,London,data scientist
Data Scientist - Returnship Program,,London,Amazon UK Services Ltd.,3.5,"Previous experience in a ML or data scientist role.
2+ years of non-internship professional data science experience.
Must be unemployed for 1+ years.",London,data scientist
Data Scientist - Fx Services - Currencies & Emerging Markets...,,London,"JPMorgan Chase Bank, N.A.",3.9,"Analyze multiple large data sets and apply advanced statistical, data science and machine learning methods;
Build predictive models and scalable data products;",London,data scientist
Data Scientist,,London,WarnerMedia,3.8,"Synthesize analytics and statistical approaches into easy-to-consume storylines, both visually and verbally, and clearly communicate with both non-data science…",London,data scientist
,£400 - £500 a day,London•Remote,247 Global Recruit,,"Strong experience in data wrangling/analysis, model building etc.
Strong experience with AI and ML technologies including at least one major deep learning…",London,data scientist
Data Scientist,,London,TikTok,3.5,"Experience navigating and working with very large data sets and developing large and complex data pipelines using SQL/HQL.
Experience with R or Python.",London,data scientist
