title,salary,location,employer,employer_rating,summary,search_city,search_role
,"Up to £27,000 a year",Bristol BS1,Pear Tree Recruitment,5.0,They are now looking for a Flexible Benefits Implementation Analyst to join their team and support with the maintenance and testing of website data.,Bristol,data analyst
,"£29,179 - £32,160 a year",Bristol,Rural Payments Agency,3.7,"Explore the data available within the Data Warehouse, understanding how data interlinks and how meaningful analysis can be produced.",Bristol,data analyst
Operational Data Analyst - Apprentice,"£23,965 a year",Bristol,Ministry of Defence,4.1,"Collating and analysing workforce data sets.
Clearly define stakeholder requirements for data analysis.
A data driven, problem-solver.
SQL and Data Modelling.",Bristol,data analyst
Information Analyst - Band 5,"£25,655 - £31,534 a year",Bristol BS10 5NB,North Bristol NHS Trust,3.6,"To contribute to the Trust’s efforts to improve data quality.
Learn and develop an understanding of the origin and meaning of data used.",Bristol,data analyst
Data Analyst - Payg,,Bristol,Ovo Energy Limited,3.6,Design and deliver robust automated processes which ingest third party data for commercial or operational use Use your data skills to make data available to…,Bristol,data analyst
Paid Internship - Data Analytics,£10 an hour,Bath,Play Sports Group,,"Studying a degree or equivalent in a data / mathematically driven subject.
Experience with in tools to display data such as Google Data Studio/Tableau/Microsoft…",Bristol,data analyst
Sql Data Analyst,"£25,500 - £30,000 a year",Bristol,Defence Equipment & Support,3.7,"Regularly use intellectual curiosity to explore data, models and software applications to support data mining and more efficient data manipulation and…",Bristol,data analyst
,"£45,000 a year",Bristol BS1 3AE,Vaarst,,"Provide timely and consistent data, analysis, and updates to the management team in order to facilitate data-based decision making.",Bristol,data analyst
Energy Data Analyst,"£25,000 - £30,000 a year",Bristol BS16•Temporarily Remote,Best.Energy,3.0,"Ability to analyse and manipulate data.
Your new role is centred around providing customers with knowledge and expertise on how their energy is being used and…",Bristol,data analyst
,,Bristol BS1 6FL,Unite Students,2.9,"Manage the relationships with our suppliers of market data and identify new sources of data.
Excellent stakeholder management and communication skills - ability…",Bristol,data analyst
Data Analyst - Payg,,Bristol,OVO Energy,3.6,"Use your data skills to make data available to stakeholders who need it, and use these tasks as an opportunity to proactively identify use cases for self serve…",Bristol,data analyst
Data Analyst Apprentice- Fourth Floor,"£18,500 - £20,000 a year",Bristol BS1 4NT,Estio Training,3.5,"Acquiring data from primary or secondary data sources and maintaining databases/data systems.
Interpreting data using statistical techniques to uncover trends…",Bristol,data analyst
,"£24,000 - £25,000 a year",Wrington BS40,Liberation Group,4.0,"This is a great opportunity for someone to move into a buying or procurement role and would suit someone with a good understanding of excel, data and analytics.",Bristol,data analyst
Performance Analyst - Research And Analysis (Graduates Welco...,"£30,000 a year",United Kingdom,Youturn,,Experience preparing and presenting data evaluation and performance monitoring briefings and data to partners would also be an advantage.,Bristol,data analyst
Data Analyst,,Bristol,Tilney,3.7,"IDEA, Alteryx, other data manipulation or automation tools.
Assisting with other adhoc data/IT secondment project support required by our clients.",Bristol,data analyst
