title,salary,location,employer,employer_rating,summary,search_city,search_role
,"£18,000 - £22,000 a year",Rochdale OL16 5NA,Forrest Fresh Foods,,"Due to expansion Forrest Foods are looking to recruit a data analyst.
In the position you will help maintain company database, websites and publications with…",Manchester,data analyst
,,Salford M50 2EQ,BBC,4.2,"Understanding of media analytics, data, measurement, methodologies and industry standards including online and offline channels.",Manchester,data analyst
,,Salford M50,BBC,4.2,You will have a key role in gathering and analysing the data that helps our team to improve the performance of our products.,Manchester,data analyst
,"£32,306 - £39,027 a year",Salford M50,Northern Care Alliance NHS Foundation Trust...,,"Provide expert advice and support in the use of reporting systems, data analysis using advanced database, query language tools and report writing.",Manchester,data analyst
Data Analyst Placement (12 Months),"£17,908 a year",Manchester M20 2UR,Siemens,4.0,"Our products and services are helping customers deliver increasingly innovative products, in a batch size of one, to their customers at the same quality, cost…",Manchester,data analyst
,,Stockport SK2 6NG,Vitality,3.1,"Excellent IT skills and proficient in complex spreadsheets, analytical tools and reporting and data visualisation tools.",Manchester,data analyst
,,Manchester M2 4AW,Ridge Surveyors Limited,,"Developing inhouse best practice data management.
Managing energy data to inform sustainability strategies.
This role would particularly suit an individual with…",Manchester,data analyst
,"£27,000 - £35,000 a year",Manchester•Remote,Move Dance,,"Organising and analysing raw data to drive actionable insights.
Highly analytical with the ability to turn data into actionable results.",Manchester,data analyst
,"£41,000 a year",Manchester,Kalibrate,,"Statistical Analysis Skills such as Analyse/interpret data and present results using established methods, evaluating coverage and accuracy of data, prepare…",Manchester,data analyst
,"Up to £45,000 a year",Manchester•Remote,Citation,,Working in the group function you’ll be at the heart of the decision-making process for the business and will use innovative and varied techniques to ensure…,Manchester,data analyst
Transformation Analyst,,Manchester M1 3BN,Barclays,3.9,"Driving the documentation of business requirements, process flows, current vs future gap analysis, training documentation and data analysis.",Manchester,data analyst
Business Analyst,"£55,000 - £60,000 a year",Manchester•Remote,RSA,3.8,You can work independently and remain flexible and organised throughout projects in a fast paced environment and have the ability to establish/maintain high…,Manchester,data analyst
Data Analyst Apprentice,"£22,950 a year",Halifax,Lloyds Banking Group,3.8,"Over the duration of the programme, you’ll develop your capabilities as a data analyst, being taught how to collect, organise and study data to provide business…",Manchester,data analyst
,,Manchester,Ridge & Partners LLP,4.5,"Developing inhouse best practice data management.
Managing energy data to inform sustainability strategies.
This role would particularly suit an individual with…",Manchester,data analyst
,"£30,007 - £45,011 a year",Manchester Central•Remote,ICUC Social,,"High-speed internet connection (no data restrictions).
Must be able to demonstrate experience with social media tools & interact with online community tools…",Manchester,data analyst
Lead Data Scientist (Technical Lead And Team Lead),"£52,051 - £63,175 a year",Manchester,Home Office,,"Ideally you will have a background in working with big data challenges and cloud-based technologies, and you will have some knowledge of creating apps, APIs or…",Manchester,data scientist
Data Scientist,,Greater Manchester•Remote,Raytheon Intelligence & Space,,"The team includes post-doctorate researchers, experienced data scientists and engineers with customer knowledge, security research and machine learning…",Manchester,data scientist
,"Up to £75,000 a year",Manchester•Remote,Citation,,"The person will be well supported with data engineers and data leadership:
Understanding of MLOps and meta data stores.
Adaptable and positive, can-do attitude.",Manchester,data scientist
Data Scientist,"£35,847 - £70,467 a year",Salford M50•Temporarily Remote,Raytheon UK,3.9,"Working knowledge of Python and the wider data science toolkit such as Scikitlearn, Jupyter and other appropriate tools.
Job Types: Full-time, Permanent.",Manchester,data scientist
,"£34,000 - £45,000 a year",Manchester M14 7LU•Remote,The British Institute of Recruiters,,"Work with data and analytics experts to strive for greater functionality in our data systems.
Identify and document opportunities for the advancement of data…",Manchester,data scientist
Junior Data Scientist,,Manchester,THG,3.6,"Able to communicate effectively; using data to tell a story and drive business change.
Proficient in a data visualisation software (Tableau/Looker/PowerBI/etc).",Manchester,data scientist
Data & Analytics - Internship,"£21,500 a year",Manchester,NatWest Group,3.2,"And data science allows us to apply statistics, computer science and problem solving skills together with strong research methods to test, learn and optimise…",Manchester,data scientist
Data Scientist (Suitable For Fresh Graduates),,Manchester•Remote,Swiss Re,4.0,"Combine data science techniques with programming skills to unlock insights from the data provided by clients.
Enable business users to understand the data value…",Manchester,data scientist
Data Scientist,£550 - £600 a day,Manchester•Temporarily Remote,Uniting People,,"_Professional experience as a data scientist & related roles in Natural Language Processing_.
_Consult and collaborate with Clients to understand the data…",Manchester,data scientist
,"£39,334 - £45,865 a year",Buxton•Remote,Health & Safety Executive,3.9,"Previous experience as a text analyst, data scientist, or other similar role.
Have worked in a data science field for a minimum of two years.",Manchester,data scientist
Data Scientist,"£40,000 - £60,000 a year",Manchester M1,Street Group,,"Experience implementing data pipelines to extract, load, transform, enrich and export data for modelling.
Building models to create new and unique data features…",Manchester,data scientist
Data Scientist,,Manchester,Octopus Energy,4.0,"Our ideal data scientist would be an individual who loves to get to the bottom of complex problems, using novel techniques and visualisations to derive meaning…",Manchester,data scientist
,,Manchester M1•Remote,Peak AI,,"Familiarity with one or some of - statistical modelling, machine learning, data mining, unstructured data analytics, natural language processing.",Manchester,data scientist
Graduate Technology - Analytics Manchester Autumn 2022,,Manchester,KPMG,3.9,Our Analytics teams use advanced data analysis technologies and techniques to help our clients answer business questions and address commercial issues.,Manchester,data scientist
,"£50,000 - £75,000 a year",Altrincham•Temporarily Remote,Heywood Pension Technologies,,"Strong attention to detail regarding data; data quality; and scripting to ensure robust and grounded recommendations are made.
Temporarily due to COVID-19.",Manchester,data scientist
,,Manchester,Ridge & Partners LLP,4.5,"Developing inhouse best practice data management.
Managing energy data to inform sustainability strategies.
This role would particularly suit an individual with…",Manchester,data analyst
,"£30,007 - £45,011 a year",Manchester Central•Remote,ICUC Social,,"High-speed internet connection (no data restrictions).
Must be able to demonstrate experience with social media tools & interact with online community tools…",Manchester,data analyst
,"£40,057 - £45,839 a year",Manchester M13 9WL,Manchester University NHS Foundation Trust,3.1,They will be expected to conduct highly complex analysis of diverse data to inform and support the organisation to deliver its strategic vision.,Manchester,data analyst
Data & Analytics - Internship,"£21,500 a year",Manchester,NatWest Group,3.2,"And data science allows us to apply statistics, computer science and problem solving skills together with strong research methods to test, learn and optimise…",Manchester,data analyst
Information Analyst,"£25,655 - £31,534 a year",Bolton BL6 6PQ,North West Ambulance Service NHS Trust,2.9,"Within the Service the Business Intelligence function is a progressive and rapidly changing environment, in which the capabilities of the staff are being…",Manchester,data analyst
Pricing Data Analyst,"£30,000 - £36,000 a year",Manchester M60 0AG,Coop,3.4,"Experience of data analysis, data modelling and data reporting.
Strong Excel and data analysis skills.
Provide accurate data analysis to senior managers and the…",Manchester,data analyst
Mi Data Analyst With Power Bi,,Salford Quays,Bupa,3.3,"Working knowledge of Power BI and data visualisation skills, with good data mining, numerical and analytical ability, to understand, calculate and evaluate data…",Manchester,data analyst
Junior Data Analyst,"£25,000 a year",Manchester,Dovestone Technology Solutions,,"With this role, there is also a strong development pathway, with many previous junior’s progressing up the ranks to become a senior analyst or transitioning…",Manchester,data analyst
Data Analyst,,Manchester+1 location•Temporarily Remote,On the Beach,3.5,"Strong technical skills regarding data analysis and statistics.
Understanding data and providing ad hoc analysis from our primary web analytics tool, Google…",Manchester,data analyst
Business Insights & Analytics Analyst,,Manchester M1 3BN,Barclays,3.9,"Previous experience with statistics, math or data science.
Undertaking diagnostic activities to assess business requirements e.g. interviews, data collections…",Manchester,data analyst
,"£18,000 - £24,000 a year",Manchester,Restore,3.4,"Experience of data collation and trend analysis.
Analyse and interpret data to ensure a high level of accuracy.
Contract Type: Permanent - Full Time*.",Manchester,data analyst
Senior Data Analyst,,Manchester M1 3BN,Barclays,3.9,"Using data to understand customer journeys within Digital First Operations.
Sharing accurate data to support business stakeholders and meet regulatory…",Manchester,data analyst
Gis Data Analyst,,Manchester,Kalibrate,,"Statistical Analysis Skills such as Analyse/interpreting data and presenting results using established methods, evaluating of coverage and accuracy of data,…",Manchester,data analyst
Reconciliation And Reporting Analyst,,Manchester M1 3BN,Barclays,3.9,"Experience of data reporting design and specification, MI and reconciliation.
Liaising with stakeholders to drive the documentation of business requirements,…",Manchester,data analyst
,"£25,000 a year",Manchester•Remote,Touch Medical Media Services,,"Liaise with external partners who provide the raw data for analysis.
An innovative thinker who can identify the next steps to advance their work.",Manchester,data analyst
