title,salary,location,employer,employer_rating,summary,search_city,search_role
Data Scientist Analyst,,"Chicago, IL 60601 (Loop area)",MARS,3.9,"Driving competitive advantage from data through analytics and data science.
Connect with Data teams to drive data priorities, and solution performance.",Chicago,data analyst
Data Analyst-Entry Level - Remote,,"Chicago, IL•Remote",Medline Industries Inc,3.3,"Monitor for data accuracy, timeliness and integrity in data used in analysis and reporting.
Identify data and reporting tools necessary to/and perform business,…",Chicago,data analyst
Data And Reporting Analyst,,"Chicago, IL 60623 (Archer Heights area)",Lawndale Christian Health Center,,*Data Integration*: Will use ETL tools such as SSIS to design and implement data management processes that import and export data into our data warehouse from…,Chicago,data analyst
Data Analyst,,"Chicago, IL 60604 (The Loop area)",Wolverine Trading,4.2,"Analyze large data sets of historical market data and trading statistics.
Create and clean new data sources.
Experience gathering, cleaning and analyzing large…",Chicago,data analyst
Data Collection Analyst,,"Chicago, IL",Stats Perform,,"Data collection analyst will assist in obtaining and collecting tracking data for basketball via AutoSTATS, Stats Perform's patented player tracking technology…",Chicago,data analyst
"Business Intelligence Analyst, Finance Data And Analytics",,"Chicago, IL (West Town area)",Google,4.3,"Knowledge of conceptual, logical, and physical data modeling and data architecture.
Partner closely with the Finance teams, understand their data needs, and…",Chicago,data analyst
,,"Chicago, IL 60606 (Loop area)",Group1001,,"Implements data quality rules to ensure that all data sources are consistent and accurate.
The role will focus on managing the current data warehouse, including…",Chicago,data analyst
,,"Chicago, IL 60611 (Streeterville area)+1 location•Remote",Shirley Ryan Ability Lab,3.5,"A minimum of 5 years of progressively responsible experience using skills as a seasoned analyst to collect, analyze and present data and provide diverse…",Chicago,data analyst
Data Analyst,,"Chicago, IL 60611 (Streeterville area)+1 location",Shirley Ryan Ability Lab,3.5,Analyzes data and generates reports that ensure data integrity by applying statistical and data science methods.,Chicago,data analyst
Qualitative Data Analyst,,"Chicago, IL 60637 (Woodlawn area)+2 locations",The University of Chicago,4.1,"Experience working with longitudinal data, network data, or other clustered data structures.
Participate in regular meetings with CCHE research staff and data…",Chicago,data analyst
Calling All Business Analysts!!,,"Chicago, IL 60601 (Loop area)+1 location",United Airlines Inc.,4.0,"Analyzes data and collaborates with insights teams to ensure feature alignment with desired outcome.
A Digital Products Principal Business Analyst is a member…",Chicago,data analyst
,,"Mount Prospect, IL 60056",Bosch Group,4.1,Identify opportunities to integrate customers’ data with internal data to identify trends and drive payment resolution with major retailer partners.,Chicago,data analyst
,,"Chicago, IL",CME Group,4.1,"With supervision from an analysis project lead, the IT Business Analyst I contributes to the detailed analysis and solution validation for small projects or…",Chicago,data analyst
Data Analyst,,"Chicago, IL•Remote",Superpedestrian,3.7,"Build dashboards to facilitate data-driven decision making across the company.
Prepare data from different sources for analysis and make recommendations based…",Chicago,data analyst
,,"Chicago, IL (The Loop area)+2 locations",CIBC,3.8,"QUALIFICATIONS: QUALIFICATIONS - 3-5 years of related work experience in Risk Management or Data Governance - Disciplined self-starter with strong analytical,…",Chicago,data analyst
Data Scientist Analyst,,"Chicago, IL 60601 (Loop area)",MARS,3.9,"Must have - Degree level in scientific, mathematical subject.
Driving competitive advantage from data through analytics and data science.",Chicago,data scientist
,,"Chicago, IL 60611 (Near North Side area)+1 location",Northwestern Medicine,3.9,"The data engineers/scientists use their broad knowledge of applied mathematics and statistics to create new algorithms to interpret, manipulate, and derive…",Chicago,data scientist
Data Scientist,,"Chicago, IL 60661 (West Loop Gate area)+4 locations",TransUnion,3.8,You will contribute to research and innovation initiatives in collaboration with other DSA peers and may lead small analytic research teams or manage research…,Chicago,data scientist
Data Scientist - Remote,,"Chicago, IL•Remote",Harley-Davidson,3.7,"Effectively analyze and distill data into patterns, trends, and insights.
This role may be expected to assist other data scientists on larger ad hoc projects…",Chicago,data scientist
Data Scientist (Machine Learning),,"Chicago, IL•Remote",Decision Spot,,"0-3 years of industry experience in analyzing large data, building visualizations, and building and deploying machine learning models.",Chicago,data scientist
Data Scientist,,"Chicago, IL 60607 (West Loop Gate area)+2 locations",WALGREENS,3.5,Responsible for applying advanced data analysis tools and techniques to provide insights and actionable recommendations for the business.,Chicago,data scientist
