title,salary,location,employer,employer_rating,summary,search_city,search_role
,"£27,000 - £35,000 a year",Leeds LS14 6UF,TPP Retail Group,,"Be comfortable in a fast paced environment and meet/manage deadlines (internal and external).
You need to be able to spot patterns in data, use reports to find…",Leeds,data analyst
Data Analyst,"Up to £35,000 a year",Harrogate HG1 1JD,Jigsaw Insurance Services Plc,,"You must be an experienced data analyst with recent work experience, who is proactive and self-motivated with the ability to work well under pressure by…",Leeds,data analyst
Junior Data Analyst,,Leeds LS1•Temporarily Remote,SikSilk,,"Providing reports and templates to assist with ongoing data management.
You will be responsible for the delivery of all digital product information, maintenance…",Leeds,data analyst
Data Analyst Apprentice,"£22,950 a year",Halifax,Lloyds Banking Group,3.8,"Over the duration of the programme, you’ll develop your capabilities as a data analyst, being taught how to collect, organise and study data to provide business…",Leeds,data analyst
,,Leeds LS7 2AA,Nobia UK,2.6,You’ll have excellent communication skills with the ability to translate complex data into meaningful and understandable information.,Leeds,data analyst
Data Analyst,"£34,304 - £40,927 a year",Leeds,University of Leeds,4.3,"You will have responsibility for developing data requirements, contributing to the data dictionary, business data catalogue and data quality profiling and…",Leeds,data analyst
Data Analyst Apprentice,,Leeds,Jet2.com and Jet2holidays,3.4,"A passion for the customer insight and using data to drive performance.
You will be enrolled on to the Level 4 Data Analyst Apprenticeship, where you will…",Leeds,data analyst
,,Leeds LS11 5AD,ASDA,3.4,"Key responsibilities include supporting key online projects, managing the availability of products through the website, developing new supply chain processes,…",Leeds,data analyst
Data Analyst,"£28,248 - £30,815 a year",Bradford,Christians Against Poverty,4.5,"The Data Insight Analyst is passionate about the role of data to inform both operations and strategy.
The Supporter Insight & Data team equips the Fundraising…",Leeds,data analyst
,"£45,000 - £85,000 a year",Leeds•Remote,Estio Training,3.5,"Coaching, supporting and mentoring all apprentices to ensure they have acquired the technical skills and knowledge to achieve the standard requirements through…",Leeds,data analyst
,"£39,334 - £45,865 a year",Leeds•Remote,Health & Safety Executive,3.9,"Previous experience as a text analyst, data scientist, or other similar role.
Have worked in a data science field for a minimum of two years.",Leeds,data analyst
,,Leeds,O2 Telefonica,3.6,"Analyse data and report on the performance of services, including partner performance and identify issues and trends.
Data analysis, assessment and monitoring.",Leeds,data analyst
