title,salary,location,employer,employer_rating,summary,search_city,search_role
,"£30,950 - £46,157 a year",Glasgow,OFGEM,3.4,"Ideally you’ll also have knowledge and experience of data modelling, SQL for data transformation and data science (Python or R).",Glasgow,data analyst
Risk Analyst - Explorer Graduate Programme - 2022,,Glasgow G2,Barclays,3.9,"On-board new clients and ensure counterparty data is complete and accurate.
You’ll start out with four weeks of intense training, covering various topics,…",Glasgow,data analyst
,"£32,740 a year",Glasgow G2 5NW,Network Rail,3.8,"Monitor so that data inputted into cost and performance systems meets data standards.
We actively challenge unsafe practices and take responsibility for…",Glasgow,data analyst
Data Analyst,,Glasgow,"JPMorgan Chase Bank, N.A.",3.9,"Strong analytical skills with a concentration on data flows, data mapping.
The successful candidate will be a technical data analyst with related experience in…",Glasgow,data analyst
Data Analyst,£115 - £120 an hour,Motherwell,Robert Half,3.9,"Data mining and data QA.
Experience in Requirements gathering, analysis and documentation.",Glasgow,data analyst
Conduct Risk Assessments - Data Analyst,,Glasgow,Barclays,3.9,"Prior experience of working with automated tools to increase and embed the use of data-led risk assessments and analytics, including familiarity with using data…",Glasgow,data analyst
Pip Data Analyst,"£26,104 - £32,915 a year",Glasgow G2,NHS Scotland,3.3,"A specialist knowledge and experience of application of NHS data definitions, information standards and policies is required.",Glasgow,data analyst
Risk Analyst - Explorer Summer Intern Programme - 2022,,Glasgow G2,Barclays,3.9,"On-board new clients and ensure counterparty data is complete and accurate.
As a summer analyst, you’ll spend the summer with our team, developing a solid…",Glasgow,data analyst
Physical Threat Intel Analyst,,Glasgow,Morgan Stanley,3.8,"Experience with data analytics and visualization software/tools.
As a key component of the Firms resiliency framework, the Fusion Resilience Center (Fusion)…",Glasgow,data analyst
,,Glasgow,Barclays,3.9,"Technical knowledge will be a benefit to assist with data analysis.
As a Barclays Business Analyst you will be helping the business implement technology…",Glasgow,data analyst
,,Glasgow,CAPCO,3.4,"Experts in banking and payments, capital markets and wealth and asset management.
Deep knowledge in financial services offering, including e.g. Finance, Risk…",Glasgow,data analyst
,,Glasgow G2 6DB,Hymans Robertson LLP,4.0,"Club Vita is a successful data analytics business that specialises in the collection, analysis and licensing of data on longevity patterns and trends.",Glasgow,data analyst
Data And Reporting Analyst,"£34,000 a year",Glasgow,Arcus FM,2.8,"Extensive experience in data analysis & reporting from multiple data sources and complex data sets.
Proven track record of delivering performance improvement…",Glasgow,data analyst
Performance Analyst - Research And Analysis (Graduates Welco...,"£30,000 a year",United Kingdom,Youturn,,Experience preparing and presenting data evaluation and performance monitoring briefings and data to partners would also be an advantage.,Glasgow,data analyst
Business Analyst,,Glasgow,"JPMorgan Chase Bank, N.A.",3.9,"Proficiency in business applications, data usage, and management.
Working at the intersection of business and technology, you'll sharpen your understanding of…",Glasgow,data analyst
,"From £18,500 a year",Glasgow•Temporarily Remote,Scottishpower,3.8,"Working within one of our teams responsible for system or asset data, you’ll use data to find meaning and create actionable insights, identifying opportunities…",Glasgow,data scientist
,"£43,650 - £70,397 a year",Glasgow,OFGEM,3.4,"Understand what data assets are available before sourcing, preparing and transforming the data required for the model.",Glasgow,data scientist
Data Science Associate,,Glasgow,"JPMorgan Chase Bank, N.A.",3.9,This is a rare opportunity to join an applied research team working on Natural Language Processing AI/ML at one of the world's largest financial institutions.…,Glasgow,data scientist
Data Scientist,,Glasgow,Barclays,3.9,"Experience applying machine learning methods with big data technologies.
Extensive experience of statistical analysis, data mining and visualisation techniques.",Glasgow,data scientist
Graduate Data Scientist (Glasgow - September 2022),,Glasgow G3 8GJ,Experian,3.8,"Develop and maintain data processes and models to support Experian’s Affordability data products.
You will achieve this by working with data science colleagues…",Glasgow,data scientist
Data Scientist,"£36,382 - £40,927 a year",Glasgow,University of Glasgow,4.1,"Support Senior Data Science Manager and other Centre staff in the acquisition of data from data owners; clean, link and otherwise curate the data.",Glasgow,data scientist
Data Scientist,,Glasgow,Experian,3.8,"SQL for data access and retrieval.
Continually learn and develop the knowledge and skills to process, manipulate and analyse data used in Experian data products…",Glasgow,data scientist
,,Stirling FK9 5QD•Remote,LumiraDx UK Ltd,,"Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.
Experience with manipulating large datasets for data…",Glasgow,data scientist
Data Scientist,,Glasgow G1 3RS,Cigna,3.7,"Work with Data Engineering to keep abreast of data enrichment including first and third party data.
Employ state-of-the-data machine learning algorithms to…",Glasgow,data scientist
Lead Data Scientist,,Glasgow,Barclays,3.9,"Exceptional ability to extract strategic insights from large data sets.
Experience applying machine learning methods with big data technologies.",Glasgow,data scientist
Senior Data Scientist,,Glasgow,Barclays,3.9,"You will have in-depth knowledge of a broad range of statistical techniques and shape up data science projects for other data scientists to deliver, and provide…",Glasgow,data scientist
Data Science Consultant,"£40,000 - £55,000 a year",Glasgow,Metrica Recruitment,,"Highly advantageous to have used Python or R as well as cloud computing platforms and big data tools.
Over 18 months years of experience in operational research…",Glasgow,data scientist
Applied Machine Learning Researcher,,Glasgow,Morgan Stanley,3.8,Ideal candidates will be able to apply the technical expertise and research acumen cultivated in their academic careers to real-world financial and operating…,Glasgow,data scientist
Data Scientist (Digital Storytelling Engineer),"£36,382 - £40,927 a year",Glasgow,University of Glasgow,4.1,"E2 Significant experience of specifying, designing and implementing accessible, scalable data driven dashboards and/or interactive data interfaces.",Glasgow,data scientist
"Internship - Software, Imaging Science & Machine Learning",,Glasgow•Temporarily Remote,Canon Medical Research Europe,,"*Software Engineering* (e.g. Application development, Software infrastructure, Software tool development).
Computer Science / Software Engineering / Informatics…",Glasgow,data scientist
,"From £17,000 a year",Glasgow G20 0XA•Temporarily Remote,Qnostics,,"Experience in handling scientific data and report writing.
Support the collection, collation, data analysis process:
Resolve day-to-day problems independently.",Glasgow,data analyst
Reference Data Technical Analyst,,Glasgow,Barclays,3.9,"Proven data integration, data mastering, data distribution experience.
Proven ability to analyse data, map data and design functional solutions according to…",Glasgow,data analyst
Business & Data Analyst,,Glasgow,Barclays,3.9,"Understanding complex system flows, performing extensive data analysis, document functional and technical data flows to translate into business requirements.",Glasgow,data analyst
Data Analyst - Nhs,"£26,104 - £32,913 a year",Glasgow G2,Meridian,3.2,"The manipulation of data files using a variety of software packages in preparation for further analysis.
We are currently looking for an experienced Informaton …",Glasgow,data analyst
Senior Data Analyst,"£50,000 - £60,000 a year",Glasgow G3 7UY,Centre for Substance Use Research,,"This post would require you to have experience of analysing large health related data sets using statistical software packages, specifically SPSS; providing…",Glasgow,data analyst
Retail Banking Data & Analytics Analyst - Expert Summer Inte...,,Glasgow,Barclays,3.9,"A bank that knows its customers and clients, champions innovation and thinks digital first, offers trusted money management guidance and support, and provides…",Glasgow,data analyst
Data Analyst,,Glasgow G2,Mercer,3.5,"Undertake all aspects of the data cleanse process including data analysis, data cleanse, data reconciliation and issue resolution as well as the co-ordination…",Glasgow,data analyst
Im&T Business Analyst,,Scotstoun•Remote,BAE Systems,3.9,"Flexibility provisions vary by role, but include; hybrid working arrangements, flexible working patterns and shift working.",Glasgow,data analyst
Fraud And Error Risk Analysis And Control Officer,"£26,995 - £29,776 a year",Glasgow,Scottish Government,4.1,Analyse data to identify emerging risks whilst identifying appropriate controls and monitoring the effectiveness of these.,Glasgow,data analyst
,"£28,000 - £33,000 a year",Glasgow G1,Engage Recruitment,,"Strong focus on data analysis.
Use large and complicated data sets to provide complex but clear reports which provide business insights and use data to…",Glasgow,data analyst
Fraud And Error Risk Analysis And Control Officer,"£26,995 a year",Glasgow,TMPW (hp) for social security scotland,,"Analyse data to identify emerging risks whilst identifying appropriate controls and monitoring the effectiveness of these.
Analysis and Use of Evidence.",Glasgow,data analyst
Cyber Threat Hunt Analyst,,Glasgow,Morgan Stanley,3.8,"Analyze data from host-, network- and file-based data to develop detections associated with cyber tactics, techniques, and procedures.",Glasgow,data analyst
,,Glasgow G2 1RW•Remote,Clir,,"Expert user of data visualization and analytics tools.
An analytical mindset, with an aptitude for finding the story behind the data.",Glasgow,data analyst
Enterprise Technology Risk Analyst,,Glasgow,Morgan Stanley,3.8,"Providing and consolidating analytical data, producing information for Senior Management and Governance forums.
Contributing to Process and Project definitions.",Glasgow,data analyst
Performance Analyst - Research And Analysis (Graduates Welco...,"£30,000 a year",United Kingdom,Youturn,,Experience preparing and presenting data evaluation and performance monitoring briefings and data to partners would also be an advantage.,Glasgow,data analyst
,,Glasgow,Version 1,4.1,"Your CV shows technology leadership in the definition of best practices & repeatable methodologies in Data Engineering (including Data Storage, ETL, Data…",Glasgow,data scientist
Data Science Consultant,"£40,000 - £55,000 a year",Glasgow,Metrica Recruitment,,"Highly advantageous to have used Python or R as well as cloud computing platforms and big data tools.
Over 18 months years of experience in operational research…",Glasgow,data scientist
Data Scientist,"£40,001 - £60,000 a year",Stirling•Remote,MBN Recruitment Solutions,,"Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.
Write bespoke programs to automate the analysis of…",Glasgow,data scientist
