title,salary,location,employer,employer_rating,summary,search_city,search_role
Business Analyst,"From £45,000 a year",Edinburgh,Vision Consulting Limited,,"Making recommendations and taking stands based on the data.
Understanding the client’s business and the data that supports it.
Job Types: Full-time, Permanent.",Edinburgh,data analyst
,,Edinburgh,FDM Group,2.9,As an FDM Business Intelligence Analyst you will use your investigative and problem-solving skills to analyse data and uncover trends that deliver actionable…,Edinburgh,data analyst
Data & Reporting Analyst,,Edinburgh,"JPMorgan Chase Bank, N.A.",3.9,"An understanding of the uses of data, data skills, and data tools.
Expertise in working with data to query, be curious with data and have a sensible regard…",Edinburgh,data analyst
,"£26,000 - £34,000 a year",Edinburgh EH2 4AD,Recast,,"Experience in drafting data tracking requirements for implementation by development teams.
Actively identify data-driven opportunities for improvement in the…",Edinburgh,data analyst
,,Edinburgh EH3 8JB,Calero-MDSL,3.0,"Gathers and interprets data to solve routine problems that require verification.
2-3 Years’ Experience in accounting, finance or data entry type roles preferred…",Edinburgh,data analyst
,"£33,072 - £40,736 a year",Edinburgh EH4 2XU,NHS Scotland,3.3,To provide advice and guidance on data and analytical matters to both internal and external customers and to carry out innovative analyses and visualisation of…,Edinburgh,data analyst
Research Analyst,"£28,332 - £36,770 a year",Edinburgh,Lloyds Banking Group,3.8,"Our Research team are experts in understanding customers and generating insights from research data.
An experienced consumer research analyst, you’ll be able to…",Edinburgh,data analyst
,,Edinburgh EH3•Temporarily Remote,Trip.com,2.4,"Ø Attentive to detail and committed to data integrity.
Ø Give leads on automation project in order to lessen workload of reports and data consolidation.",Edinburgh,data analyst
,"£45,000 a year",Edinburgh EH1 3EG,Vaarst,,"Provide timely and consistent data, analysis, and updates to the management team in order to facilitate data-based decision making.",Edinburgh,data analyst
,,Edinburgh,CAPCO,3.4,"Validate data quality through reports and tools to monitor and visualise data.
Experience working with data-model diagrams, to understand relational structures.",Edinburgh,data analyst
,,Edinburgh,Wood Mackenzie,4.1,"Assist competitor analyst with the development of results reports (graphics, layout, proof-reading etc.).
Understand research needs from business stakeholder…",Edinburgh,data analyst
Performance Analyst - Research And Analysis (Graduates Welco...,"£30,000 a year",United Kingdom,Youturn,,Experience preparing and presenting data evaluation and performance monitoring briefings and data to partners would also be an advantage.,Edinburgh,data analyst
,,Edinburgh,Clearwater Analytics,,"Identify and analyse potential data sources which will improve the consistency, timeliness and/or completeness of our data sets.",Edinburgh,data analyst
Data Entry Analyst,,Edinburgh,Lorien,3.2,"Some experience connecting data from multiple sources and working with unstructured data.
Verifies and logs receipt of data.",Edinburgh,data analyst
Data Analyst,"£25,000 - £34,999 a year",Edinburgh,TSB Banking,3.2,"Work as part of a team of risk data analysts to develop, monitor and maintain the DQ solution.
Ability to extract and analyse data.",Edinburgh,data analyst
Data Scientist,,Edinburgh EH8 9AA,University of Edinburgh,4.2,"Knowledge of data management, data pipelines and visualisation techniques.
Experience with SQL databases, and data engineering would be an advantage.",Edinburgh,data scientist
Data Scientist,,Edinburgh,Storm ID,,"An awareness of data security, risk, and data protection compliance such as GDPR.
You will have some commercial experience in data science and computational…",Edinburgh,data scientist
,,Edinburgh,Sainsburys,3.6,"Seeking to deliver competitive advantage from our unique data sources.
The strategy deployed will leverage benefit from data enrichment gained from the unique…",Edinburgh,data scientist
Data Scientist,,Edinburgh,BBI Group,,"You might have a background in computer science, statistics or laboratory-based science but you will have some formal training in data science and find gaining…",Edinburgh,data scientist
Data & Analytics - Internship,"£21,500 a year",Edinburgh,NatWest Group,3.2,"And data science allows us to apply statistics, computer science and problem solving skills together with strong research methods to test, learn and optimise…",Edinburgh,data scientist
Data Scientist,,Edinburgh,Sainsburys,3.6,"You’ll be a subject matter expert on data mining.
Owning the development of new data systems and processes, ensuring they’re utilised effectively within the…",Edinburgh,data scientist
"Senior Applied Scientist, Sponsored Display",,Edinburgh,Amazon Dev Centre(Scotland)Ltd,3.5,"Be immersed in Sponsored Display's auction data: candidate ads, objectives, bids and outcomes.
You'll serve as technical lead on a team of scientists and…",Edinburgh,data scientist
Summer Placement - Data Scientist - Infrastructure,,Edinburgh,Arup,4.1,"Experience using statistical computer languages (R, Python, C+ etc.) to manipulate data and draw insights from large data sets.",Edinburgh,data scientist
,,Edinburgh,Nine Twenty,,"You might have a background in computer science, statistics or laboratory-based science but you will have some formal training in data science and find gaining…",Edinburgh,data scientist
Principal Applied Scientist,,Edinburgh,Amazon Dev Centre(Scotland)Ltd,3.5,"Proven track in leading, mentoring and growing teams of scientists (teams of five or more scientist).
This role offers a compelling mix of contemporary research…",Edinburgh,data scientist
Applied Scientist,,Edinburgh,Amazon Dev Centre(Scotland)Ltd,3.5,"Computer science grounding in a broad range of algorithms and data-structures with programming skills sufficient to extract, transform, and clean large (multi…",Edinburgh,data scientist
Applied Scientist - Personalization,,Edinburgh,Amazon Dev Centre(Scotland)Ltd,3.5,"Strong computer science grounding in a broad range of algorithms and data-structures.
You will design machine learning algorithms that scale to very large…",Edinburgh,data scientist
"Senior Consultant, Data And Analytics, Edinburgh",,Edinburgh EH3,EY,4.0,"Relevant, significant post-education work experience in solving business and analytical problems using quantitative approaches, data analysis techniques for…",Edinburgh,data scientist
Senior Data Science Engineer,,Edinburgh,Tesco Bank,3.3,"Using advanced data science techniques, with exposure to optimisation and visualisation.
Deploy data, models and toolkits in a controlled manner into cloud…",Edinburgh,data scientist
Machine Learning Scientist - Advertising,,Edinburgh,Amazon Dev Centre(Scotland)Ltd,3.5,"Programming skills sufficient to extract, transform, and clean large (multi-terrabyte) data sets in a Unix/Linux environment.",Edinburgh,data scientist
Data Analyst,,Edinburgh•Remote,Trustpilot,3.9,"You'll have tons of data available to you in our data warehouse at your fingertips, and you will work with the most cutting-edge analytical tools including…",Edinburgh,data analyst
Data Operations Analyst,,Edinburgh,Addepar,,"This will include overseeing the processing of transactions and positions so that it meets client timelines, ensuring data quality through verification checks,…",Edinburgh,data analyst
Data Analyst,,Edinburgh,Sainsburys,3.6,"Apply data analysis, design, modelling and quality assurance techniques to maintain data structures and associated data transformation components.",Edinburgh,data analyst
