title,salary,location,employer,employer_rating,summary,search_city,search_role
,"From £18,500 a year",Liverpool L3•Remote,Health Compare Ltd,,"Starting with gaining an understanding of how the whole system works, the role will focus initially on developing and maintaining the production environment to…",Liverpool,data analyst
,"£22,549 - £24,882 a year",Liverpool L13 1HD,Liverpool University Hospitals NHS Foundation...,,"The role is expected to d be able to analyse, update and report on the data held within the workforce systems for external, executive and operational purpose.",Liverpool,data analyst
Data Analyst,"£22,549 - £24,882 a year",Liverpool L3 4BL,Liverpool University Hospitals NHS Foundation...,,"And other data in word processing, spreadsheet, presentation and database applications.
Explaining complex data definitions in layman terms to a requester who…",Liverpool,data analyst
Graduate Data Analyst,"£23,000 - £26,000 a year",North West•Remote,Graduate Recruitment Bureau,4.9,"Analysing data using various software (training will be provided).
They are looking for a graduate analyst to provide strategic recommendations based on insight…",Liverpool,data analyst
Data Cleanse Analyst,,Liverpool,Tilney,3.7,"Analyse data from multiple sources to validate dimensions & impact of data quality issues.
Correct the data in our system by learning multiple process depending…",Liverpool,data analyst
,"£18,000 - £20,000 a year",Birkenhead CH41 1FN•Temporarily Remote,Rand Associates Consultancy Services Ltd,,"Set up new or follow existing processes within which data can be validated and amended where necessary, providing regular updates on progress and data accuracy.",Liverpool,data analyst
Text Analyst / Data Scientist (Band3/Seo),"£39,334 - £45,865 a year",Bootle,Health and Safety Executive,3.9,"Previous experience as a text analyst, data scientist, or other similar role.
Have worked in a data science field for a minimum of two years.",Liverpool,data analyst
Data Analyst,£400 - £450 a day,Liverpool,Uniting People,,"_Data profiling, data cleansing, and data enrichment skills through a variety of data sources, particularly SQL Server._.
Job Types: Full-time, Fixed term.",Liverpool,data analyst
,"£39,334 - £45,865 a year",Liverpool•Remote,Health & Safety Executive,3.9,"Previous experience as a text analyst, data scientist, or other similar role.
Have worked in a data science field for a minimum of two years.",Liverpool,data analyst
Data Analyst,,Chester•Remote,Sykes Cottages,3.3,"Ability to manipulate data using SQL.
Comfortable working with large data sets.
Implementing best practice for analytics and data management.",Liverpool,data analyst
,"£40,057 - £45,839 a year",St Helens WA10 3TP,St Helens and Knowsley Teaching Hospitals NHS...,4.0,"Utilise traditional data and wider resources including published literature, reports and locally held data sets to provide bespoke analysis and insight in…",Liverpool,data analyst
