title,salary,location,employer,employer_rating,summary,search_city,search_role
Data Analyst And Systems Support,"£20,000 - £22,000 a year",Oxford OX2,Ultimate Activity Camps,3.7,"Support operations team with ad hoc tasks, including amending online training system, supporting logistics, assisting with operations admin, etc.",Oxford,data analyst
Data Analyst,"£28,000 - £34,000 a year",Banbury•Temporarily Remote,Agilysis Ltd,,"Support clients in understanding our solutions including the underlying data, operation of online tools, and communicating use-cases.",Oxford,data analyst
Junior Analyst,"£24,000 - £26,000 a year",Banbury•Temporarily Remote,Agilysis Ltd,,"You will learn the fundamentals of data management, data warehousing, data cleansing and information analysis.
Job Types: Full-time, Permanent.",Oxford,data analyst
Graduate Data Science Analyst,"£24,000 a year",Oxford,Graduate Recruitment Bureau,4.9,"Manipulation of large data sets.
Strong analytical skills with proven ability to interpret data.
Conducting analysis on the data to optimise new business…",Oxford,data analyst
Performance Analyst - Research And Analysis (Graduates Welco...,"£30,000 a year",United Kingdom,Youturn,,Experience preparing and presenting data evaluation and performance monitoring briefings and data to partners would also be an advantage.,Oxford,data analyst
,"£43,000 - £46,000 a year",Abingdon,Robert Half,3.9,"Act as key commercial finance partner to sales managers for specified divisions, supporting with monthly projections, data analysis, pricing and any ad hoc…",Oxford,data analyst
,,Oxford,Oxford University Press,3.9,"Granting access to people data and systems in accordance with the permissions matrix.
An important part of this role is taking responsibility for improving data…",Oxford,data analyst
Insight Analyst Occ277377,"£31,346 - £33,782 a year",Oxford•Remote,Oxfordshire County Council,3.7,"Write reports setting out key findings from the data.
We are looking for a data professional who is a self-starter, has good analytical skills and can present…",Oxford,data analyst
Data Coordinator And Analyst,"£28,000 a year",Kidlington OX5 1HT,Inchcape,2.6,"Good analytical skills and ability to interpret data and identify trends.
Identification of Health-related risks causes of ill health and other trends, through…",Oxford,data analyst
Data Analyst,"£32,000 - £35,000 a year",Stokenchurch HP14 3SX•Temporarily Remote,Thames Valley Air Ambulance,4.3,"As a member of the Fundraising Team, the Data Analyst will play a key role in delivering a renewed focus on evidence-based decision making.",Oxford,data analyst
