title,salary,location,employer,employer_rating,summary,search_city,search_role
Pricing Data Scientist,,"Dallas, TX (Design District area)",Sonder,3.3,"Experience working with Product and Engineering teams at high growth companies to solve problems, identify trends and opportunities, productionize…",Dallas,data scientist
Ml Engineer,$70 - $75 an hour,"Dallas, TX•Remote",Epik Solutions,4.1,"Develop and support a platform that enables data scientists to rapidly develop, train, and experiment with machine learning models.",Dallas,data scientist
Machine Learning Engineer,$66 - $74 an hour,"Irving, TX (Valley Ranch area)","Oscar Mike, Inc",2.0,"3+ years of experience in deep learning in at least one machine learning framework (TensorFlow/Keras, PyTorch, Caffe, etc.).
Job Types: Full-time, Contract.",Dallas,data scientist
,,"Dallas, TX",Credera Experienced Hiring Job Board,,Our ideal candidate is excited about being on project-based teams in a client facing role to analyze large data sets to derive insights through machine learning…,Dallas,data scientist
Lead Data Scientist,,"Dallas, TX 75202 (Downtown area)",Integrity Marketing Group,3.7,Expert level skills around data visualization setup and tools that can provide business leaders with the ability to deep dive relevant data.,Dallas,data scientist
,,"Plano, TX 75024",Alkami Technology,2.7,"The ideal candidate will be a self-starter that has worked in-depth in data analysis, including experience extracting and manipulating data using SQL,…",Dallas,data scientist
Data Science Analyst,,"Richardson, TX 75081",ELO Touch,4.2,"Lead and perform feature engineering on machine learning models, perform statistical analysis to identify correlation and causation, use python or R for…",Dallas,data scientist
Senior Healthcare Data Analyst,,"Dallas, TX",Employers Health Network LLC,,"Analyzes medical and pharmacy data for network performance, population health and clinical trends, utilization and cost analysis and financial results using the…",Dallas,data scientist
Data Scientist,,"Plano, TX 75086",NTT Data,3.4,"They will be responsible for designing and executing processes related to machine learning & predictive modeling, data mining, and research on large scale…",Dallas,data scientist
Machine Learning Data Engineer,,"Dallas, TX",nFolks Ltd,,"Collaborate with other engineers and data scientists to design high performance architectures to support development of machine learning models, data wrangling…",Dallas,data scientist
,,"Dallas, TX 75201 (Uptown area)+1 location",Hawkeye,4.3,MS in data science/analytics with 2+ years of applicable marketing experience OR BA in data science/analytics with 4+ years of applicable marketing experience.,Dallas,data scientist
,,"Dallas, TX 75201 (Uptown area)",Hawkeye,4.3,"Collaborate with internal stakeholders to manage data logistics - including data transfers, understanding data structures, business rules, etc. - to enable…",Dallas,data scientist
Data Scientist,,"Addison, TX 75001",Concentra,3.4,"Make recommendations for new metrics, apply analytical techniques, and build ML models to improve insights for clinical analytics.",Dallas,data scientist
Ai Machine Learning Engineer,"Up to $105,000 a year","Irving, TX•Temporarily Remote",Trust Technologies LLC,,"Python and Data Analytics: 3 years (Preferred).
Design and implement conversational AI ML models, chat bots and Natural Language Processing (NLP).",Dallas,data scientist
Data Science Analyst,,"Dallas, TX 75201",Aspira Connect,3.7,"Ability to visualize data in the most effective way possible for a given project or study.
Advanced ability to perform exploratory data analysis.",Dallas,data scientist
,,"Lewisville, TX+2 locations",Overhead Door Corporation,3.3,"Ability to extract and analyze large amounts of data.
BI experience should be data from an Oracle eBusiness environment.",Dallas,data analyst
"Lead Analyst, Data Science - Pricing",,"North Richland Hills, TX 76180+2 locations",XPO Logistics,3.2,"Advanced programming and data mining skills.
Collect, pull, and push data to back-end storage using coding languages and data analysis technologies.",Dallas,data analyst
Sr. Data Analyst,,"Plano, TX",Fannie Mae,4.0,"Review and define technical and/or data requirements for moderately complex data interface enhancements.
Experience in the process of analyzing data to identify…",Dallas,data analyst
Senior Data Analyst,,"Plano, TX 75024",Siemens,4.0,"Conduct continuous data exploration of data sources (internal/external), working with other teams to add to DISW data lake, validate and cleanse the data, and…",Dallas,data analyst
Senior Data Analyst/Senior Data Engineer,,"Plano, TX 75023",Splunk,4.2,"If so, Splunk needs an experienced, validated tracking candidate with outstanding skills in data analytics and data engineering to support a fast paced and fast…",Dallas,data analyst
"Technical Business Analyst, Vp – Irving, Tx",,"Irving, TX+1 location",Citi,3.9,The Business Analysis Senior Manager is a senior management-level position responsible for liaising between business users and technologists to exchange…,Dallas,data analyst
Lead Biso Analyst (Enabling Areas),,"Dallas, TX 75201 (Downtown area)",Deloitte,4.0,"Use data analyst techniques to answer research questions about vulnerabilities, and general threat intelligence trends.",Dallas,data analyst
Data Visualization Lead - Vice President,,"Plano, TX","JPMorgan Chase Bank, N.A.",3.9,"Query data and merge information from diverse data sources to create rich datasets that enable better decision-making.
Knowledge of big-data (Hadoop) concepts.",Dallas,data analyst
Technical Data Analyst,"$64,575 - $83,025 a year","Dallas, TX",Omnicell,3.5,"Experience with data analysis using SQL, data mapping, data entry, and reporting.
Understand pharmacy claim data and transform data from disparate sources for…",Dallas,data analyst
"Corporate Compliance Analyst - Financial Crimes, Bsa/Aml/Ofa...",,"Atlanta, GA 30309 (Midtown area)",Regions,3.6,Ability to work with large data sets to ensure the integrity and completeness of the data and to compile the data into an actionable product.,Dallas,data analyst
,,"Coppell, TX","JPMorgan Chase Bank, N.A.",3.9,"Coordinating, reviewing, and extracting data files from various lines of businesses within JPMorgan for mail distribution.
Other Adhoc duties as they arise.",Dallas,data analyst
"Manager, Business Data Analytics",,"Dallas, TX 75240 (North Dallas area)",Onyx CenterSource,2.8,"The role will interface throughout the organization and partner with IT & the Data Analytics Architecture & Engineering team to support data consolidation,…",Dallas,data analyst
Awm F&Bm Planning & Analysis - Business Analysis Product Sup...,,"Plano, TX","JPMorgan Chase Bank, N.A.",3.9,"The team is responsible for providing value added financial reporting, planning/forecasting and analysis to help our product desks to improve financial…",Dallas,data analyst
,,"Dallas, TX 75201 (Downtown area)+1 location•Remote work available",Deloitte,4.0,This opportunity requires advanced business analysis skills within the ServiceNow platform that enable the selected candidate to deliver a high level of service…,Dallas,data analyst
Business Analysts,,"Irving, TX (Valley Ranch area)",Vyts,,"Create reports, analyze the design and data specifications.
Analyze the data in the interfaces by confirming and rechecking from databases and finalizing the…",Dallas,data analyst
Sr. Data Scientist - Credit Risk And Marketing Analytics,,"Plano, TX 75024",Republic Finance,3.6,"Work with IT and ensure successful deployment of the solution in the decision engine.
Familiar with data from various bureaus and third-party data providers.",Dallas,data scientist
"Senior Data Analyst, Marketing Analytics",,"Dallas, TX",Fundbox,4.4,"Design and develop tools, techniques, metrics, and dashboards for insights and data visualization.
Bachelor's Degree in a Science, Technology, Engineering,…",Dallas,data scientist
Data Scientist (Tx),,"Dallas, TX+1 location",Tiger Analytics,,"Experience with data visualization tools — Tableau, Power BI, etc. preferred.
Effectively communicate the analytics approach and how it will meet and address…",Dallas,data scientist
Sr. Healthcare Data Analyst,,"Dallas, TX 75244",Signify Health,3.0,"5+ years of relevant experience in data analysis, data science or analytics role.
Applying statistical analysis to provide deep insights and recommendations for…",Dallas,data scientist
Machine Learning Engineer,,"Irving, TX 75039",Kinetix Trading Solutions Inc,,"Developing and implementing advanced analytics approaches including statistical modelling, machine learning algorithms, text mining, regression, web analytics…",Dallas,data scientist
Machine Learning (Ml) Engineer,,"Dallas, TX",Alto Experience,4.0,The Machine Learning Engineer is responsible for designing and developing pipeline applications that run complex data science workflows delivering value to Alto…,Dallas,data scientist
Lead Machine Learning Engineer,,"Dallas, TX",Dialexa,,"Lead projects overseeing data scientists, data engineers, software engineers, and designers.
Mentor new data scientists and engineers on technical capabilities…",Dallas,data scientist
,,"Dallas, TX",Credera Experienced Hiring Job Board,,"The data engineer will be part of our team of strategy and technology consultants, contributing to projects focused on data strategy, data science, modern data…",Dallas,data scientist
Machine Learning Engineer Mid,,"Irving, TX 75063",GOIN,,"3+ years of experience in deep learning in at least one machine learning framework (TensorFlow/Keras, PyTorch, Caffe, etc.).",Dallas,data scientist
Sr Business Data Analyst,,"Irving, TX 75063",GOIN,,"Utilizing the knowledge of quantitative analytics, data mining, statistics, and data visualization to present insights to the senior management to facilitate in…",Dallas,data scientist
Senior Statistical Programmer,,"Dallas, TX•Remote work available","CTI Clinical Trial Services, Inc",3.9,Work with the lead statistician to manage projects to ensure statistical programming tasks are performed within the entire project timeline.,Dallas,data scientist
Senior Machine Learning Engineer (Crypto Exchange),,"Dallas, TX 75205 (Highland Park area)+2 locations",Recruiting From Scratch,,They are looking for senior data scientists and machine learning engineers who are interested in solving diverse and complex business problems.,Dallas,data scientist
Senior Ai Developer,,"Southlake, TX 76092",Avodah,2.7,"Design, implement, and train machine learning/deep learning architectures.
Proactive, self-starter with excellent project management skills and ability to…",Dallas,data scientist
,,"Dallas, TX+1 location",Credera Experienced Hiring Job Board,,Our ideal candidate is excited about leading project-based teams in a client facing role to analyze large data sets to derive insights through machine learning …,Dallas,data scientist
"Senior Software Engineer, Natural Language Processing / Nlp",,"Dallas, TX 75205 (Highland Park area)+1 location",Recruiting From Scratch,,"End-to-end System Design and Implementation: Gather training data; train, deploy, evaluate, and iteratively improve production-grade machine learning systems;…",Dallas,data scientist
Software Engineer Iii – Workday Data Product Analyst,,"Dallas, TX 75215",Walmart,3.5,"Assists in providing guidance to small groups of two to three engineers, including offshore associates, for assigned Engineering projects by proving pertinent…",Dallas,data analyst
"Lead Business Analyst, Saas Analytics - Opportunity For Work...",,"Dallas, TX•Remote",VMware,4.1,"Within 180 days, you will be expected to support your business partners long and short-term data needs by strategically positioning data products with the…",Dallas,data analyst
State Medicaid Data Warehouse Analytics Sme,,"Dallas, TX 75201 (Downtown area)",Deloitte,4.0,"Manage team s on a data warehousing engagement.
Experience implementing a data warehouse for State Medicaid Agency.
Organize knowledge transfer to clients.",Dallas,data analyst
Business Analyst,,"Addison, TX 75001","Securonix, Inc.",2.0,"A minimum of 3 years of experience in business analysis or a related field.
Evaluating business processes, anticipating requirements, uncovering areas for…",Dallas,data analyst
"Data & Analytics Manager, Deloitte Health Equity Institute,...",,"Dallas, TX 75201 (Downtown area)",Deloitte,4.0,"Evaluate data quality and promote data governance best practices, including confirming that data assets are monitored, and governance principles are upheld.",Dallas,data analyst
Pricing Data Analyst,,"Irving, TX 75039 (Las Colinas Urban Center area)",FleetPride,3.0,"Work collaboratively across multi-functional teams focused on enterprise data, data quality, business intelligence, operational data and enterprise resource…",Dallas,data analyst
Risk Analyst (Insurance),,"Irving, TX 75062 (Las Colinas Urban Center area)",Lehigh Hanson,3.2,"Assist in the Claims Management system; analyze data for accuracy.
The Risk Analyst will assist Risk Manager in managing North America’s (NAM) Risk Management…",Dallas,data analyst
Senior Financial Analyst,,"Dallas, TX+1 location",Texas Oncology,3.6,"Analyzes data sets and trends for anomalies, outliers, trend changes and opportunities, using statistical tools and techniques to determine significance and…",Dallas,data analyst
Global Chief Data Office Insights Analyst,,"Dallas, TX 75201 (Downtown area)",PRICE WATERHOUSE COOPERS,4.0,"Creating data visualizations and data storytelling;
Preparing data and manipulating data – Extraction Transformation & Loading (e.g. SSIS, Alteryx, Powercenter)…",Dallas,data analyst
