title,salary,location,employer,employer_rating,summary,search_city,search_role
Data Analyst - Power Bi,"£35,000 - £45,000 a year",Cambridge•Remote,Nemo Resourcing Limited,,"Turning data into accessible and smart Business Intelligence.
Working on a wide range of in-house and client requirements.
Power BI: 2 years (required).",Cambridge,data analyst
,,Cambridge,Ieso Digital Health,4.3,"Test data warehouse updates alongside data engineers.
A numerate/scientific degree or vocational experience as a data analyst in Healthcare.",Cambridge,data analyst
Research Analyst,,Cambridgeshire,Cogentia Healthcare Consulting,,"Analysing qualitative and quantitative data.
Portfolio. You will contribute to research, analysis and delivery in a range of practice areas including payer.",Cambridge,data analyst
System Workforce Analyst,"£32,306 - £39,027 a year",Fulbourn CB21 5EF,Cambridgeshire and Peterborough NHS Foundation...,2.8,"Undertake data analysis, data modelling and data transformation activities to support integrated workforce planning in the ICS.",Cambridge,data analyst
,,Cambridge CB4,The Public Library of Science (PLoS),,"Advanced excel and data manipulation skills.
Manipulate data and market insights to provide clear, relevant, and accurate reporting.",Cambridge,data analyst
Data Analyst,,Cambridge,CMR Surgical,,"In support of our Logistics team, you will provide critical data analysis to both support third party logistics tenders that will facilitate CMR's strategic…",Cambridge,data analyst
Data Analyst,,Cambridgeshire•Remote,Beauty Labs,,"Visualisation to bring clarity to complex data sets.
The Role Work closely with decision makers to advocate and promote a data driven culture.",Cambridge,data analyst
Performance Analyst - Research And Analysis (Graduates Welco...,"£30,000 a year",United Kingdom,Youturn,,Experience preparing and presenting data evaluation and performance monitoring briefings and data to partners would also be an advantage.,Cambridge,data analyst
Genomics Data Analyst,,Stevenage SG1,GSK,4.2,"Experience working with single-cell transcriptomics or epigenomics data.
Your primary focus will be to process data, perform quality-control and exploratory…",Cambridge,data analyst
"Online Research, Collection & Analysis (Orca), Lead Analyst","£33,000 a year",Huntingdon,Ministry of Defence,4.1,"A lead analyst will be an experienced analyst with experience in delivering analytical projects, managing other analysts and delivering innovation.",Cambridge,data analyst
Data Analyst - Sanger Sequencing,,Takeley,Azenta,,"Review and release of Sanger sequencing data from the laboratory according to our quality standards.
Advising customers on our Sanger sequencing products and…",Cambridge,data analyst
