title,salary,location,employer,employer_rating,summary,search_city,search_role
Business Analyst,,Crawley•Temporarily Remote,Tata Consultancy Services (TCS),3.9,"Accurate representation of business processes and data-flows are documented.
The analyst also supports the effective management of change by providing clear…",Brighton,data analyst
,"£32,910 - £35,745 a year",Brighton and Hove,Brighton & Hove City Council,4.0,The Performance Team provides integrated support across the FCL Directorate around performance information and data analysis to improve service delivery.,Brighton,data analyst
Data Analyst,"£34,304 - £40,927 a year",Brighton,University of Sussex,4.3,"Experience of extracting and transforming data.
Analysis of institutional, School and national data in order to support strategy development.",Brighton,data analyst
,"£26,000 a year",Brighton BN1 3XB,Vero Screening,3.8,"On a day to day basis, you'll input and process our financial data, create and maintain a wide range of financial reports and dashboards, as well as work with…",Brighton,data analyst
Performance Analyst - Research And Analysis (Graduates Welco...,"£30,000 a year",United Kingdom,Youturn,,Experience preparing and presenting data evaluation and performance monitoring briefings and data to partners would also be an advantage.,Brighton,data analyst
,,Crawley RH10 1DQ•Remote,Smol Products,,"You will be technically capable of validating and verifying views and data sources.
An important part of the role will be in coaching data champions within the…",Brighton,data analyst
Data Analyst,,Brighton,2K,,"You will be working within the Game Science Team, to help track, visualize, and interpret incoming player and performance data from both Live and in-development…",Brighton,data analyst
School Survey Data Analyst,£14.86 - £18.40 an hour,Brighton•Remote,SOLOS Consultants,,"You will work as part of the Public Health Team and be responsible for gathering, collating, analysing and reporting on data from School relating to COVID…",Brighton,data analyst
Data Analyst,,Brighton,Hangar 13,,"You will be working within the Game Science Team, to help track, visualize, and interpret incoming player and performance data from both Live and in-development…",Brighton,data analyst
,,Hove,Legal & General Group Plc.,3.6,"(ii) data management and manipulation.
You'll need to be extremely confident working with large volumes of data (in Excel) and this should be clearly…",Brighton,data analyst
Senior Data Analyst,"£70,000 - £80,000 a year",England,Metrica Recruitment,,"Python experience of transforming data and building data pipelines.
Work with the team to understand their requirements, gather the data, clean the data, and…",Brighton,data analyst
Business Analyst,"£40,000 - £50,000 a year",Brighton•Remote,TLM Nexus,,"Familiarity of development and database technologies ability to understand data mapping.
Experience in developing and documenting requirements, with acceptance…",Brighton,data analyst
,£500 - £600 a day,England•Remote,Robert Half,3.9,"Working with internal teams to identify who owns the data/code and how to remediate.
Follow up user ID data security breaches (breaches in ID credentials in…",Brighton,data analyst
,"£32,000 - £40,000 a year",England•Remote,Robert Half,3.9,"Assist in maintaining the data warehouse.
Assist in maintaining data mapping protocols and structure.
Take responsibility for the loading of data via Azure Data…",Brighton,data analyst
Customer Insight Analyst,"£28,000 - £38,000 a year",Brighton and Hove BN1,Pour Moi Ltd,,Understand our current data landscape and work collaboratively with other teams to improve data quality & embed a data driven approach.,Brighton,data analyst
Machine Learning Scientist,"£40,000 a year",Hove•Remote,EDF Limited,3.9,"Collaborating with developers and data scientist to deliver integrated projects.
Extracting, cleaning and formatting data from various heterogeneous sources.",Brighton,data scientist
