title,salary,location,employer,employer_rating,summary,search_city,search_role
,"From £18,000 a year",Leicester•Remote,Advantage Parts Solutions,3.5,"Excellent academics with either a degree involving data and data analytics or suitable alternative experience.
Excellent communication and presentation skills.",Leicester,data analyst
Data Analyst,"£23,817 - £26,016 a year",Leicestershire•Temporarily Remote,Leicestershire Police,3.7,This is a great opportunity to step into your first role as a Data Analyst or expand your current data analytical skills.,Leicester,data analyst
,,Enderby,Next PLC,3.4,"Knowledge of data mining techniques.
Experience with data visualisation tools e.g. PowerBI.
Previous exposure to SQL or other data analysis tools.",Leicester,data analyst
,"£20,000 a year",Leicester LE19,Catch22,3.8,"Experience in the management and interrogation of data systems.
Advanced understanding of information management, data analytics and reporting.",Leicester,data analyst
,"£30,007 - £45,011 a year",Leicester•Remote,ICUC Social,,"High-speed internet connection (no data restrictions).
Must be able to demonstrate experience with social media tools & interact with online community tools…",Leicester,data analyst
Graduate Data Analyst (Nottingham - September 2022),,Nottingham NG2 1EP,Experian,3.8,"As you progress, you will increase your understanding of data governance, data operations processes, data intelligence, implementation and standardisation or…",Leicester,data analyst
,,Ibstock LE67,Ibstock Plc,2.4,"Reconciliation of BI data (Cognos) with GL data across businesses and product groups.
Analytical working with large volumes of data from multiple systems…",Leicester,data analyst
Service Analysis And Improvement Analyst,"£32,234 - £34,728 a year",Leicester,Leicester City Council,3.8,The true value lies in your ability to support our successful delivery model through the use of quality research and data analysis techniques to develop and…,Leicester,data analyst
Data Analyst And Integrator (Ktp Associate),"£30,000 - £40,000 a year",Loughborough,Loughborough University,4.3,"The system, comprising a suite of sensors, operating software and data transmission and analytics to provide a unified view of data from numerous sources,…",Leicester,data analyst
Incident And Problem Analyst,,Enderby,Next PLC,3.4,"Regular and comprehensive audits of the Incident processes in order to maintain data quality standards.
Work closely with the Service Delivery Projects teams to…",Leicester,data analyst
Corporate Research Analyst (Global Role In A Virtual Working...,,Leicester•Remote,Grant Thornton,3.7,"Utilize intermediate Excel data skills to clean, structure, and format family tree data for upload into the conflict checking system.",Leicester,data analyst
Data Analyst,,Leicester,Cromwell Group,2.2,"In this role as, Data Analyst, you'll be responsible for maintaining and developing data driven solutions for the entire business to effectively consume,…",Leicester,data analyst
Marketing Data Analyst,,Enderby,Next PLC,3.4,"You will be taking complex big data, measuring the impact of marketing campaigns through various channels, and using data visualisation tools to promote…",Leicester,data analyst
,,Derby DE21,Pendragon Vehicle Management,,"The creation, maintenance and interpretation of reporting, using data obtained from multiple data sources.
Ability to accurately interpret data and communicate…",Leicester,data analyst
Data Analyst,,Nottingham NG2 1EP,Experian,3.8,"Understanding of data, data structures and their value regarding use for analysis, marketing and CRM.
Analytical thinking with numerical and data problem…",Leicester,data analyst
Data Scientist,"£35,000 - £55,000 a year",United Kingdom•Remote,MarketFinance,4.7,"Experience with modern data tools and big data technologies (e.g. Azure).
Experience using Python, including the use of data manipulation, cleansing and data…",Leicester,data scientist
Data Scientist - Personalisation,,Nottingham,Boots,3.8,"Experience with data visualisation tools such as PowerBI.
Experience of analysing data sets through SQL or similar tools.",Leicester,data scientist
Lead Data Scientist,,Market Harborough LE16,Joules Limited,4.1,"Proven analytical experience in a rich data driven environment.
Partner with stakeholders to build and manage data science applications.",Leicester,data scientist
Senior Data Scientist,,Enderby,Next PLC,3.4,"Interrogate large volumes of data from a range of sources, including transactional, demographic and online, to collect data for modelling.",Leicester,data scientist
Researcher In Data Science,"£25,627 - £39,739 a year",Derby,University of Derby,3.9,"A typical project would involve initial discussions and setting out of a quick data audit and trajectory to identify the data insight demands, but also the data…",Leicester,data scientist
,,Derby,Rolls-Royce,4.0,"Experience of delivering data and analytical solutions to a business.
Interface with the People Analytics extended team (Krakow technical and data science team,…",Leicester,data scientist
Safety Manager – Data Scientist/Toxicologist,,Nottingham,Boots,3.8,Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods to drive continuous improvement of the products and…,Leicester,data scientist
Head Of Data,"£45,000 - £55,000 a year",Corby•Remote,Utility Bidder Limited,3.4,"With the future growth plans, an understanding / experience of data migration projects as well as knowledge of linking online data sources such as GA to CRM…",Leicester,data scientist
Machine Learning Engineer,,Nottingham•Remote,GMV,,"Working in an agile, cross-functional team composed of both engineers and data scientists, taking responsibility for delivering predictive data products.",Leicester,data scientist
Data Scientist,"£55,000 - £60,000 a year",Coventry,Harnham,4.6,"This role requires a high standard of commercial experience as a data scientist.
Explore data sets to expand using different modelling approaches.",Leicester,data scientist
Planning Analyst,,Coventry CV7 9JU,Meggitt,3.2,"Present information using data visualization techniques.
Critical thinking and problem-solving skills are essential for interpreting data.",Leicester,data scientist
Machine Learning – Antibody Discovery Scientist (Ktp Associa...,"£30,000 - £35,000 a year",Nottingham,University of Nottingham,4.1,"Isogenica is a research and development biotechnology company, which develops highly specialised antibodies for future clinical use.",Leicester,data scientist
National Supply Chain Analyst,"£41,200 a year",Atherstone CV9 2SQ,Aldi,3.3,"Data analysis, data maintenance, data representation.
Minimum graduate degree in data science, data analytics.
Ability to create business reports.",Leicester,data scientist
Safety Manager – Data Scientist/Toxicologist,,Nottingham,No.7 Boots,3.1,Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods to drive continuous improvement of the products and…,Leicester,data scientist
Hr Data Scientist,£28.11 an hour,Coventry,Jonathan Lee Recruitment Ltd,4.4,"Drive the upskilling of HR colleagues in data understanding, interpretation and insights to enable effective data driven processes and decisions.",Leicester,data scientist
Data Analyst,,Nottingham NG2 1EP,Experian,3.8,"Understanding of data, data structures and their value regarding use for analysis, marketing and CRM.
Analytical thinking with numerical and data problem…",Leicester,data analyst
Data Analyst,,Derby DE1,Flint Bishop Solicitors,,We are looking for a hands-on individual who is a natural problem solver with proficient data analytical skills and overall data accuracy.,Leicester,data analyst
Data Analyst,"£30,000 - £32,000 a year",Coventry CV3 4FL,Calex UK,,"Complete data remediation activities in the Learner Management System.
Have you got a basic understanding of data modelling concepts?",Leicester,data analyst
,"£38,000 - £44,660 a year",Coventry,Ofqual (Office of Qualifications and Examinations...,,"You will use data for both exploration and explanation and have a passion for effective data visualisation.
You will use data to inform and analyse risks in the…",Leicester,data analyst
Compliance & Risk Analyst (Happy To Discuss Flexible Working...,,Leicester•Temporarily Remote,Grant Thornton,3.7,"Experience of using data sources such as Dun & Bradstreet, BvD and Dow Jones.
We will be looking for you to use your analytical skills to collate documentation…",Leicester,data analyst
Marketing Operations Analyst,"£28,000 - £37,000 a year",Leicester•Remote,Tate Recruitment Nottingham,,"Ability to utilize CRM system (Pardot and SalesForce) to organize, segment and report on existing marketing and sales performance data and trends.",Leicester,data analyst
Digital Marketing Analyst,,Nottingham NG1 4BU,Nottingham Trent University,4.1,"The role will support the provision of digital marketing analytics, using data help to drive online performance and improve the user experience and ROI across…",Leicester,data analyst
Digital Business Analyst,,Leicester•Remote,Cromwell Group,2.2,"Previous demonstrable experience as a digital business analyst or equivalent.
You will work closely with cross functional teams including development, UX,…",Leicester,data analyst
,"£45,000 - £55,000 a year",Leicester,Harnham,4.6,"Finding the data to help the data science team alter algorithms.
Therefore, this leading retail brand is looking to hire an enthusiastic Digital Marketing…",Leicester,data analyst
Epr Data Migration Analyst - Cerner,"£40,057 - £45,839 a year",Coventry CV2,University Hospitals Coventry and Warwickshire NHS...,3.5,Deliver testing intervals of the data to ensure data quality is achieved and all agreed data in scope is captured.,Leicester,data analyst
Sustainability Analyst,"£35,000 - £40,000 a year",Leicestershire•Remote,Cherry Professional,,"Excellent data and analytical skills including the ability to manipulate, interpret and report multiple data and data sources.",Leicester,data analyst
Digital Marketing Analyst,,Enderby,Next PLC,3.4,"Understanding of what data can be extracted from these platforms for analysis.
Desirable: experience building predictive models using a range of data science…",Leicester,data analyst
,"£22,549 - £31,534 a year",Derby DE22 3NE,University Hospitals of Derby and Burton NHS...,3.8,"The use of reporting tools to interpret and summarise data is essential, as is a keen sense for effectively communicating with data, in particular using the…",Leicester,data analyst
