title,salary,location,employer,employer_rating,summary,search_city,search_role
Research Data Analyst,,"San Francisco, CA 94143 (Inner Sunset area)+4 locations",University of California San Francisco,4.1,"Responds to requests for confidential cancer data and cancer statistics.
Ability to evaluate and interpret GIS, epidemiologic, and statistical data.",San+Francisco,data analyst
,,"San Francisco, CA",US Environmental Protection Agency,4.1,"GS-13: 1) Analyzing data involving audits, evaluations, and investigations; 2) Developing data dashboards using business intelligence solutions (e.g. Power BI)…",San+Francisco,data analyst
,,"San Francisco, CA 94105 (Financial District area)+4 locations•Remote work available",Heluna Health,3.8,Strong skills in translating data findings and data management needs in order to inform decision-making and data use by program leaders and other collaborators.,San+Francisco,data analyst
,,"San Francisco, CA",Google,4.3,"Experience with data-driven storytelling and data-driven insights.
Develop, design, and create data tables and dashboards and use data analytics and other…",San+Francisco,data analyst
,,"San Francisco, CA 94103 (Financial District/South Beach area)•Remote work available",Quantcast,3.4,"Experience using 1st party data for audience learnings & discovery is preferred.
You think creatively and enjoy discovering new and innovative ways to analyze…",San+Francisco,data analyst
,,"San Francisco, CA 94104 (Financial District/South Beach area)",Tonkean,,"Partner across different organizational stakeholders to define data governance.
Partner across different organizational stakeholders to define data governance.",San+Francisco,data analyst
Associate Regulatory Data Analyst,,"San Francisco, CA (Financial District/South Beach area)+1 location•Temporarily Remote",Federal Reserve Bank of San Francisco,4.1,"Do you have a passion for data?
As an analyst on the Bank Credit team, you will draw upon your knowledge of economics, finance, accounting, and data analytics…",San+Francisco,data analyst
"People Tech Business Analyst, Recruiting",,"San Francisco, CA 94103 (South of Market area)",Pinterest,4.2,Team members who want to teach and mentor other analysts and supporting analysts - you share knowledge freely and help to build up the team.,San+Francisco,data analyst
,,"San Francisco, CA",Paceline,4.3,"3-5 years of experience in data analysis.
Comfortable with data analytics, SQL and data visualization.
Engage with Product Managers and key stakeholders across…",San+Francisco,data analyst
Data Analyst,,"San Francisco, CA",Tron,,"Knowledge of statistics and data science concepts.
Strong communication skills and comfortable presenting data clearly to audience of all levels.",San+Francisco,data analyst
Data Analyst I,,"San Francisco, CA 94108 (Financial District area)+2 locations",NextEra Energy,3.9,"Collect, process, and analyze client data using Python or R.
EIQ Mobility, a subsidiary of NextEra Energy Resources (NEER), is a data science and software…",San+Francisco,data analyst
,,"San Francisco, CA•Remote",Denken Solutions Inc,4.8,"Maps data flows and/or interfaces for impacted business processes.
Define pseudo-code transformation rules and data quality rules for target metrics and derived…",San+Francisco,data analyst
Data Systems Analyst,,"San Francisco, CA 94143 (Inner Sunset area)",University of California San Francisco,4.1,"As data steward, they will focus on data curation, data exchange, data security, and data integrity.
Familiarity with highly complex logical data design and…",San+Francisco,data analyst
"Strategy & Analytics Analyst (Monetization Office), Universi...",,"San Francisco, CA",TikTok,3.5,"Our team uses data analysis to help drive the company’s monetization strategy and operations.
We’re looking for a Business Intelligence (BI) analyst to drive…",San+Francisco,data analyst
"Data Analyst, Customer Success",,"San Francisco, CA+1 location",Square,3.6,"2 years of analytical experience in consulting, data analytics, data science, or machine learning and predictive analytics.
Check out our I+D page.",San+Francisco,data analyst
"Data Scientist I, Product Analytics",,"San Francisco, CA",Tinder,4.6,"Comprehensive health coverage, competitive salary, 401(k) employer match, Employee Stock Purchase Plan (ESPP).",San+Francisco,data scientist
University Grad Data Scientist,,"San Francisco, CA 94103 (South of Market area)+1 location",Pinterest,4.2,"You'll apply quantitative analysis, modeling, and data mining to improve the relevance of Pins across our Ads, Search, and Feeds products.",San+Francisco,data scientist
,,"San Francisco, CA 94143 (Inner Sunset area)+3 locations",University of California San Francisco,4.1,"The incumbent will be using data analyses, large scale data sets preferably in health care, and involving traditional inferential biostatistical approaches (e.g…",San+Francisco,data scientist
"Staff Data Scientist, Virtual Hq",,"San Francisco, CA•Remote work available",Slack,3.8,Evangelize evidence-based decision making by partnering with key decision makers and driving general accessibility of data and insights.,San+Francisco,data scientist
Data Scientist,,"San Francisco, CA 94104 (Financial District/South Beach area)+1 location•Remote work available","Grammarly, Inc.",4.6,"Grammarly’s data scientists have the freedom to innovate and uncover breakthroughs—and, in turn, influence our product and growth roadmap.",San+Francisco,data scientist
Data Scientist,,"San Francisco, CA 94105 (Financial District area)+3 locations",Gap Inc.,3.7,"Manipulate large amounts of data across a diverse set of subject areas, collaborating with other data scientists and data engineers to prepare data pipelines…",San+Francisco,data scientist
Data Scientist,,"San Francisco, CA",Avila Trading,,"(Ability to write functions, clean and efficient data manipulation are mandatory for this role).
Conceptual understanding in Machine Learning models like Nai¨ve…",San+Francisco,data scientist
"Data Scientist, Applied Data Science",,"San Francisco, CA+1 location",Kyte,,"Highly communicative and ability to manage a variety of different stakeholders.
Minimum 2+ years of hands on experience in data science.",San+Francisco,data scientist
Data Scientist - Creator Product,,"San Francisco, CA+6 locations","Twitch Interactive, Inc.",3.5,"Bachelor's degree, or higher, in computer science, engineering, math, statistics, data analytics, operations research, or related field or equivalent data…",San+Francisco,data scientist
