title,salary,location,employer,employer_rating,summary,search_city,search_role
Data Analyst H/F,45 000 € par an,Paris 7e (75),NOT SO DARK,,"Recueillir, traiter et analyser les données relatives à l’activité.
Déterminer les outils et méthodes d’acquisition de données.
Data analyse: 2 ans (Exigé).",Paris,data analyst
Data Analyst - Confirmé - H/F,50 000 € par an,Paris (75),Yotta,,"Data Cleansing : Création des pipelines de data (structura-on, nettoyage, ETL) pour accélérer les analyses en interne.",Paris,data analyst
Data Analyst - H/F,50 000 € par an,Saint-Ouen (93),Hays,"3,6",Sql / Microsoft-excel / Alteryx / Powerbi / Analytics / Business analysis / Business intelligence / Communication / Gestion de projet.,Paris,data analyst
,,Paris (75),BALENCIAGA S.A.S.,,"Previous experience in BI role or analyst is a plus.
Work with the eCommerce team and key stakeholders to create a data visualization that matches business &…",Paris,data analyst
,,Paris (75)+ 1 lieu,mediametrie,"3,1","Rattaché au Directeur département statistique et en lien avec l'équipe composée de 4 personnes, vous serez notre Data analyst H/F.",Paris,data analyst
,,Paris (75),Le Bon Marché,"4,3","Développer la communication autour des datas et l’exploitation des analyses au sein de l’entreprise.
Etudier l’évolution du comportement de la base client et…",Paris,data analyst
,35 000 € - 40 000 € par an,Paris 9e (75),AUDILO,"4,5","Data analyst: 2 ans (Optionnel).
Vous êtes diplômé d’une école statistique ou équivalent Master et avez une première expérience de data manager dans le domaine…",Paris,data analyst
,,Villejuif (94),LCL,"3,6","Etre le référent data Client pour les travaux menés pour la distribution / schéma distributif, notamment les projets d’implantation d’agences.",Paris,data analyst
Data Analyst,,Levallois-Perret (92),Ysance,,"Nous sommes organisés en deux communautés très complémentaires : Tech for Data (engineering & architecture) et Data for Business (data science, viz, data…",Paris,data analyst
,36 000 € - 45 000 € par an,Paris 2e (75)•Télétravail temporaire,SHAPE IT,,"Et concernant chaque shaper (si tu nous rejoins, toi aussi tu deviendras un shaper), [shape it] compense l'empreinte carbone VIE PRO & VIE PERSO.",Paris,data analyst
,,Paris (75),Novencia,"5,0","Data Analyst depuis 3 ans, vous êtes à la recherche de nouveaux défis.
Création d’un outil d’aide à la décision pour l’évaluation du risque des aéronefs …",Paris,data analyst
,35 000 € - 40 000 € par an,Paris 14e (75),CHRONOFRESH,,"Vous êtes titulaire d’un diplôme d’études supérieures (Bac+5) ou d’ingénieur dans le domaine des data sciences (statistiques, big data…) et justifiez d’au moins…",Paris,data analyst
Data Analyst - Cdd 4 Months,,Paris (75),Cartier,"4,0","Within communication team but working closely with a multidisciplinary tech / business team, the data analyst will:
Data Analyst - CDD 4 months.",Paris,data analyst
Stagiaires Business / Data Analyst Santé,,Paris 8e (75)•Télétravail temporaire,Carenity,,"Vos missions principales – sous la supervision de chefs de projets et data analysts seniors aux profils variés (pharmaciens, statisticiens, ingénieurs et…",Paris,data analyst
Data Analyst H/F,,Paris (75),Crédit Agricole Assurances,"3,8","Développer l’utilisation de techniques innovantes (data science) pour exploiter la multitude de données disponibles.
O Réaliser les enquêtes à chaud et à froid.",Paris,data analyst
Data Analyst H/F,45 000 € par an,Paris 7e (75),NOT SO DARK,,"Recueillir, traiter et analyser les données relatives à l’activité.
Déterminer les outils et méthodes d’acquisition de données.
Data analyse: 2 ans (Exigé).",Paris,data scientist
Data Scientist H/F,,Paris (75),Groupe Pierre & Vacances - Center Parcs,"3,7","You are comfortable in manipulating and analyzing complex data from varying sources.
Explain sophisticated data science concepts and their implications to…",Paris,data scientist
Data Scientist Junior F/H,45 000 € par an,Paris (75),5team Sas,,"Une connaissance du big data serait un plus.
Dans le cadre de projets à fortes visibilités, vous collaborerez avec une équipe basée à Saint Pierre des Corps …",Paris,data scientist
Data Scientist Junior (H/F),,Rungis (94),Lidl France,"3,2","Gérer et analyser les données de nos 25 directions régionales, et mettre en place des indicateurs permettant d’améliorer le pilotage de l’activité,.",Paris,data scientist
,,Paris (75),La Banque Postale,"3,7","Vous aimez les data et les outils SAS et Python vous sont familiers.
De formation supérieure avec une spécialité en statistiques, probabilités ou data-science,…",Paris,data scientist
Data Scientist - Lutte Contre La Fraude H/F,,Paris (75),La Banque Postale,"3,7","Vous avez des acquis solides en méthodes de datamining (classification hiérarchique, régression, analyse factorielle, associations) et une connaissance…",Paris,data scientist
,42 000 € - 54 000 € par an,Paris 9e (75),K-ciopé,,"K-ciopé accélère son développement et recherche un data scientist confirmé.
Chez K-ciope, nous concevons et développons des expériences sur mesure, simples et…",Paris,data scientist
,,Courbevoie (92),CM-CIC LEASING SOLUTIONS,"4,0","Sélectionner les nouveaux outils et techniques de data management.
Excellente maitrise des outils de data management : R, Python et la maitrise de SAS serait un…",Paris,data scientist
Data Scientist (H/F),,Paris (75)+ 1 lieu,Allianz France,"3,9",Réaliser des études data ou Machine Learning pour analyser de nouvelles opportunités ou répondre à des demandes métiers en interagissant directement avec les…,Paris,data scientist
Data Scientist,,Levallois-Perret (92),Ysance,,"Nous sommes organisés en deux communautés très complémentaires : Tech for Data (engineering & architecture) et Data for Business (data science, viz, data…",Paris,data scientist
Junior Data Scientist H/F,,Paris (75),CANDRIAM,"4,1","Participate to transversal projects regarding data governance, best practices and data quality,.
Help building a robust data cleaning process and advice…",Paris,data scientist
Delivery Data Scientist - Jeune Diplômé(E) Aspire,,Paris (75),Microsoft,"4,2","Fort intérêt pour en data science.
Titulaire d'un Master en informatique, génie informatique, IT, data science ou des domaines similaires depuis moins de 18…",Paris,data scientist
,,Paris (75)+ 1 lieu,BNP Paribas,"3,9","Rattaché au Département Etudes & Management de la Connaissance Client (EMC2) au sein de la direction de la Stratégie Retail, le pôle Exploratoire, Analyse et…",Paris,data scientist
,,Paris (75)+ 1 lieu,mediametrie,"3,1","Rattaché au Directeur département statistique et en lien avec l'équipe composée de 4 personnes, vous serez notre Data analyst H/F.",Paris,data scientist
,,Paris (75),Novencia,"5,0","Data Scientist depuis 4 ans, vous êtes à la recherche de nouveaux défis.
Optimisation et industrialisation d’outils de Data Visualisation.",Paris,data scientist
Data Analyst (H/F),,Paris (75),Chanel,"4,1","Participer aux tests d’implémentation de nos outils de « Data Quality Management » et de « Match & Merge »;
Participer à la définition et à la mise en place des…",Paris,data analyst
Data Analyst Stagiaire,,Malakoff (92),D-AIM,,"Au sein de notre Pôle Clients, vous rejoignez l’équipe Data Analytique (11 collaborateurs) et participez à l’ensemble des sujets liés à la maîtrise et à l…",Paris,data analyst
,,Paris (75),Chanel,"4,1","Supporter l'équipe dans la restitution des résultats aux différents partenaires internes.
Être force de proposition quant à de nouveaux thèmes d'investigation…",Paris,data analyst
Data Analyst,,Paris (75),Procter & Gamble,"4,1","Strong analytical skills, using multiple data sources, with ability to query and analyze data.
Ability to multitask and have either an entrepreneur or…",Paris,data analyst
,38 000 € - 42 000 € par an,Paris (75)•Télétravail temporaire,Wifirst,,"Il participe activement à l’élaboration de parcours clients digitaux de qualité, à la conception d’outils métiers adaptés aux processus business et à la…",Paris,data analyst
Data Analyst F/H,40 000 € - 55 000 € par an,Paris (75),Kent FR,,"Connaissance des clients (analyse des parcours, segmentation, etc...) ;",Paris,data analyst
,,Issy-les-Moulineaux (92),Orange,"4,0","Vous pensez automatisation du pilotage de l’activité, vous développez en langage R et vous utilisez le package Shiny.",Paris,data analyst
,,Issy-les-Moulineaux (92),La Banque Postale,"3,7","Composée, à fin 2021, de plus de 1 000 collaborateurs répartis au siège (équipes coverage grandes entreprises et institutions financières, fonctions supports)…",Paris,data analyst
Customer Data Analyst (H/F),,Neuilly-sur-Seine (92),Make Up For Ever,"4,0","Contribuer aux projets data client de la Maison.
Vous maîtrisez les analyses statistiques et les techniques de data mining.",Paris,data analyst
Data Analyst H/F H/F,,Paris (75),Nexton Consulting FR,,"Nous recherchons un data analyst H/F pour notre client, un grand acteur des assurances.
NEXTON accompagne les pure players digitaux et grands comptes dans leur…",Paris,data analyst
,,Paris 11e (75)+ 2 lieux,Orange France,"4,0","Profil développeur, bases de données (SQLServer/MySQL) et développement web.
Connaissance outils dataviz type PowerBI, QLik Sense, Cube OLAP est un plus.",Paris,data analyst
Data Analyst H/F,,Courbevoie (92),Allianz France,"3,9",Réaliser des études clients basées sur l'utilisation des data disponibles en interne (analyse et visualisation des données) ou en open data.,Paris,data analyst
Junior Data Analyst,39 000 € par an,Levallois-Perret (92),Atradius France,,"Contribuer à l’évolution technologique des processus de production de données et de leur représentation visuelle (data visualisation),.",Paris,data analyst
,,Paris 8e (75),Maisons du Monde,"3,3","Des connaissances Google Analytics et la maitrise d’un outil de data visualisation sont un plus.
Vous êtes à l’aise pour restituer des résultats d’analyse et…",Paris,data analyst
Data Analyst Intern (H/S/T),,Paris (75),PayFit,,"Work closely with the data engineers and the senior data analyst to contribute to the development of data pipelines & infrastructure, and build intermediate…",Paris,data analyst
,,Paris (75),Energy Way,,Formaliser des tableaux de bord en s’appuyant sur des solutions de data visualisation permettant de présenter la donnée sous forme graphique et de l’exploiter…,Paris,data scientist
,,Paris (75),Le Bon Marché,"4,3","Piloter et suivre des projets liés aux datas et à la connaissance client :
Faire évoluer et superviser la qualité des outils de reporting internes (power BI,…",Paris,data scientist
Data Scientist Etudes Et Modèles Statistiques H/F,,Paris (75),BNP Paribas,"3,9","Rattaché au Département Etudes & Management de la Connaissance Client (EMC2), le pôle Etudes et Modèles Statistiques est une équipe actuellement de 6 data…",Paris,data scientist
Junior Data Scientist,,Paris 1er (75),Adikteev,,"Experience working in teams using data science.
ML skills - Proficiency in querying, structuring and processing qualitative or quantitative data to draw…",Paris,data scientist
Data Scientist (H/F),,Paris (75),Positive Thinking Company,"3,8",Vous avez environ déjà une expérience professionnelle significative en tant que data scientist idéalement dans le domaine de la banque.,Paris,data scientist
Data Analyst (H/F),,Paris (75),Chanel,"4,1","Au sein du département Digital & Innovation Services dans l’équipe Data vous participez activement au développement de la connaissance client: Digital , E…",Paris,data scientist
,,Paris (75),Crédit Agricole d'Ile-de-France,"3,8","Nous recherchons un(e) data scientist H/F qui aura pour missions principales :
Au sein de l’équipe data science de la Direction Marketing Digital Client, le…",Paris,data scientist
Data Scientist F/H,,Paris (75),BRED Banque Populaire,"3,3",Cette équipe se compose de 7-8 data scientists et travaille en transverse sur l’ensemble des problématiques data science des différentes directions.,Paris,data scientist
