title,salary,location,employer,employer_rating,summary,search_city,search_role
,,Deutschland•Homeoffice,Acxiom Deutschland GmbH,,"Beratung zu allen Aspekten von Datentypen, Datenquellen, Zielgruppen und ihrer Aktivierung auf allen verfügbaren digitalen Kanälen.",Berlin,data analyst
Data Analyst Intern (All Genders),,Berlin+2 Orte,PayFit,,"Work closely with the data engineers and the senior data analyst to contribute to the development of data pipelines & infrastructure, and build intermediate…",Berlin,data analyst
,,Berlin,Solarisbank,"4,7","You will work closely with data warehouse team to design and maintain scalable data models.
You have experience with data modelling.",Berlin,data analyst
"Data Analyst, Product Analytics",,Berlin,Alooba,,"1-3 years of relevant experience interpreting data in an analytics, data science or business intelligence role.
Monthly hackathons and weekly tech talks.",Berlin,data analyst
Bi Analyst (F/M/D),,Berlin,zenloop GmbH,"4,5","As a BI Analyst, you will enable and empower managers and data owners across all departments to utilize data in their decision making process.",Berlin,data analyst
,,Berlin,ultimate.ai,,"Support maintaining relevant data sources.
Experience with data visualization / reporting.
Experience working with product analytics data (e.g. Google Analytics…",Berlin,data analyst
Data Insights Analyst (All Genders),,Berlin,Outfittery GmbH,"4,0","You have a proven hands-on data analytics track record.
You familiarize with and incorporate machine learning models to improve data-driven decisions.",Berlin,data analyst
,,Berlin,Sonova Digital,,"Help stakeholders and provide solutions on data-related topics.
You are able to observe patterns and draw conclusions from data.
You are fluent in English.",Berlin,data analyst
,,Berlin,Nuri,,"You enable Growth through treating, processing and analysing complex data sets.
You liaise with multiple stakeholders (e.g., Customer Support, Finance,…",Berlin,data analyst
,,Berlin,Bolt,,"Experience in consulting, data analysis, business intelligence, and/or implementing data-driven solutions is a plus..
Data Analysis.",Berlin,data analyst
,,Berlin,audibene,,"Tell stories with data by creating intelligent and informative dashboards.
Proactively analyze data to provide insights, enhancing business strategy and…",Berlin,data analyst
Intern Business Analyst (M/F/D),,Berlin+1 Ort,numa group,,"Your role includes working with data and analyzing booking patterns to make pricing decisions.
You will be hands-on in running experiments and executing data…",Berlin,data analyst
Data Analyst (F/M/X),,Berlin,Cornelsen eCademy & inside GmbH,,"Experience with data engineering and data pipeline design.
You may need to work with data engineers in getting specific data into the data warehouse for your…",Berlin,data analyst
,,Berlin,Bolt,,"Experience in consulting, data analysis, business intelligence, and/or implementing data-driven solutions is a plus..
Data Analysis.",Berlin,data analyst
Data Analyst - Commercial (M/F/X),,Berlin,reBuy reCommerce GmbH,"3,0","Proficiency in SQL and experience of working with large data sets.
We are looking for someone with an impressive business acumen who can drive data-backed…",Berlin,data analyst
Data Scientist Schwerpunkt Azure Plattform (W/M/D),,Berlin,Deutsche Bahn,"3,5","In der Einheit Data Intelligence bauen wir aktuell ein Team auf, das die Möglichkeiten des MS Azure Technologie Stacks für Fragestellungen im Data Science und…",Berlin,data scientist
Junior Data Scientist (F/M/X),,Berlin,Mister Spex SE,"3,5","Understanding of ETL procedures, data migration, integration or data quality concepts is a plus.
You will take over responsibility within the whole lifecycle of…",Berlin,data scientist
,,Berlin,Accenture,"4,0","SinnerSchrader wurde 1996 gegründet, ist seit 1999 börsennotiert und hat Studios in Hamburg, Berlin, Frankfurt am Main, München, Zürich und Prag.",Berlin,data scientist
(Senior) Research Scientist - Zalando Research,,Berlin,Zalando SE,"3,1","Your work will be use case inspired basic research, enabled by your expertise, by Zalando’s vast data pool, interactions with millions of customers, and by our…",Berlin,data scientist
Senior Applied Scientist (W/M/D) - Outfit Inspiration And St...,,Berlin,Zalando SE,"3,1",E xperience building and leading complete ML products; from the problem analysis and data selection to their production deployment.,Berlin,data scientist
Senior Data Scientist (M/F/D) Ifrs9 Modelling,70.000 € - 80.000 € pro Jahr,Berlin-Mitte,Selby Jennings,,"Minimum of 2 years of work experience in data engineering.
You are the interface between several software development departments, data analysts and the…",Berlin,data scientist
,,Berlin,NLC - Next Level Commerce,,"Als Tochterunternehmen und Innovationsmotor der K-Mail Order (KLiNGEL Gruppe), welche mit 15 Marken in 12 Ländern zu den führenden Multichannel-Distanzhändlern…",Berlin,data scientist
,,Berlin,reBuy reCommerce GmbH,"3,0","Proficiency in SQL and experience of working with large data sets.
Mine and analyze data from company databases to drive improvement of sales processes (majorly…",Berlin,data scientist
,,Berlin,Ferratum,,"Ability to use different data visualization practices to provide data-driven insights.
Mine and analyze data from company databases to provide meaningful…",Berlin,data scientist
Data Scientist,,Berlin,Pandata,,"Algorithm development and data visualization.
Knowledge of analytics and data science domains, including statistics and data analysis (min 3 years of work…",Berlin,data scientist
International Trainee Program In Commercial Data Science And...,5.000 € pro Monat,Berlin,Bayer,"4,1","As part of the global function Data Science and Advanced Analytics, you will contribute to establish a data driven operating model and enable insight based…",Berlin,data scientist
Data Scientist (F/M/D),,Berlin,Hypatos GmbH,,"You will be on the cutting edge of data science, and collaborate closely with other data scientists, machine learning engineers and key stakeholders to leverage…",Berlin,data scientist
,,Berlin,Crosslend GmbH,"4,5","As good models build up on a solid knowledge of the underlying data, you will be involved in the entire value chain of data onboarding, processing and…",Berlin,data scientist
,,Berlin-Kreuzberg,Haensel AMS GmbH,,"Perform complex data analysis tasks.
Improve with our tech team our data processing modules.
Nice-to-have: AWS (S3, EC2, RDS, Athena, etc.), experience with…",Berlin,data scientist
Data Scientist (F/X/M) — Digital Biomarkers And Digital Drug...,,Berlin,Newsenselab,,"Experience with temporally structured data (e.g., assimilating data into equations of motion to estimate disease progression) is a plus.",Berlin,data scientist
Data Analyst - Commercial (M/F/X),,Berlin,reBuy reCommerce GmbH,"3,0","Proficiency in SQL and experience of working with large data sets.
We are looking for someone with an impressive business acumen who can drive data-backed…",Berlin,data analyst
Data / Business Analyst - V.I.E (Allemagne),,Berlin,autobiz,,"Nous recherchons un Data/Business Analyst profondément passionné par les projets data, capable de transformer des données brutes en recommandations commerciales…",Berlin,data analyst
Data Analyst / Storyteller (F/M/X),,Berlin,Polyteia,,"Explore data and transform it into meaningful data stories and data visualizations for mayors, treasurers, department heads in cities and towns.",Berlin,data analyst
Power Data Analyst,,Berlin,TrailStone Group,,"As a power data analyst, you will work closely with power traders and power analysts to develop our analytical platform in Berlin.",Berlin,data analyst
,,Berlin,Vanilla Steel,,"Strong quantitative skills - able to handle large amounts of data, fluent in Excel / Google Sheets.
As Operations Analyst, your responsibilities will be to…",Berlin,data analyst
,,Berlin-Kreuzberg,Haensel AMS GmbH,,"Support our clients with data analytics insights.
You have some experience with data visualizations tools such as powerBI, Tableau or Looker.",Berlin,data analyst
Games Data Analyst,,Berlin,Stratosphere Games GmbH,,"To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and…",Berlin,data analyst
,,Berlin+1 Ort,reBuy reCommerce GmbH,"3,0","Proficiency in SQL and experience of working with large data sets.
Mine and analyze data from company databases to drive improvement of sales processes (majorly…",Berlin,data analyst
Production Engineer Data Analyst,,Berlin,u-blox,,"Querying data, linking data to other tools.
Experience in data models, database design development, data mining and segmentation techniques.",Berlin,data analyst
,,Berlin,Löwenstark Online-Marketing GmbH,,"Frische Ideen, ein feines Gespür für Online-Trends und langjährige Erfahrung – das ist es, was unsere Teams so erfolgreich macht.",Berlin,data analyst
,,Berlin,OptioPay Group,,"You have experience with statistics, data mining, data modelling and SQL.
You have a passion for analyzing large amounts of data.",Berlin,data analyst
Data Analyst (M/W/D),26 € pro Stunde,Berlin-Mitte•Homeoffice,Hanseatic-Statistics,,"Wir suchen Verstärkung für unser Team, bestehend aus 18 Data AnalystInnen und DozentInnen für Statistik und Statistikanalyse Software.
SPSS | R | STATA*.",Berlin,data analyst
"Data Analyst, Product Analytics",,Berlin,GetYourGuide,"3,9","2-3 years of relevant experience interpreting data in an analytics, data science or business intelligence role.
Strong knowledge of SQL and knowledge of Python.",Berlin,data analyst
Business Intelligence Analyst,,Berlin,Pandata,,"Work with data engineers to ensure a solid data infrastructure.
Perform in-depth analysis on business performance data.
Solid communication skills in English.",Berlin,data analyst
"Data Analyst, Product M/F/D",,Berlin,Vestiaire Collective,,"Stakeholder management and facilitation of data-driven decision making.
Data querying and analysis, supporting the tribe in providing actionable data insights.",Berlin,data analyst
Applied Scientist - Economics And Causal Inference (M/F/D),,Berlin,Zalando SE,"3,1","Actively collaborate with economists and data science colleagues.
Keep the team up-to-date with the latest research in causal inference methods that rely on…",Berlin,data scientist
Data Scientist Returnship Program (M/W/D),,Berlin,Amazon Deutschland Servcs GmbH,"3,5","Previous experience in a ML or data scientist role.
2+ years of non-internship professional data science experience.
Must be unemployed for 1+ years.",Berlin,data scientist
,,Berlin,,,"Drive data science functional excellence across other data enabled teams in the company.
You will work together with data scientists to bring machine learning…",Berlin,data scientist
,,Berlin•Vorübergehend im Homeoffice,neurocat GmbH,,"To expand our research team, we are looking for a passionate and innovative *AI Research Scientist (m/f/d)* with a strong academic background in Machine…",Berlin,data scientist
Data Scientist,,Berlin,Immerlearn,,"As a data scientist at ImmerLearn, you work hand-in-hand with client-facing consultants to build technical solutions.",Berlin,data scientist
Junior Data Scientist (M/W/D),,Berlin,Mercedes-Benz Consulting GmbH,"4,0","Implementierung von Data-Science-Lösungen für Anwendungsfälle unserer Kunden.
Anwendung von Machine-Learning-Modellen in Python oder R in Zusammenarbeit mit…",Berlin,data scientist
Data Scientist (F/M/D),,Berlin,wefox,"4,3","In this role you will employ a wide range of data science and machine learning methods, bring data products to production, and work with diverse data sources.",Berlin,data scientist
Data Scientist,,Berlin,Amazon Deutschland Servcs GmbH,"3,5","Three or more years in a research science, ML, or data scientist role and a track record of strong statistical analysis and building machine or deep learning…",Berlin,data scientist
Data Scientist (F/M/D),,Berlin,Lampenwelt GmbH,"4,2","Architect our new data platform and build processes for automated scaling, data governance and monitoring.
Create data models to understand and optimize various…",Berlin,data scientist
Junior Data Scientist,,Berlin,7Learnings,,"7Learnings ist ein Technologie- und Softwareunternehmen mit dem Ziel, Automatisierung und Optimierung im Handel voranzutreiben.",Berlin,data scientist
Data Scientist,,Berlin,inne,,"Perform data mining and analysis to optimize inne-algorithms for biological data interpretation of fertility hormones.
Experience with hormonal- data analysis.",Berlin,data scientist
,,Berlin,Amazon Development Center DEU,"3,5","Experience with data science/machine learning frameworks (TensorFlow, PyTorch, Spark, or similar) and related libraries.",Berlin,data scientist
,,Berlin,TERAKI GmbH,,"Work on data pre-processing and labeling of the data recoded with RADAR-camera setup.
Teraki provides data reduction and data processing solutions for…",Berlin,data scientist
Data Scientist (M/F/D),,Berlin,Flaconi GmbH,"3,7","You will develop processes and pipelines to monitor and analyze model performance and data quality over time.
Multiple years of experience with Python.",Berlin,data scientist
Data Scientist (F/M/D),,Berlin,FYTA,,"The data we will be collecting includes plant-specific sensor information generated by our smart plant sensor, weather data, user interaction data, customer…",Berlin,data scientist
,,Berlin,Löwenstark Online-Marketing GmbH,,"Frische Ideen, ein feines Gespür für Online-Trends und langjährige Erfahrung – das ist es, was unsere Teams so erfolgreich macht.",Berlin,data analyst
,,Berlin,OptioPay Group,,"You have experience with statistics, data mining, data modelling and SQL.
You have a passion for analyzing large amounts of data.",Berlin,data analyst
Data Analyst (M/W/D),26 € pro Stunde,Berlin-Mitte•Homeoffice,Hanseatic-Statistics,,"Wir suchen Verstärkung für unser Team, bestehend aus 18 Data AnalystInnen und DozentInnen für Statistik und Statistikanalyse Software.
SPSS | R | STATA*.",Berlin,data analyst
"Data Analyst, Product Analytics",,Berlin,GetYourGuide,"3,9","2-3 years of relevant experience interpreting data in an analytics, data science or business intelligence role.
Strong knowledge of SQL and knowledge of Python.",Berlin,data analyst
Business Intelligence Analyst,,Berlin,Pandata,,"Work with data engineers to ensure a solid data infrastructure.
Perform in-depth analysis on business performance data.
Solid communication skills in English.",Berlin,data analyst
"Data Analyst, Product M/F/D",,Berlin,Vestiaire Collective,,"Stakeholder management and facilitation of data-driven decision making.
Data querying and analysis, supporting the tribe in providing actionable data insights.",Berlin,data analyst
Music Content Data Manager & Analyst (Part-Time) (M/F/D),,Berlin,flowkey,"4,2","Passion for data management, visualisation & storytelling.
This will include managing copyright data and collaboration with our external licensing partners.",Berlin,data analyst
Data Analyst (M/F/D),,Berlin,Audible,,"Be able to investigate data anomalies.
Build and maintain basic data artifacts (e.g., ETL, data models, queries) and reports that correctly answer business…",Berlin,data analyst
Data Analyst - Purchasing (F/M/X),,Berlin,wirkaufendeinauto.de,"3,2","Bachelor's degree and first initial practical work experience as an analyst or in big data topics.
Conduct data analysis and set up report with SQL and Google…",Berlin,data analyst
"Data Analyst, Data Intelligence",,Berlin,SumUp,"3,8","Work with data engineering team to resolve data & reporting issues.
Familiarity with data governance and GDPR.
You'll be great for this role if you have;",Berlin,data analyst
,,Berlin,Seven Senders,,"Experience with cloud based data warehouse solutions.
Collaborate with Stakeholders on all levels to make data driven decisions.",Berlin,data analyst
,,Berlin,Miro,,"Intermediate experience writing SQL queries and working with large data sets (DBT, Snowflake, Spark are a plus).
Health insurance for you and your family.",Berlin,data analyst
Werkstudent - Data Analyst (F/M/D),,Berlin,Yara,,"You support the team to validate data flows, tracking setups and data consistencies.
You have some experience analysing data with a (statistical) programming…",Berlin,data analyst
Data Analyst (M/F/D),,Berlin,KW-Commerce GmbH,"3,5","To turn data into valuable insights you will identify business-relevant metrics and KPIs to conduct data abstraction, cleansing, validation, and modeling.",Berlin,data analyst
Data Analyst (M/W/D),,Berlin,MYTOYS GROUP,"3,3","Die auch mal beherzt ins kalte Wasser springen.
Als Data Analyst (m/w/d) im Partnerprogramm bist Du für die Business-Planung des Partnerprogramms und für alle…",Berlin,data analyst
Scientist (M/F/D) In Electrochemistry / Chemical And Physica...,,10553 Berlin,Atotech Beteiligungs und Management GmbH & Co. KG,"3,7","You take responsibility for your data and ensure the link your area of expertise across disciplines.
This includes evolving and developing experimental…",Berlin,data scientist
,,Berlin,Curalie GmbH,,You will identify and evaluate potential data sources and algorithms to solve industry and business related problems.,Berlin,data scientist
Senior Data Scientist - Fraud,,Berlin,Klarna,"3,8","Further enhance your skills in practical Machine Learning and Software Engineering, by developing state-of-the-art supervised and unsupervised models, creating…",Berlin,data scientist
