title,salary,location,employer,employer_rating,summary,search_city,search_role
,,"Atlanta, GA+2 locations",McKinsey & Company,4.3,"In this role, you will be a hands-on technologist who connects and models complex distributed data sets to build repositories such as data warehouses and data…",Atlanta,data analyst
,,"Brookhaven, GA 30329+2 locations",Children's Healthcare of Atlanta,4.2,"5.Manages data management processes (e.g. data entry, file transfer).
1.Consults with team members to identify optimal methodology for data collection and…",Atlanta,data analyst
,,"Atlanta, GA","City of Atlanta, GA",3.7,"Bachelor’s degree as described above, plus 5 years data analysis experience.
Ability to review data and identify data trends and/or inconsistencies.",Atlanta,data analyst
,,"Atlanta, GA 30301 (Buckhead area)+1 location",Home Depot / THD,3.7,"Operates under the supervision and mentorship of more experienced managers and data scientists.
A Data Analyst, Supply Chain leverages technical abilities to…",Atlanta,data analyst
Data Analyst,,"Atlanta, GA",Microsoft,4.2,"4+ years experience wrangling and analyzing data for large asset catalogs, subscription-based data sets.
Drive a reporting rhythm to share data-driven business…",Atlanta,data analyst
,,"Atlanta, GA 30303 (Downtown area)+2 locations",InComm Payments,2.5,"Build a case for the accuracy of internal data, present data to external parties, and collect sums due InComm.
(Datasets often have over a million records).",Atlanta,data analyst
,,"Atlanta, GA 30301 (Buckhead area)+3 locations•Remote",Moody's,3.7,"Analyze data from potential data providers.
Regularly report data and technical issues to data providers.
Run and analyze the data processing and calculations…",Atlanta,data analyst
Data Analyst I,,"Atlanta, GA 30328+1 location",Cox Automotive,3.4,"O Troubleshoot data-related problems from Cases.
We play to win and strive to make buying, selling, owning (or simply using) cars easier for everyone.",Atlanta,data analyst
Data Analyst,,"Atlanta, GA 30309 (Midtown area)",Equifax,3.5,"Hands on experience in data wrangling, data cleaning, data clustering and subsequent data visualization and analytics.",Atlanta,data analyst
,,"Atlanta, GA 30303 (Downtown area)+1 location",Booz Allen Hamilton,3.9,"Develop or contribute solutions to a variety of public health data challenges of varying scope and complexity.
Participate in testing of developed solutions.",Atlanta,data analyst
,,"Atlanta, GA 30309 (Midtown area)",Federal Reserve Bank of Atlanta,3.9,"Working with other analysts, prepares reports and documentation to support proposed recommendations.
Follows standard procedures in analyzing situations or data…",Atlanta,data analyst
Data Analyst - Remote,,"Atlanta, GA 30309 (Midtown area)•Remote",Frontdoor,,"Ability to analyze and interpret complex data.
Responsible for providing data analysis to recommend actions of a moderately complex nature to improve business…",Atlanta,data analyst
Data Analyst,,"Atlanta, GA 30303 (Downtown area)+1 location",Atlanta Regional Commission,4.5,"Possess advanced writing skills and data analysis;
Knowledge in collecting and utilizing data to inform and evaluate programs;",Atlanta,data analyst
,,"Atlanta, GA 30301 (Buckhead area)+2 locations•Remote",Home Depot / THD,3.7,"Experience in E-commerce, data management, process analysis and improvement.
The Digital Content Data Analyst serves as the primary product data category lead…",Atlanta,data analyst
Data Analyst,,"Atlanta, GA 30326 (North Buckhead area)",Rockefeller Capital Management,4.3,"0-5 years reporting / data analytics.
Strong data and analytical understanding.
The ideal candidate will be ultra-focused on client excellence, is thorough in…",Atlanta,data analyst
Data Scientist - Quantumblack Labs,,"Atlanta, GA+7 locations",McKinsey & Company,4.3,"Building frameworks and libraries for data scientists and data engineers to work in large-scale, complex projects.",Atlanta,data scientist
,,"Atlanta, GA 30308 (Midtown area)+1 location",Honeywell,3.7,Must possess 3 years of experience in the following: Data Science prototyping experience (Python and/or R tool-stack) using machine learning techniques and…,Atlanta,data scientist
Data Scientist - R&D Beverage Category,,"Atlanta, GA 30313 (Downtown area)",The Coca-Cola Company,3.9,This position requires specialization in applying data analysis and machine learning approaches to help us understand the connections between technical data and…,Atlanta,data scientist
Data Scientist 2,,"Atlanta, GA",Microsoft,4.2,"We are looking for experienced data scientists who know how to solve complex big data problems, work with statistics and algorithms, analyze big data and can…",Atlanta,data scientist
Data & Applied Scientist,,"Atlanta, GA+2 locations",Microsoft,4.2,"The goal of this team is to predict trends, find insights, and produce actionable, trustworthy recommendations and decisions for Microsoft 365 admin center,…",Atlanta,data scientist
Data Scientist - Nationwide Opportunities,,"Atlanta, GA+1 location","Amazon Web Services, Inc.",3.5,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,Atlanta,data scientist
Data Scientist,,"Atlanta, GA+1 location",Visa,3.9,"Extract and understand data to form an opinion on how to best help our clients and derive relevant insights.
Develop custom data models and algorithms to apply…",Atlanta,data scientist
"Data Scientist, Mid",,"Atlanta, GA 30303 (Downtown area)",Booz Allen Hamilton,3.9,"Apply broad understanding of the principles of computer and information science to the advancement of life sciences research, health professions education,…",Atlanta,data scientist
,,"Atlanta, GA 30301 (Buckhead area)",S&P Global,3.9,The Lead Data Scientist is a member of S&P Global Market Intelligence's Data Science team who partners with machine learning engineers and business partners to…,Atlanta,data scientist
Data Scientist,,"Atlanta, GA 30339",RaceTrac,3.6,"Uses machine learning, predictive modeling, and analytical techniques to build solution approaches, interprets key findings from company data, and leverages…",Atlanta,data scientist
Data Analytics Support,,"Atlanta, GA 30303 (Downtown area)+32 locations",Deloitte,4.0,"Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from…",Atlanta,data scientist
"Lead Data Scientist, Enterprise Analytics",,"Atlanta, GA 30349+1 location","Chick-fil-A, Inc.",3.9,"Lead Data Scientists typically leverage and implement pre-defined analytics patterns and infrastructure on projects that are moderately complex, requiring…",Atlanta,data scientist
,,"Atlanta, GA 30301 (Buckhead area)+1 location",Home Depot / THD,3.7,"Our data scientists are involved in all facets of the project from problem identification, coding & model building, presentations to senior leadership, product…",Atlanta,data scientist
"Data Scientist I - Card Fraud Analytics - Atlanta, Ga",,"Atlanta, GA 30309 (Midtown area)",Truist Financial,3.6,"Independently perform sophisticated data analytics (ranging from classical econometrics to machine learning, neural networks, and natural language processing)…",Atlanta,data scientist
"Product Analyst, Data Science",,"Atlanta, GA+1 location",Google,4.3,"Interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.",Atlanta,data scientist
,,"Atlanta, GA+1 location",Delta,4.2,"Experience with SQL and data visualization tools such as Power BI or Tableau.
Leverages emerging technologies and identifies efficient and meaningful ways to…",Atlanta,data analyst
,,"Brookhaven, GA 30329",Children's Healthcare of Atlanta,4.2,"Analyzes data, conducts research and produces detailed reports and deliverables.
Communicates, maintains, and researches investment data and its results.",Atlanta,data analyst
Data Analyst,,"Atlanta, GA 30329+3 locations•Temporarily Remote",Emory University,4.0,"Creates and maintains a data dictionary and meta data.
Supports efforts to ensure that data standards are developed and maintained.",Atlanta,data analyst
,,"Brookhaven, GA 30329",Children's Healthcare of Atlanta,4.2,"2 years of progressive experience working with enterprise resource planning systems or data management.
Provides requested financial data and analysis in a…",Atlanta,data analyst
Online Business Analyst (Remote),,"Atlanta, GA 30301 (Buckhead area)+2 locations•Remote",Home Depot / THD,3.7,"10% Perform ad hoc reporting based on the business needs and extract the proper data from relevant THD systems.
Must be eighteen years of age or older.",Atlanta,data analyst
Hr Data Analyst,,"Atlanta, GA",Piedmont Healthcare,3.8,The HR data analyst is involved in the basics of data-driven HR in the organization – including ad hoc reports and dashboarding.,Atlanta,data analyst
Management Analyst I (Crime Analyst),,"DeKalb County, GA","DeKalb County, GA",3.5,"Conducts operational research, productivity analyses and/or management studies in order to learn about departmental operations, programs, and services; compiles…",Atlanta,data analyst
Data Analyst,,"Atlanta, GA 30302 (Five Points area)",Grid Dynamics,,"Maintain data models, data types and technical data definitions.
Understands big data concepts like raw zone, data lake, data warehouse, etc.",Atlanta,data analyst
Covid 19 Vaccination Data Analyst,,"Atlanta, GA",Georgia Department of Public Health,3.5,Assess minimum data collection and surveillance system requirements for COVID-19 vaccine introduction and monitoring vaccine effectiveness.,Atlanta,data analyst
"Product Analyst, Data Science",,"Atlanta, GA",Google,4.3,"You will weave stories with meaningful insight from data.
You will work to effectively turn business questions into data analysis, and provide meaningful…",Atlanta,data analyst
Data Analyst - Southeast,,"Atlanta, GA 30308 (Downtown area)",Avison Young,3.7,"Adding data to platform daily through news and conversations with data analysts, brokers, tenants, owners, architects and economic development organizations…",Atlanta,data analyst
Entry Level Analyst Program - Associate Analyst Investment D...,,"Atlanta, GA 30327",Voya Financial,3.4,"Perform daily and monthly quality control functions to ensure integrity of data prior to data release to end users.
Tuition reimbursement up to $5,250/year.",Atlanta,data analyst
Associate Data Analyst,,"Atlanta, GA 30361 (Midtown area)",WebMD,3.6,"Bachelor’s degree in data analytical fields or at least 4 years additional experience in data analytics.
Microsoft Excel (including pivots, formulas, and macros…",Atlanta,data analyst
,,"Atlanta, GA",Kaiser Permanente,4.1,"Progressive experience with data extracts, manipulation and/or data management.
Minimum four (4) years of provider contracting, provider data and health care…",Atlanta,data analyst
,,"Atlanta, GA 39901",Qlik,3.7,"Partner with BI and data analysis teams to ensure data accuracy.
Management and refinement of rules and data sets.",Atlanta,data analyst
"Data Scientist I - Card Fraud Analytics - Atlanta, Ga",,"Atlanta, GA 30309 (Midtown area)+1 location",Truist Financial,3.6,"Independently perform sophisticated data analytics (ranging from classical econometrics to machine learning, neural networks, and natural language processing)…",Atlanta,data scientist
"Product Analyst, Data Science",,"Atlanta, GA",Google,4.3,"Interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation.",Atlanta,data scientist
Data Scientist,,"Atlanta, GA 30303 (Five Points area)",OnPoint,3.6,Work with subject matter experts to build analytics solutions with a combination of first principles and machine learning algorithms.,Atlanta,data scientist
,,"Atlanta, GA 30301 (Buckhead area)",Home Depot / THD,3.7,25% Technical Exploration & Development - Seek further knowledge on key developments within data science by attending conferences and publishing papers;…,Atlanta,data scientist
Data Scientist Ii,,"Atlanta, GA 30328",Cox Automotive,3.4,Our data scientists are responsible for leading the development of advanced analytics models to solve our customers’ problems through innovative products and…,Atlanta,data scientist
Data Scientist -- Skills Product Platform,,"Atlanta, GA•Remote",Pluralsight,4.0,This role is a good fit for hands-on data scientists who enjoy experimenting with new ideas and working with cloud computing technologies.,Atlanta,data scientist
Data Scientist,,"Atlanta, GA 30339",NAPA Auto Parts,3.6,"Background in machine learning and data mining techniques.
Strong abilities in data exploration, data manipulation, and data visualization.",Atlanta,data scientist
Data Analyst/Sr. Data Analyst,,"Atlanta, GA 30309 (Midtown area)",Federal Reserve Bank of Atlanta,3.9,Be a resource for information gathering and data analysis; create analytical tools that can provide efficient audit approaches; support the data acquisition…,Atlanta,data scientist
,,"Atlanta, GA+1 location",Delta,4.2,"Experience with SQL and data visualization tools such as Power BI or Tableau.
The Analyst is responsible for the design, development, and optimization of…",Atlanta,data scientist
Data Science,,"Alpharetta, GA 30004+3 locations",Verizon,3.9,"Partner with team and non-team data scientists to teach complex concepts, assess project feasibility, select input features and validate project output.",Atlanta,data scientist
Senior Data Scientist - Nationwide Opportunities,,"Atlanta, GA","Amazon Web Services, Inc.",3.5,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,Atlanta,data scientist
Sponsor Funded Professional - Data Scientist (Working Title:...,,"Atlanta, GA 30303 (Downtown area)",Georgia State University,4.1,"Responds to data requests by identifying the correct data source, developing the logic to extract the data, and creating insights based on the analysis of the…",Atlanta,data scientist
Data Scientist,,"Atlanta, GA",NielsenIQ,,Develop creative scientific approaches to solve for client’s business questions that are currently not addressed with standard information available.,Atlanta,data scientist
Senior Data Scientist,,"Atlanta, GA",Visa,3.9,"Extract and understand data to form an opinion on how to best help our clients and derive relevant insights.
Communicating evidence based insights and conveying…",Atlanta,data scientist
Jr. Data Scientist (Security Clearance Required),,"Atlanta, GA 30303 (Downtown area)",Deloitte,4.0,"Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from…",Atlanta,data scientist
,,"Atlanta, GA",Metropolitan Atlanta Rapid Transit Authority...,3.6,"Collects and analyzes data for the purpose of forecasting future ridership and passenger revenue, statistics, performance measure calculations, trend analyses…",Atlanta,data analyst
"Maximo Data Analyst | Atlanta, Ga",,"Atlanta, GA+1 location",Apexon,,"Maximo data analysis, report writing, and support.
Must have 2+ years of IBM Maximo experience.",Atlanta,data analyst
,,"Alpharetta, GA",Morgan Stanley,3.8,"Experience working with large data sets specifically focused on Cyber Security.
Perform big data analysis to identify indicators of potentially malicious…",Atlanta,data analyst
,,"Atlanta, GA",Ogletree Deakins,3.3,"Demonstrated experience formulating data reports and performing detailed data analysis.
Interpret and translate data into written reports, executive summaries,…",Atlanta,data analyst
Psychiatry - Information Analyst I (Temporary Part-Time),,"Atlanta, GA 30329",Emory University,4.0,"Collects, compiles and analyzes data and/or statistics.
Two years of experience in compiling and analyzing data OR a bachelor's degree.",Atlanta,data analyst
,,"Atlanta, GA",McKinsey & Company,4.3,"Ability to easily understand complex algorithms and logic to process data.
Experience working with a large volume of data with the ability to solve performance…",Atlanta,data analyst
