title,salary,location,employer,employer_rating,summary,search_city,search_role
,,Deutschland•Homeoffice,Acxiom Deutschland GmbH,,"Als Junior Data Analyst (m/w/d) @Acxiom ist es deine Aufgabe, unsere Kunden und Stakeholder dabei zu unterstützen, verfügbare Daten zu verstehen und mit ihnen…",Hamburg,data analyst
,,Hamburg,Accenture,"4,0",SinnerSchrader gehört zu den führenden Design- und Technologie-Agenturen Europas mit dem Fokus auf Design und Entwicklung von digitalen Produkten und Services.,Hamburg,data analyst
,,Hamburg,ABOUT YOU SE & Co. KG,,"Routine in data crunching & visualization.
Prepare and model data using modern database technologies.
Do you want to support the Team by handling many terabytes…",Hamburg,data analyst
Process And Data Analyst (All),,Hamburg,Spairliners GmbH,,"First working experience in data analysis.
Analyze our output and performance data, create relevant KPIs using Power BI from Microsoft.
Tasks you will work on:",Hamburg,data analyst
,,Hamburg,Container xChange,,"Experience in data modelling, data wrangling and data mining.
Set up a scalable data warehouse for marketplace data with standard data-tables that automates the…",Hamburg,data analyst
Business Analyst (M/F/D),,Hamburg,PALTRON GmbH,,"Additionally, you’re responsible for visualizing data by building dashboards using PowerBI and similar tools.
Also social support: subsidy for daycare/childcare…",Hamburg,data analyst
,,Hamburg•Homeoffice,Kale&Me GmbH,,"DATA ANALYST (m/w/d).
Dauer: unbefristet, 10-20h / Woche.
Anpassung und Neuentwicklung von Auswertungen für Marketing, Vertrieb und Logistik.",Hamburg,data analyst
Data Analyst,,Hamburg,WarnerMedia,,"Collaborate with external data source providers to receive and review data files.
Basic technical skills are required, including experience with SQL, data…",Hamburg,data analyst
Business Analyst (M/F/D),,Hamburg,MOIA,"2,3","Drive the business: You proactively push data-based insights into the organization.
You are experienced in the application of Python, R or similar to work with…",Hamburg,data analyst
Junior Data Analyst (All Genders),,Hamburg,Cocomore AG,,"Die Cocomore AG ist eine Agentur für Marketing, IT & Experience Design mit 180 Mitarbeiterinnen und Mitarbeitern und Büros in Frankfurt/Main, Genf, Köln, Berlin…",Hamburg,data analyst
Global Customs Analyst,,Hamburg,Flexport,,"We aim to do this by building the Operating System for Global trade - a strategic model combining advanced technology and data analytics, logistics…",Hamburg,data analyst
Data Analyst (M/W/D),26 € pro Stunde,Hamburg•Homeoffice,Hanseatic-Statistics,,"+++ Hi, please note that the german language is necessary for this position ( >=C1) +++.
Wir suchen Verstärkung für unser Team, bestehend aus 18 Data…",Hamburg,data analyst
(Junior) Research Data (Insights) Analyst (M/W/D),,Hamburg,Omnicom Media Group Germany,"3,8","Du zapfst frei zugängliche Datenquellen an und ziehst uns Insights für die Fragestellungen unserer Kunden daraus.
Dir fällt noch mehr ein?",Hamburg,data analyst
(Junior) Data Analyst (W/M/D),,Hamburg,freenet Group,"3,0","Ein Unternehmen der freenet Group.
Mobilcom-debitel bietet ein umfangreiches Portfolio rund um die Themen Mobilfunk, TV und Internet.",Hamburg,data analyst
Working Student M/F/D Data Analyst – Regional Commercial,,Hamburg,Hapag-Lloyd AG,,"Acquiredata from primary or secondary data sources and maintain databases/data systems.
Develop andimplementdatabases, data collection systems, data analytics…",Hamburg,data analyst
Data Scientist Angewandte Statistik (M/W/D),,Hamburg•Vorübergehend im Homeoffice,PPI AG,"4,0","Ziel Deiner Arbeit ist es, unseren Kunden valide Entscheidungsgrundlagen bereitzustellen und mit ihnen gemeinsam datengetriebene Geschäftsprozesse zu gestalten.",Hamburg,data scientist
,,Hamburg,Accenture,"4,0","SinnerSchrader wurde 1996 gegründet, ist seit 1999 börsennotiert und hat Studios in Hamburg, Berlin, Frankfurt am Main, München, Zürich und Prag.",Hamburg,data scientist
Remote Sensing Scientist– Altimetry,7.500 € pro Monat,Deutschland,EUMETSAT,"4,3","Manage the Altimetry team and its resources, including development of the scientific knowledge required to support the exploitation and evolution of EUMETSAT…",Hamburg,data scientist
,,Hamburg,sovanta AG,,"The opportunity to take responsibility while working alongside other data science colleagues.
Chance to analyze complex data sources, develop machine learning…",Hamburg,data scientist
Data Scientist For Business Analytics (M/F/D),,Hamburg,MOIA,"2,3","Proficiency with hypothesis testing and data visualization.
A degree in a quantitative scientific discipline and/or work experience as a data scientist or…",Hamburg,data scientist
(Junior) Data Scientist (M/W/D),,Hamburg,ABOUT YOU SE & Co. KG,,"Diese Produkte beinhalten unter anderen das Attributionsmodell und die Customer Lifetime Value Metriken.
Dabei ist das Team für den gesamten Prozess von der…",Hamburg,data scientist
Lead Data Scientist,95.000 € - 110.000 € pro Jahr,Hamburg,Flint Data,,"Hamburgs. Darüber hinaus bietet dir das Unternehmen eine attraktive Vergütung, sowie Karriere und Persönliche Entwicklungsmöglichkeiten.",Hamburg,data scientist
Senior Data Scientist (M/F/Diverse) @ Aviatar,,Hamburg,Lufthansa Technik AG,"3,9","We develop data and engineering driven software solutions for airline’s technical operations.
Our international agile teams develop and operate every step of…",Hamburg,data scientist
Data Scientist (M/F/D),,Hamburg,Porsche Consulting GmbH,"4,0","Application of advanced analytics methods (data modeling, analysis and visualization) to process real world data in a business/management context.",Hamburg,data scientist
Data Scientist (M/F/D),,Hamburg,Indivumed,,"Aid quality control of clinical and omics data within the database.
At Indivumed you’ll have access to a truly unique tissue-based oncology data resource.",Hamburg,data scientist
Data Scientist (M/W/D),,Hamburg,Datalogue GmbH,,"Wir bei DATALOGUE wollen die datengetriebene Zukunft aktiv mitgestalten.
Dazu unterstützen wir unsere Kunden, Daten für Sales & Marketing intelligent nutzbar…",Hamburg,data scientist
Junior Data Scientist (M/W/D),,Hamburg,Statista,,Mit unserer High-End-Daten-Plattform und zahlreichen weiteren Produkten und Services aus dem Bereich Market Analysis helfen wir täglich Millionen von Menschen…,Hamburg,data scientist
Data Scientist (F/M/D/-),,Hamburg,SinnerSchrader,,"A cross-functional team of data analysts and data scientists.
Our projects cover all activities of explorative data analysis such as customer segmentation,…",Hamburg,data scientist
