title,salary,location,employer,employer_rating,summary,search_city,search_role
,,Lyon (69),Adito RH,,"Collecter, exploiter, traiter et valoriser les données.
Analyser les informations chiffrées générées par l'activité de l'entreprise.",Lyon,data analyst
,35 000 € - 45 000 € par an,Lyon (69),Fed IT,,Centraliser les demandes dévolution des outils danalyse commerciale pour faire linterface avec la DSI et lingénierie commerciale.,Lyon,data analyst
Data Analyst (H/F),,Lyon (69),Volvo Group,"4,2","Apporter un support aux projets BI & Analytics pendant les phases de réalisation assurées par les data engineers, data scientists et data architects.",Lyon,data analyst
Data Analyst H/F,,Lyon (69),Radiance Mutuelle,,"De formation supérieure avec une dominante data et/ou statistique, vous êtes reconnu pour vos qualités techniques et relationnelles.",Lyon,data analyst
Data Analyst (F/H),,Lyon (69),Radiance Mutuelle,,"De formation supérieure avec une dominante data et/ou statistique, vous êtes reconnu pour vos qualités techniques et relationnelles.",Lyon,data analyst
Data Analyst F/H,,Lyon (69),VINCI Airports,"4,0","EXPLOITATION / MAINTENANCE - Cadre d'exploitation.
CDD 6 Mois (avec possibilité d'évolution en CDI).
Dimensionner les ressources nécessaires pour les opérations…",Lyon,data analyst
,,Lyon (69),EDF ENR,"3,2","Filiale du groupe EDF, EDF ENR est leader en France dans le domaine du photovoltaïque sur toitures (près de 40000 générateurs installés chez une clientèle de…",Lyon,data analyst
Data Analyst F/H,,Colombier-Saugnieu (69),Vinci Groupe,"3,2","Lyon Aéroport, 1er aéroport du réseau VINCI Airports en France pilote l’exploitation des aéroports Lyon–Saint Exupéry et Lyon–Bron.",Lyon,data analyst
Financial Data Analyst-Data Visualization,,Lyon (69),Mantu,,"Unlock your full potential, both professionally and personally.",Lyon,data analyst
,,Villeurbanne (69),MISTER AUTO,"3,3",Afin de renforcer notre équipe Business Intelligence (composée de 4 personnes) nous recrutons un Développeur Data BI pour assurer la réalisation des nouveaux…,Lyon,data analyst
Data Analyst H/F,,Lyon (69),Econocom,"3,0","Vous serez rattaché(e) à notre entité Apps Cloud & Data qui intervient pour nos clients basés à Lyon.
Définir et mettre en place des indicateurs pertinents…",Lyon,data analyst
Junior Data & Content Analyst,,Lyon (69),Metrixx,,"Metrixx, est une agence experte en data marketing et activation digitale basée à Lyon.
Nous sommes une agence avec de beaux clients, de belles ambitions et des…",Lyon,data analyst
Business Support Data Analyst,,Lyon (69),Volvo Group,"4,2","Les technologies comme le big data, l'automatisation et l'intelligence artificielle modifient notre perception de la fabrication et de la logistique.",Lyon,data analyst
Stage Data Analyst H/F,,Lyon (69),FRETLY,,FRETLY est une jeune entreprise innovante qui a développé une solution digitale B2B pour mesurer la performance des transporteurs.,Lyon,data analyst
Data Analyst- Stage 6 Mois- H/F,,Lyon (69),Cegid,"3,0","Basé sur notre site à Lyon, vous intégrez notre BU Marketing composée d’une centaine de collaborateurs.
De formation Bac+3/4 minimum de Data Analyste avec une…",Lyon,data analyst
Data Scientist H/F,2 289 € - 3 750 € par mois,69001 Lyon,Better and Stronger,,"La présentation des solutions data aux clients.
La data est au centre de tout, votre rôle comportera:
Nous proposons à nos client un accompagnement 360 afin de…",Lyon,data scientist
,,Lyon (69),Novencia,"5,0","Datascientist depuis au moins 4 ans, vous êtes à la recherche de nouveaux défis.
Bouclez votre ceinture, la suite est pour vous !",Lyon,data scientist
Data Scientist,,Lyon (69),Boralex,"4,6","Rattaché(e) à l’équipe Marché de l’énergie composée de 2 data scientists, vous contribuerez à l’amélioration des modèles prédictifs et modèles statistiques de…",Lyon,data scientist
,,Villeurbanne (69),Opteven,"3,0","Maîtrise de l’architecture des bases de données décisionnelles (data warehouse).
Pour accompagner sa croissance et son évolution technologique, Opteven renforce…",Lyon,data scientist
Data Scientist H/F,,Lyon (69),Econocom,"3,0","Veiller à la bonne industrialisation des modèles de data science.
Concevoir et animer des formations dans le domaine de la data science.",Lyon,data scientist
Data Analyst (H/F),,Lyon (69),Volvo Group,"4,2","Apporter un support aux projets BI & Analytics pendant les phases de réalisation assurées par les data engineers, data scientists et data architects.",Lyon,data scientist
,,69000 Lyon,Adito RH,,"Venez exercer votre talent de Data Analyst !
Votre connaissance vous permettra d’être, vous aussi, un élément moteur de la croissance de votre entreprise,…",Lyon,data scientist
,,Villeurbanne (69),MISTER AUTO,"3,3","Mister Auto, pure player spécialisé dans la vente de pièces auto a été créé en 2008, et s'est très vite développé en Europe où le marché était encore naissant.",Lyon,data scientist
Ingénieur(E) Data Scientist (F/H),,Lyon (69),Volvo Group,"4,2","Vous êtes intéressé(e) par l’évolution des sociétés, par l’adaptation des modes de transports et par les enjeux environnementaux d’aujourd’hui et demain,…",Lyon,data scientist
,,Lyon (69),EDF ENR,"3,2","Filiale du groupe EDF, EDF ENR est leader en France dans le domaine du photovoltaïque sur toitures (près de 40000 générateurs installés chez une clientèle de…",Lyon,data scientist
Data Analyst H/F,,69006 Lyon,Radiance Mutuelle,,"Piloter l’analyse datas et la gestion des bases de données : *.
De formation supérieure avec une dominante data et/ou statistique, vous êtes reconnu pour vos…",Lyon,data scientist
Data Analyst (F/H),,Lyon (69),Radiance Mutuelle,,"Piloter l’analyse datas et la gestion des bases de données :
De formation supérieure avec une dominante data et/ou statistique, vous êtes reconnu pour vos…",Lyon,data scientist
,,Lyon 1er (69),Potentiel,,"Data scientist - Business Analyst F/H.
Vous prenez en charge et développez des missions de business analytics, de mise en place de reportings automatisés et d…",Lyon,data scientist
Data Scientist F/H,,Villeurbanne (69),NAVYA,"3,3","Le poste est à l’interface entre des équipes métiers Navya (mécanique, vente, machine learning …) et le pôle OPS_data Navya.
Publiée le 29/11/2021.",Lyon,data scientist
Financial Data Analyst-Data Visualization,,Lyon (69),Mantu,,"Be part of an international, multicultural environment of 7,750 talented people over 60 countries and 5 continents.",Lyon,data scientist
Data Analyst- Stage 6 Mois- H/F,,Lyon (69),Cegid,"3,0","Basé sur notre site à Lyon, vous intégrez notre BU Marketing composée d’une centaine de collaborateurs.
De formation Bac+3/4 minimum de Data Analyste avec une…",Lyon,data analyst
Data Analyst Sql Teradata H/F,35 000 € - 39 000 € par an,Lyon (69)•Télétravail temporaire,PROXIAD,"4,0","Data Analyst SQL TERADATA (H/F).
O Animer les réunions de travail avec les métiers et savoir faire évoluer les besoins métiers en fonction des process et des…",Lyon,data analyst
Data Analyst H/F,,Villeurbanne (69),Ciril GROUP,"4,0","Réalisation de prestation d'installation, de mise en œuvre, d'assistance au démarrage, de reprise des données, de migration sur de nouvelles version, de…",Lyon,data analyst
Data Analyst It (H/F),,Lyon (69),Volvo Group,"4,2",Participer au recueil des besoins métiers (data preparation et data visualisation) et de les traduire en spécification technique.,Lyon,data analyst
Stage Data Analyst,,Écully (69),Groupe SEB,"4,0","Nous recherchons un(e) Data Analyst pour rejoindre notre filiale française, basée au siège mondial du Groupe SEB à Ecully (proche de Lyon).",Lyon,data analyst
,30 000 € - 45 000 € par an,Lyon (69),SEPR,,"Vous avez une expérience exigée minimum de 5 ans dans le data en centre de formation.
O Travailler en collaboration et avec les équipes métiers,.",Lyon,data analyst
,35 000 € - 50 000 € par an,Lyon (69),Urban Linker,"4,2","Participer au maintien et à l’analyse de data-warehouse.
En tant que Data Analyst, tu possèdes au moins 2 ans d’expériences en business intelligence ou data…",Lyon,data analyst
,30 000 € - 32 000 € par an,Lyon (69),ADITO RH,,"Venez exercer votre talent de Data Analyst !*.
Votre connaissance vous permettra d’être, vous aussi, un *élément moteur *de la *croissance *de votre entreprise,…",Lyon,data analyst
Data Analyst Facturation F/H,30 000 € - 36 000 € par an,Lyon (69),MyLight Systems,,"Les bâtiments sont l’une des premières sources de consommation d’énergie, nous voulons en faire l'une des premières sources de production d’énergie verte.",Lyon,data analyst
,,Lyon 1er (69),Potentiel,,"UN.E DATA SCIENTIST - BUSINESS ANALYST.
Vous définissez des outils marketing et communication pour développer les missions en lien avec les experts-comptables…",Lyon,data analyst
Data Analyst (H/F),,Lyon (69),Insitoo,,"Actuellement, afin de répondre aux besoins de nos clients, nous recherchons un Data Analyst (H/F) à Lyon, Auvergne-Rhône-Alpes, France.",Lyon,data analyst
,,Lyon (69),Boralex,"4,6","Vous préparez un BAC+5 au sein d’une école d’ingénieur / d’une formation en master, généraliste ou orientée Energie/Environnement/informatique.",Lyon,data analyst
Data Analyst H/F Lyon,,Lyon (69),Jems Group,,"Notre savoir-faire repose sur une méthodologie unique et éprouvée de modélisation de ce patrimoine.
Créer avec l’acquisition de données ;",Lyon,data analyst
Data Analyst Media & Crm,,Écully (69),Groupe SEB,"4,0","A ce titre, vous aurez comme rôle principal d’optimiser le ROI de nos campagnes media, que ce soit en environnement distributeur (Amazon, C Discount, etc) ou…",Lyon,data analyst
Analyste Data Performance F/H,45 000 € - 55 000 € par an,Feyzin (69),Fed IT,,"Au sein dune équipe IT composée de plus de 50 personnes, vous intégrez léquipe BI (6 internes et 2 prestataires) en constante évolution et croissance.",Lyon,data analyst
Data Scientist H/F,35 000 € - 40 000 € par an,Lyon (69),COWORK ENGINEERING,,"COWORK Engineering est une société de conseil spécialisée en management de projets industriels et expertise technique.
Notions sur Cloud Azure appréciées.",Lyon,data scientist
Data Analyst F/H,,Lyon (69),VINCI Airports,"4,0","EXPLOITATION / MAINTENANCE - Cadre d'exploitation.
CDD 6 Mois (avec possibilité d'évolution en CDI).
Dimensionner les ressources nécessaires pour les opérations…",Lyon,data scientist
,,Beynost (01),Gimel Lavergne,,"Enrichir l’atelier logiciel développé en interne pour industrialiser le processus.
De récupération des données clients.
Depuis plus de 40 ans, nous développons.",Lyon,data scientist
Data Scientist H/F,,Lyon (69),Seenovate,,"Explorer et décrire des données provenant de différentes sources.
Interpréter les résultats issus des différentes analyses statistiques mises en œuvre.",Lyon,data scientist
Junior Data & Content Analyst,,Lyon (69),Metrixx,,"Metrixx, est une agence experte en data marketing et activation digitale basée à Lyon.
Nous sommes une agence avec de beaux clients, de belles ambitions et des…",Lyon,data scientist
Business Support Data Analyst,,Lyon (69),Volvo Group,"4,2","Les technologies comme le big data, l'automatisation et l'intelligence artificielle modifient notre perception de la fabrication et de la logistique.",Lyon,data scientist
Data Scientist,,Lyon 3e (69),Interflora,"3,9","Pour accompagner notre croissance et nous structurer, nous souhaitons agrandir l'équipe avec un data scientist.
3+ years experience in data science.",Lyon,data scientist
Data Analyst H/F,,Lyon (69),Econocom,"3,0","Vous serez rattaché(e) à notre entité Apps Cloud & Data qui intervient pour nos clients basés à Lyon.
Définir et mettre en place des indicateurs pertinents…",Lyon,data scientist
Ingénieur(E) De Recherche - Data Scientist Nlp H/F,,Pierre-Bénite (69),Arkema,"3,9","Considérée comme l’une des entreprises les plus innovantes au monde, Arkema a fait de la recherche un des piliers de sa stratégie.
Maitrise de Python et SQL.",Lyon,data scientist
Data Scientist F/H,,Lyon 2e (69),VICINITY,,"Nous recherchons, actuellement, un DATA Scientist (F/H) qui effectuera les missions suivantes :
Développer des solutions afin de collecter, extraire et…",Lyon,data scientist
Data Analyst It (H/F),,Lyon (69),Volvo Group,"4,2",Participer au recueil des besoins métiers (data preparation et data visualisation) et de les traduire en spécification technique.,Lyon,data scientist
,30 000 € - 45 000 € par an,Lyon (69),SEPR,,"Vous avez une expérience exigée minimum de 5 ans dans le data en centre de formation.
O Travailler en collaboration et avec les équipes métiers,.",Lyon,data scientist
Data Scientist H/F,,Lyon (69),STEF,"3,5","Aider à identifier les besoins spécifiques des clients, et choisir les méthodes les plus adéquates pour les satisfaire ;",Lyon,data scientist
Data Scientist F/H,,Lyon 1er (69),ANDRICE,,"Notre client conçoit des machines pour apporter la meilleure qualité de contrôle et d’inspection des packagings en verre (bouteilles, flacons, pots, ...).",Lyon,data scientist
Data Analyst H/F,,Villeurbanne (69),Ciril GROUP,"4,0","Réalisation de prestation d'installation, de mise en œuvre, d'assistance au démarrage, de reprise des données, de migration sur de nouvelles version, de…",Lyon,data scientist
Data Analyst,,Écully (69),Groupe SEB,"4,0","You drive data analyst gathering and consolidating datas, performance KPIs, and dashboarding to meet stakeholders and Content Factory teams tracking.",Lyon,data analyst
Alternance Bac+4/5 Customer Experience Data Analyst H/F,,Lyon (69),Volvo Group,"4,2","Formation en école d’ingénieur en ingénierie informatique ou data management.
Connaissance des outils de gestion de données : SQL server, Azure Databricks,…",Lyon,data analyst
,40 000 € - 55 000 € par an,Lyon (69),Data Recrutement,,"Fonction Data analyst sql r tableau.
Participer au maintien et à l’analyse du data-warehouse.
Vous êtes diplômé d'une formation de type ingénieur en data ou…",Lyon,data analyst
Data Analyst F/H,,Lyon 1er (69),Adito,,"Collecter, exploiter, traiter et valoriser les données.
Analyser les informations chiffrées générées par l'activité de l'entreprise.",Lyon,data analyst
Data Analyst (H/F),27 000 € - 33 000 € par an,Villeurbanne (69),Adsearch,"4,2","Adsearch, cabinet de conseil en recrutement, vous propose un poste de Data Analyst pour rejoindre son client final basé en région Lyonnaise.",Lyon,data analyst
Data Scientist / Analyst F/H,,Lyon 1er (69),SHAPE IT,,"34 - 40 k€ brut annuel.
Conception et développement des reporting associés sur PowerBi.
Maîtriser un ETL du marché (SSIS, Talend, Informatica...).",Lyon,data analyst
Data Analyst H/F - Lyon,,Lyon (69),AVISIA,,Tu as déjà une expérience réussie (1 an minimum) et tu souhaites développer tes connaissances au contact d'experts au sein d'une structure à taille humaine…,Lyon,data analyst
Data Analyst F/H,,Lyon 8e (69),HANDICAP INTERNATIONAL,"3,8","Au sein du service Datamanagement, vous assurez l’exploitation de données sur l’ensemble des projets liés à l’activité Marketing Opérationnel et contribuez à la…",Lyon,data analyst
,,Lyon (69),emagine Consulting SARL,,Nous recherchons un(e) Data Analyst pour l'un de nos clients ( Final Grand Compte) situé en région Lyonnaise. La mission se déroulera sur Lyon au rythme de 3…,Lyon,data analyst
Data Analyst F/H,,Lyon 1er (69),LINCOLN,,"Des fondamentaux théoriques acquis en cursus école d’ingénieurs informatique ou universitaire avec une spécialisation data, avec une expérience d’au minimum 3…",Lyon,data analyst
Stage Analyste En Data Marketing/Web Analyst H-F H-F,,Lyon (69),AXESS,"3,3","Idéalement issu d'une formation supérieure (BAC +4/5) de type école data analyste, orientée digital.
Adcom est une agence de conseils en marketing digital…",Lyon,data analyst
Analyse De Données / Data Analyst F/H,,Saint-Priest (69),Mathilde Felber,,"Travailler en étroite collaboration avec d'autres analystes pour développer les données Business et les capacités analytiques associées,.",Lyon,data analyst
Offre De Stage Data Analyst F/H,,Colombier-Saugnieu (69),Vinci Groupe,"3,2","Au sein du service sûreté, rattaché à la Direction des opérations, vous êtes en charge d’analyser les données opérationnelles pour la Direction des opérations …",Lyon,data analyst
Data Analyst Lead (H/F),,Lyon (69),Volvo Group,"4,2","Apporter un support aux projets BI & Analytics pendant les phases de réalisation assurées par les data engineers, data scientists et data architects.",Lyon,data analyst
Stage M1/M2 - Data Analyst - Stratégie & Commercial - Lyon H...,,Lyon (69),Egis,"4,0","Contribuer au bon fonctionnement de notre outil de customer relationship management (CRM) :
Animation du processus de saisie dans le CRM,.",Lyon,data analyst
Data Scientist – Machine Deep Learning (H/F),,Lyon (69),DAVIDSON,"3,1","Dans le cadre de projets Data Science menés par Davidson pour ses clients dans des secteurs variés (Gaming, Luxe, Télécoms, Finance, etc.), tu interviendras en…",Lyon,data scientist
Data Scientist F/H,,Lyon 6e (69),COWORK ENGINEERING,,"35 - 40 k€ brut annuel.
L’analyse des relations entre les données grâce au moteur fournit par l’outil.
La création de tables de données transformées.",Lyon,data scientist
Data Analyst F/H,,Colombier-Saugnieu (69),Vinci Groupe,"3,2","Lyon Aéroport, 1er aéroport du réseau VINCI Airports en France pilote l’exploitation des aéroports Lyon–Saint Exupéry et Lyon–Bron.",Lyon,data scientist
Data Scientist,,Écully (69),Groupe SEB,"4,0",Une nouvelle activité est créée au sein du domaine pour accompagner les enjeux du business des machines à café professionnelles.,Lyon,data scientist
Data Scientist / Analyst F/H,,Lyon 1er (69),SHAPE IT,,"34 - 40 k€ brut annuel.
Conception et développement des reporting associés sur PowerBi.
Maîtriser un ETL du marché (SSIS, Talend, Informatica...).",Lyon,data scientist
,35 000 € - 50 000 € par an,Lyon (69),Urban Linker,"4,2","Participer au maintien et à l’analyse de data-warehouse.
En tant que Data Analyst, tu possèdes au moins 2 ans d’expériences en business intelligence ou data…",Lyon,data scientist
Data Analyst Sql Teradata H/F,35 000 € - 39 000 € par an,Lyon (69)•Télétravail temporaire,PROXIAD,"4,0","Data Analyst SQL TERADATA (H/F).
O Animer les réunions de travail avec les métiers et savoir faire évoluer les besoins métiers en fonction des process et des…",Lyon,data scientist
