title,salary,location,employer,employer_rating,summary,search_city,search_role
Content Data Analyst & Manager (M/W/D),,Köln•Homeoffice,stodt GmbH,,"Spezialisiert auf das weite Feld des kreativen Kommunikationsdesigns, bietet stodt Beratung, Ideen, Designs, Konzepte, Storys, Strategien, Kampagnen und…",Cologne,data analyst
Data Analyst (Mensch*),,Köln,Liftstar GmbH,,"Hierauf sind wir stolz und zugleich ist es unser Anspruch, diese Position weiter auszubauen.
Du erstellst Marketing-Reportings und konzipierst interaktive BI…",Cologne,data analyst
Business Intelligence Analyst (M/W/D) / Powerbi Experte (M/W...,,Köln,TERRITORY Content to Results GmbH - CTR,,"Du analysiert die Performancedaten unserer Kunden, übernimmst den Aufbau von Standard-KPI's sowie neuer datengesteuerter Ansätze im Bereich Marketing und…",Cologne,data analyst
,,Deutschland•Homeoffice,Acxiom Deutschland GmbH,,"Beratung zu allen Aspekten von Datentypen, Datenquellen, Zielgruppen und ihrer Aktivierung auf allen verfügbaren digitalen Kanälen.",Cologne,data analyst
Data Analyst – Crm (M/W/D),,Köln+4 Orte,OBI Group Holding SE & Co. KGaA,"3,4",Über unsere Customer Plattform stehen uns neuartige und integrierte Daten zur Verfügung sowie state-of-the-art Data & Analytics Infrastruktur.,Cologne,data analyst
Data Analyst,,Köln,"real,- Digital Services GmbH",,"You are experienced in data modelling, data analysis and visualization methods.
You have a very high capacity for abstraction and a well-founded understanding…",Cologne,data analyst
Bi Analyst,68.000 € - 75.000 € pro Jahr,Köln,Flint Data,,"Die Rolle ist innerhalb des neuen geschaffen User Analytics Teams, wo anhand von Zielgruppen Analysen Insights für Sales und Marketing geschaffen werden.",Cologne,data analyst
(Junior) Data Analyst (W/M/D),,Köln,MSR Consulting Group GmbH,,"Sie sind für die Konzeption, Durchführung und Analyse quantitativer und qualitativer Marktforschungsstudien verantwortlich.",Cologne,data analyst
Power Bi - Data Analyst/Entwickler (M/W/D),,Bonn,benuta GmbH,,"Power BI - Data Analyst/Entwickler (m/w/d)*.
Du erstellst und bearbeitest Dashboards mit MS Power BI (o. ä. BI-Tools).
Du hast bereits mit APIs gearbeitet.",Cologne,data analyst
,,Köln,Bertrandt,"3,7","Als Data Analyst (m/w/d) unterstützen Sie Ihr Team bei dem Aufbau, der Pflege und Weiterentwicklung eines Business Intelligence Systems.",Cologne,data analyst
Junior Data Analyst (M/W/D),,Köln,KM/H GmbH Kommunikationsmanagement Motzkau und...,,"Energieanbietern suchen wir einen Junior Data Analyst (m/w/d) mit.
Motivation die Reporting- und Analysestruktur für die von uns betriebenen.",Cologne,data analyst
