title,salary,location,employer,employer_rating,summary,search_city,search_role
,,München,Sixt SE,"3,2","You will gradually take on the responsibility of providing usage and billing data to international customers.
You are results-oriented, have a service mentality…",Munich,data analyst
,,Deutschland•Homeoffice,Acxiom Deutschland GmbH,,"Beratung zu allen Aspekten von Datentypen, Datenquellen, Zielgruppen und ihrer Aktivierung auf allen verfügbaren digitalen Kanälen.",Munich,data analyst
Data Analyst (M/W/D),,Ismaning,Aioi Nissay Dowa Europe,,"Documentation and reporting of data processes.
Technical support and development for controlling / consolidation tool.
Distinctive analytical way of thinking.",Munich,data analyst
Junior Data Analyst (F/M/D),,München,Holidu GmbH,"4,4","Help with data flows for collecting, extracting, cleaning, and aggregating data.
As a Junior Data Analyst, you will be working along with other analysts…",Munich,data analyst
Junior Business Data Analyst (M/F/D),,München,Westwing Home & Living GmbH,"4,1","Provide valuable insights to our leadership team through pragmatic and rigorous data analysis and analytical models, KPI deep dives and business cases…",Munich,data analyst
Business Data Analyst (M/F/D),,München,BayWa r.e.,,"You analyze data and KPIs and support our benchmarking with the insights gained.
You have a degree in business informatics or economics with focus on data…",Munich,data analyst
,,München,Allianz SE,"3,9","Design data models to support interactive BI dashboards and advanced data analytics/AI assets.
Provide expertise and technical guidance in building data…",Munich,data analyst
Finance Data Analyst (W/M/D),,München,Siemens,"4,0","Data Modelling, Simulations (driver based and/or predictive analytics) and RPA/RDA.
You will analyze new financial and calculation methods and boost our knowhow…",Munich,data analyst
Data Analyst (M/W/D),,München•Vorübergehend im Homeoffice,Creakom GmbH,,"You collect and combine data from various data sources.
You have experience working with data cubes (e.g. Azure Data Analysis Services) and building data models…",Munich,data analyst
Praktikant Data Analyst Für Zustandsprädiktion Niedervolt-Sp...,,München,BMW AG,"3,9","Nur hochprofessionelle Abläufe in dynamischen Teams produzieren innovative Spitzentechnologie.
Deshalb geben wir Studierenden bei uns nicht nur die Gelegenheit…",Munich,data analyst
Data Analyst (M/F/D),,München,C3 Creative Code and Content,,"Contribute to our data democratization process.
Create data mapping to facilitate the ETL process and connect the data to visualization platforms (like Tableau,…",Munich,data analyst
Data Analyst (M/W/D),,München•Vorübergehend im Homeoffice,HolidayCheck Group AG,,"Du bist ein zentraler Ansprechpartner bei allen Arten von Datenbedürfnissen.
Dieses beinhaltet sowohl das Erstellen einfacher Exporte und Reports als auch die …",Munich,data analyst
Data Visualisation Analyst (M/F/D),,München,Sky Deutschland Fernsehen GmbH & Co. KG,"3,6","You'll bring an extensive data analysis and interpretation background ¿ to critically evaluate data gathered from various sources, helping key partners…",Munich,data analyst
Intern Data Analyst (M/F/D),,Unterföhring,Allianz Global Corporate Specialty,"3,9","Experience with data analytics would be a plus.
Conducting regular and ad-hoc data extracts and analysis.
The working student in AGCS Multinational will support…",Munich,data analyst
Data Analyst*,,München,BAUMLINK,,"Hier wird ihnen Freiheit und abwechslungsreiche Aufgaben vorgegeben.
Die Überarbeitung von komplexen Analysen & Selektionslogiken von B2C-Daten.",Munich,data analyst
,,München,Accenture,"4,0","SinnerSchrader wurde 1996 gegründet, ist seit 1999 börsennotiert und hat Studios in Hamburg, Berlin, Frankfurt am Main, München, Zürich und Prag.",Munich,data scientist
Working Student - R Programmer/Data Scientist,,München,Hawa Dawa GmbH,,"Experience in data analysis/statistics.
Therefore, we are looking for a data science intern or working student (m/f/x) with proven programming skills and a…",Munich,data scientist
Junior Data Scientist In Health And Sustainability Full-Time,,München,Unetiq,,"Have experience with big data analytics and visualization techniques.
Have demonstrated proficiency in machine learning techniques such as NLP, deep learning,…",Munich,data scientist
Data Scientist – Bioinformatics / Ngs Analysis (F/M/D),,München,Staburo,"3,5","Experience in analysing multiomics and biomarker data (e.g., metabolomics, NGS data including tran-.
And analyse complex types of data.",Munich,data scientist
Data Scientist (F/M/X),,München,IBM,"3,9","Familiar with Data Engineering techniques to gathers, prepare, cleanse, and transforms client data for analysis and AI automation, including automating data…",Munich,data scientist
Data Scientist (M/F/D),,München,TSCNET Services,,"Support data management and reporting with new data integration and transformation.
Using data science techniques (e.g.: data mining, statistical modelling,…",Munich,data scientist
Data Scientist (M/F/D) For Supply Chain Solutions,,München,SupplyOn,,"Experience in the preparation & analysis of large data sets ( using SQL among others) as well as their visualization.
Very good knowledge of Python or R.",Munich,data scientist
Data Scientist (M/F/D),,Aschheim,Best Secret GmbH,"4,5","Excellent data science fundamentals (models, data structures, visualization).
Enthusiasm in working with data in business context and discussing it with…",Munich,data scientist
Anti-Piracy Data Scientist (M/F/D),,München,Sky Deutschland Fernsehen GmbH & Co. KG,"3,6","Moreover, you'll assess the effectiveness and accuracy of new data sources and data gathering techniques and you'll develop custom data models and algorithms to…",Munich,data scientist
Data Scientist (W/M/D),,München,Maven360 GmbH,,"Maven360 ist ein Data Analytics Unternehmen spezialisiert auf Pharma-E-Commerce.
Für die Weiterentwicklung unserer einzigartigen BI-Produkte suchen wir ab…",Munich,data scientist
,,München,PSI CRO,,"Map, mine and classify raw data and pull processed data into PSI data platform.
At least 2-year experience in data management area including one or more of the…",Munich,data scientist
Data Scientist Full Stack (M/F/D) In Group Data Analytics,,München,Allianz SE,"3,9","Conducting data analytics projects and data-driven initiatives, with the clear target to bring the use-cases go live.
Experience with big data & ML libraries.",Munich,data scientist
Senior Data Scientist (M/F/D),,München,Sky Deutschland Fernsehen GmbH & Co. KG,"3,6",You'll also be responsible for deploying new data sources and training and developing our people to create a world-class data science team at Sky.,Munich,data scientist
Geospatial Data Scientist In The Domain Of Soil Moisture Mod...,,München,GAF AG,"3,0","Processing and analysis of gridded soil data, meteorological & hydrological data.
Advanced skills in R or Python, with sound knowledge of data analysis and data…",Munich,data scientist
Associate Data Scientist (M/F/X),,München,IBM,"3,9","Als Associate bist Du als Consultant, Designer, Data Scientist oder Technical Specialist Teil eines Projektteams.
Required Technical and Professional Expertise.",Munich,data scientist
Tmt Investment Banking Analyst (Denver),,München,Q Advisors LLC,,"Provides deal organization and process support including due diligence, data room management, target list creation and tracking, and meeting / call coordination…",Munich,data analyst
Credit Analyst / Data Analyst (M/W/D),,Ismaning,Volvo Group,"4,2","The scope of this newly created position includes supporting data-driven credit decisions on retail propositions through analyzing, interpreting, elaborating…",Munich,data analyst
Intern (F/M/D) Data Analyst,,München,BayWa r.e.,,"Energy ventures team to gather and analyze data.
You support and enhance the digital transformation of internal data processing.",Munich,data analyst
,,München,MediaMarktSaturn,"3,2","MediaMarktSaturn ist mit mehr als 53.000 Mitarbeitern Europas Nummer 1 im Handel mit Consumer Electronics.
Das Unternehmen versteht sich als Partner, täglicher…",Munich,data analyst
,,München,air up GmbH,,"You collect, record and maintain data for our strategic business plan.
You are responsible to reconcile and adjust the interface data between accounting, budget…",Munich,data analyst
,,München,Qualtrics,,"Familiarity with data warehousing architecture and processes is beneficial.
Evaluate gaps in coverage models and provide data to support strategic direction.",Munich,data analyst
,,München,Sky Deutschland Fernsehen GmbH & Co. KG,"3,6","The ability to understand data architectures and transactional source systems distinguishes you.
You'll take care of creating queries and provide data…",Munich,data analyst
Working Student Data Analyst (M/F/D),,München,Wellster Healthtech Group GmbH,,"Deriving actionable insights from data.
Have got experience or passion for data in the area of startups, VC, healthcare.
Are experienced in Python and SQL.",Munich,data analyst
Junior Data Analyst (M/W/D),,München,marpinion,,"Mitarbeit bei der Weiterentwicklung der Dateninfrastruktur und des Datawarehouse.
Unterstützung bei der Konzeption performanter Datenmodelle und -strukturen.",Munich,data analyst
Data Analyst In Fleet (M/F/X),,München,FINN,,"Knowledge in programming languages suitable for data analytics as Python or R is a plus.
Enable others to make clear decisions: Help our team to identify their…",Munich,data analyst
Data Analyst (W/M/D) – Siemens Financial Services,,München,Siemens,"4,0","Bei uns wirst du Mitglied eines kooperativen Teams, welches die Digitalisierung im Finanzwesen bei Siemens Financial Services (SFS) vorantreibt.",Munich,data analyst
Business Analyst (M/F/D),,München,Experteer GmbH,"4,3","At least 2 years work experience as analyst or in a similar function.
You are curious and have high interest increasing your know-how in new data technologies.",Munich,data analyst
Financial Analyst (Central Fp&A Team),,München,Steelcase,"3,9","Ability to identify and articulate business opportunities, based on data analysis.
Proficiency in MS Office tools, SAP and Tableau (or any other data…",Munich,data analyst
Bi Analyst (Gn),,München,SoftwareONE,,"In-depth experience in Business Intelligence, data reporting and analytic tools.
Analyze BI data and business processes, formulate conclusions, report findings…",Munich,data analyst
"Data Analyst (M/W/D), Vollzeit",,München,McDonald's,"3,5",Für unsere Fachabteilung Strategy & Insights in München suchen wir zum nächstmöglichen Zeitpunkt einen Data Analyst (m/w/d).,Munich,data analyst
Associate Data Scientist (M/F/X),,München,IBM,"3,9","Als Associate bist Du als Consultant, Designer, Data Scientist oder Technical Specialist Teil eines Projektteams.
Required Technical and Professional Expertise.",Munich,data scientist
,,München,Allianz SE,"3,9","You will be working together within a team of like-minded data scientists, solution engineers and business owners to transform Allianz into a data-driven…",Munich,data scientist
Data Scientist / Ai / Ml,,München,AWS EMEA SARL (Germany Branch),"3,5","Deep experience developing AI models in real-world environments.
Significant experience deploying ML models.
Significant experience developing AI solutions and…",Munich,data scientist
Data Scientist (M/F/D),,Pullach im Isartal,The Linde Group,"3,7","Support in architectural design and defining data requirements for new developments.
You will work directly with a variety of different data sources, types and…",Munich,data scientist
Data Scientist - Informatiker / Physiker / Mathematiker (M/W...,,Unterföhring,Vodafone,"3,9","Bei Vodafone arbeiten wir jeden Tag an einer besseren Zukunft.
Du entwickelst als Data Scientist professionell Software innerhalb eines dynamischen Teams mit…",Munich,data scientist
Data Scientist With Focus On Sas Programming (F/M/D),,München,Staburo,"3,5","Very good knowledge of clinical data.
Design to data analysis and finally the disclosing and posting of trial results.
Data analyses and programming with SAS.",Munich,data scientist
Esg Data Scientist,,München,Institutional Shareholder Services,,"We are currently seeking an ESG data scientist with a solid understanding of corporate disclosures, who would collaborate with ISS’ data engineers to build,…",Munich,data scientist
Data Scientist,,München,Amazon Deutschland Servcs GmbH,"3,5","Three or more years in a research science, ML, or data scientist role and a track record of strong statistical analysis and building machine or deep learning…",Munich,data scientist
Data Scientist Im Kreditrisikomanagement (W/M/X),,München,BMW Bank GmbH,"3,9","Als Teil von BMW Financial Services, einem Geschäftsbereich der BMW Group, zählen wir als Anbieter von Finanzdienstleistungen im Sektor der Automobilbanken zu…",Munich,data scientist
Sports Scientist (Dach),,München,Catapult Sports,,"Ability to analyse, and interpret data.
Proficient in statistical analysis of large data sets.
Aid in the data analysis of our elite teams where required.",Munich,data scientist
Data Scientist (M/F/X),,München,Daiichi-Sankyo Europe,"3,8","Coordinate with data engineers, business leads, commercial and IT to deliver holistic analytical solutions that are seamlessly incorporated into analytic data…",Munich,data scientist
Senior Data Scientist (M/F/D),,München,ALTEN Engineering,"3,0",You will provide support and share knowledge in your field and create data-driven analyses and machine learning models.,Munich,data scientist
