title,salary,location,employer,employer_rating,summary,search_city,search_role
,,"Radnor, PA•Remote",Lincoln Financial,3.6,They will act as the point of contact for data governance activities including the management of data definitions and data elements while achieving favorable…,Philadelphia,data analyst
,,"Wayne, PA+3 locations",Vanguard,3.7,"Performs analyses of historical data to surface trends and insights using analytical methods.
Experience in data analysis and visualization methods.",Philadelphia,data analyst
Data Analyst,,"Gwynedd Valley, PA 19437•Remote work available",Gwynedd Mercy University,4.2,"The IR data analyst prepares and presents detailed data analysis and Ad Hoc reports.
Perform related data collection and data manipulation.",Philadelphia,data analyst
Neuroimaging Data Analyst Junior (Neuropsychiatry),,"Philadelphia, PA 19104 (University City area)+12 locations",University of Pennsylvania,4.2,"All analysts additionally lead independent projects where they co-author manuscripts.
The Neuroimaging Data Analyst Junior provides support for managing and…",Philadelphia,data analyst
"Jr. Data Operations Analyst, Master Data Management",,"Philadelphia, PA 19103 (Logan Square area)",IntegriChain,2.6,IntegriChain is the data and application backbone for market access departments of Life Sciences manufacturers.,Philadelphia,data analyst
,,"Newtown Square, PA+1 location",AmeriHealth Caritas,3.3,"Minimum 3 to 5 years data analysis and reporting experience required, plus minimum 3 years of SQL, SAS Enterprise Guide (EG), MS Access, MS Excel, Tableau with…",Philadelphia,data analyst
Data Analyst (Student Health Services),,"Philadelphia, PA+1 location",The School District Of Philadelphia,3.6,Prepares analytical data reports for multifunctional purposes on a regular and ad hoc basis; identifies maps and integrates new data sources.,Philadelphia,data analyst
Leadership Fellows Analyst,,"Philadelphia, PA 19106 (Old City area)",Federal Reserve Bank of Philadelphia,4.2,"Experience with project management, document management and data visualization software a plus.
Medical (4 options), Prescription, Dental (3 options), and…",Philadelphia,data analyst
Business Analytics Analyst,,"Malvern, PA",Vanguard,3.7,"Performs analyses of historical data to surface trends and insights using analytical methods.
Analyzes data, assesses trends and develops actionable insights…",Philadelphia,data analyst
Clinical Data Analyst (Us),,"King of Prussia, PA 19406+2 locations",CluePoints,,We are a disruptive and innovative company that is already starting to revolutionise the way that clinical trials are managed and new drugs are brought to…,Philadelphia,data analyst
,,"Philadelphia, PA 19104 (Belmont area)•Remote work available",Children's Hospital of Philadelphia,4.0,"Identifies, analyzes and resolves data and system issues of intermediate complexity.
You will also work with statistical programming languages, SQL, data…",Philadelphia,data analyst
Junior Investment Data Analyst,,"Malvern, PA",Vanguard,3.7,"Researches and analyzes data exceptions with internal/external data suppliers and partners.
Maintains system and business controls to ensure data integrity and…",Philadelphia,data analyst
,,"King of Prussia, PA+1 location•Remote",Piper Companies,4.5,"Working through conversions of data from external to internal.
Experience working with data (migrations, conversions, etc.).
$30.00 to $33.00/Hour W2.",Philadelphia,data analyst
,,"Philadelphia, PA 19103",Comcast,3.7,"Analyze data to drive prioritization and decision making.
Contribute to the 3-year plan for digital transformation.
What We're Looking For:",Philadelphia,data analyst
,,"Philadelphia, PA 19107 (City Center East area)+1 location","Jefferson - Center City, Philadelphia, PA",3.9,"The healthcare data analyst will collaborate with subject matter experts to identify root causes of trends.
3+ years of experience performing data analysis.",Philadelphia,data analyst
Data Scientist I - 64036,,"Philadelphia, PA 19146 (Point Breeze area)+2 locations",Children's Hospital of Philadelphia,4.0,"Contribute to assessing and implementing computational, algorithmic, and predictive analytics approaches to address assigned biomedical research questions in…",Philadelphia,data scientist
Data Scientist Coop,,"Philadelphia, PA 19103+2 locations",Comcast,3.7,"Constructs forecasts, recommendations and strategic/tactical plans based on applying data science techniques to business data.
Ph. D., Master's Degree.",Philadelphia,data scientist
Data Scientist,,"Malvern, PA+9 locations",Vanguard,3.7,"Mentors and develops junior data scientists and analysts.
Leads and executes analytical and data science projects that provide deep insights into business needs…",Philadelphia,data scientist
Data Scientist,,"Exton, PA",Surya Systems,,"Inform, influence, support, and execute analysis that feeds into one of many analytics domains - customer analytics, product analytics, business operation…",Philadelphia,data scientist
Data Scientist - Nationwide Opportunities,,"Philadelphia, PA","Amazon Web Services, Inc.",3.5,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,Philadelphia,data scientist
Data Scientist Associate - Card Strategic Insights,,"Wilmington, DE+8 locations","JPMorgan Chase Bank, N.A.",3.9,The successful candidate will be a key member of the analytic team responsible for driving competitive insights and developing proactive insights across card…,Philadelphia,data scientist
Data Scientist,,"Wynnewood, PA 19096•Remote work available",Alex’s Lemonade Stand Foundation,5.0,"The Data Lab is a team of software developers, data scientists, designers, and community managers who are driven to build software systems, analytical workflows…",Philadelphia,data scientist
Data Scientist 2,,"West Conshohocken, PA 19428+1 location",Oracle,3.8,"You will work our data sets to help make predictive, prescriptive, and adaptive machine learning models for our CEGBU products data.",Philadelphia,data scientist
"Data Science- Future Leaders Program, Us - 2022",,"King of Prussia, PA 19406+9 locations",GSK,4.2,Work on data analytics and machine learning projects; using your skills and knowledge to transform our business – from manufacturing lead times to cost of goods…,Philadelphia,data scientist
"Associate, Data Scientist Engineer - Advisory Data Organizat...",,"Philadelphia, PA 19103 (Center City area)+4 locations",KPMG,3.9,The Signals Repository is a KPMG created platform to enable data scientists & analysts to build machine learning (ML) enabled business solutions using open…,Philadelphia,data scientist
Data Scientist -Proserve,,"Philadelphia, PA","Amazon Web Services, Inc.",3.5,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,Philadelphia,data scientist
"Data Scientist, Biopharm Process Development",,"King of Prussia, PA 19406",GSK,4.2,"An opportunity has arisen for a data enablement specialist with the ability to assist in the development of information systems to support the gathering,…",Philadelphia,data scientist
Director - Data Scientist,,"West Chester, PA 19380+2 locations",Moody's,3.7,"Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others.",Philadelphia,data scientist
Data Scientist,,"Philadelphia, PA 19112 (Navy Yard area)+1 location",The GBS Group,3.8,"Research the applications of Modeling and Simulation M&S techniques as applicable to NCS and/or cybersecurity, as well as specific data models, to acquisitions,…",Philadelphia,data scientist
,,"Spring House, PA+2 locations",Johnson & Johnson Family of Companies,4.2,Deliver scalable machine learning solutions and insights to impact functions and therapeutic areas within R&D and participate in cross-functional collaborations…,Philadelphia,data scientist
Data Analyst I - 22315,,"Philadelphia, PA 19146 (Point Breeze area)+2 locations",Children's Hospital of Philadelphia,4.0,"Generates reports from data systems and links multiple data sets to create large databases of surveys, clinical, and/or other data.",Philadelphia,data analyst
Business Analyst (Philadelphia),,"Philadelphia, PA 19106 (City Center East area)",UPMC,3.5,"This position is a hybrid role that will require going into the office 2-3 times a week.
Community HealthChoices (CHC) is Pennsylvania's managed care long-term…",Philadelphia,data analyst
Data Analyst Coop,,"Philadelphia, PA 19103+1 location",Comcast,3.7,"Support data maturity efforts (documentation, education, etc) for Comcast Business data objects.
The role of the data analyst co-op on the Comcast Business…",Philadelphia,data analyst
,,"Collegeville, PA 19426",GSK,4.2,"Experience working with single-cell transcriptomics or epigenomics data.
Familiarity with key tools for genomic data analysis such as the Bioconductor ecosystem…",Philadelphia,data analyst
,,"Philadelphia, PA 19104 (Belmont area)+5 locations",Children's Hospital of Philadelphia,4.0,"Five (5) years of data analysis or database management experience.
Generates advanced reports from data systems and links multiple data sets to create large…",Philadelphia,data analyst
,,"King of Prussia, PA 19406",Qlik,3.7,"Partner with BI and data analysis teams to ensure data accuracy.
Management and refinement of rules and data sets.",Philadelphia,data analyst
,,"Malvern, PA",Vanguard,3.7,"Prepares and analyzes data and dashboards.
Uses available data to monitor progress, measure success and make suggestions for improvement.",Philadelphia,data analyst
,,"Radnor, PA+1 location•Remote work available",Lincoln Financial,3.6,"3 - 5+ Years of data analytics, data mining, and/or reporting experience that directly aligns to the responsibilities of this position.",Philadelphia,data analyst
,,"Oaks, PA+1 location",Piper Companies,4.5,"Hands on experience with Alteryx in a data analysis, analytics, or data science capacity.
Keywords: business analyst, data analyst, analytics, technical…",Philadelphia,data analyst
,,"Fort Washington, PA 19034",Link Logistics Real Estate,,The reporting data analyst specifically will be heavily involved in building and analyzing internally focused financial analyses of our property and company…,Philadelphia,data analyst
,,"Glen Mills, PA 19342+5 locations",Deloitte,4.0,"Minimum of 3 years of combined experience operating in environment delivering to customers in a business analyst, product management or project management…",Philadelphia,data analyst
Data Analyst Ii (Risk Adjustment) - Remote Available,,"Philadelphia, PA 19123 (Logan Square area)•Remote",Pennsylvania Health & Wellness,3.2,"Internal data cleansing and data reconciliation analysis.
Handle complex data requests, reports, and predictive data modeling.
401(k) and stock purchase plans.",Philadelphia,data analyst
Learning Data Analyst (Remote),,"Philadelphia, PA 19103 (Rittenhouse area)•Remote",Johnson Controls,3.7,"Understanding of relational databases, data modeling, and data warehouse schema concepts.
Knowledge and experience in data warehousing, business intelligence,…",Philadelphia,data analyst
Business Analyst,,"Philadelphia, PA",ProOrbis,,"Analysts perform a wide range of activities including setting up financial and operational analyses for market analysis, designing business models, financial…",Philadelphia,data analyst
Performance Reporting Analyst,,"Malvern, PA",Vanguard,3.7,"Identifies opportunities to standardize, scale, or automate common report requests.
Obtains and analyzes data using statistical tools.",Philadelphia,data analyst
"Sr. Data Analyst, Compliance",,"Philadelphia, PA 19103+1 location",Comcast,3.7,Coordinates with senior staff to manage data intake requests and prioritizes and assigns these requests to appropriate parties within the department.,Philadelphia,data scientist
"Data Scientist - Philadelphia, Pa(Remote)",,"Philadelphia, PA•Remote",Apexon,,Data engineering; data set preparation and pipeline development; model and experiment output analysis; model updating; visualization; model development.,Philadelphia,data scientist
Quantitative Researcher – Phd,,"Bala-Cynwyd, PA",Susquehanna International Group,3.8,"Through your research, you may discover a new pattern that can transform into a trading signal.
You will work side-by-side with technologists in order to…",Philadelphia,data scientist
Data Scientist,,"Philadelphia, PA 19103 (Rittenhouse area)+14 locations",Deloitte,4.0,"Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",Philadelphia,data scientist
(Associate) Consultant Data & Analytics,,"Philadelphia, PA•Remote",CAMELOT Management Consultants AG,,"With the ever-increasing influence of digital trends in various industries, managing the corporate development from the information side is key for companies to…",Philadelphia,data scientist
Data Scientist And Modeling,,"Glen Mills, PA 19342",Axalta,3.7,"A “Large Database” is defined as one with incomplete data, hundreds of variables and hundreds of thousands of data entries, beyond the data-analysis…",Philadelphia,data scientist
Sports Statistician,,"Fort Washington, PA 19034+1 location",Life Time,3.5,"Tracks all relevant statistics during games.
Works closely with League Coordinator to ensure member satisfaction.
High School Diploma or GED.",Philadelphia,data scientist
Senior Data Scientist - Senior Data Engineer,,"Horsham, PA+1 location",Johnson & Johnson Family of Companies,4.2,"The group is currently looking for a Senior Data Scientist - Engineer who will be responsible for collection of relevant data from multiple data sources,…",Philadelphia,data scientist
,,"Philadelphia, PA 19103 (Logan Square area)+5 locations",Accenture,4.0,"Lead teams and manage clients through the deployment of digital analytics platforms (Adobe Analytics, Google Analytics Premium, etc.) across digital properties…",Philadelphia,data scientist
Data Scientist (Department Of Pathology And Laboratory Medic...,,"Philadelphia, PA 19104 (University City area)+1 location",University of Pennsylvania,4.2,"The Data Scientist will apply machine learning and statistical techniques to clinical, administrative, biological, and wearable device data to create immense…",Philadelphia,data scientist
,,"Spring House, PA",Johnson & Johnson Family of Companies,4.2,"Bachelor’s degree or higher and/or equivalent in computer science, mathematics, data science/analytics, public health or other relevant scientific field (or…",Philadelphia,data scientist
,,"Philadelphia, PA 19103 (Logan Square area)",Accenture,4.0,... ... What We Believe We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our…,Philadelphia,data scientist
Data Scientist Co-Op,,"Philadelphia, PA 19103 (Logan Square area)",Carpenter Technology,2.9,"Carpenter Technology is looking for a data scientist intern to train, validate, and manage machine learning solutions to expedite its digital transformation.",Philadelphia,data scientist
Research Statistician I,,"Philadelphia, PA 19146 (Graduate Hospital area)",Children's Hospital of Philadelphia,4.0,"Required Education: MS biostatistics, statistics, clinical epidemiology, health services research, economics or a related field.",Philadelphia,data scientist
Data Scientist/Machine Learning Engineer,,"Philadelphia, PA",IQVIA,3.8,"Our efforts improve retrospective clinical studies, under-diagnosis of rare diseases, personalized treatment response profiles, disease progression predictions,…",Philadelphia,data scientist
Data Performance Analyst,,"Philadelphia, PA",Hamilton Lane,3.5,"Master tools of data analysis to answer complex questions based on a large data set.
Comfort and familiarity with large data sets, relational databases,…",Philadelphia,data analyst
Data Analyst (Fox Chase Cancer Center),,"Philadelphia, PA+1 location",Temple University Health System,3.8,"3 years experience in a related field (Required).
This position will be in the Clinical Research Contracting department, but will collaborate closely with the…",Philadelphia,data analyst
Marketing & Data Analyst,,"Philadelphia, PA+5 locations",AmeriHealth Caritas,3.3,"1-3 years of marketing or data/analytical experience.
The analyst will aid the marketing team in creating a data-driven path that helps define, track, and…",Philadelphia,data analyst
Strategic Data Analyst- Remote,,"Langhorne, PA•Remote",Amplity Health,3.8,"Minimum of 1+ year of experience in data analysis, pharmaceutical sales data experience highly preferred.
Works closely with other analysts within the team and…",Philadelphia,data analyst
Data Analyst -,,"Philadelphia, PA",Globo,3.5,"2+ years of experience with data analysis and data visualization.
Knowledge of visual techniques for data analysis and presentation.",Philadelphia,data analyst
