title,salary,location,employer,employer_rating,summary,search_city,search_role
,,"Toronto, ON",Toronto Transit Commission,4.0,"Running data validation routines to correct data and ensuring that data is properly matched, accurate, complete and balanced.",Toronto,data_analyst
Data Analyst,,"Toronto, ON",Jerry,,"Apply technical expertise with quantitative analysis, experimentation, data mining, and the presentation of data to develop strategies for our products.",Toronto,data_analyst
,"$73,728 - $101,510 a year","Toronto, ON",Metrolinx,4.0,"Identifies data needs to develop high-value, actionable reporting and develops processes for identifying and accessing relevant data essential to the…",Toronto,data_analyst
Data Analyst,,"Toronto, ON",Sun Life Financial,3.9,"Experienced in data visualization tools (Tableau).
At least 2 years of experience in data analytics.
Competitive salary and bonus structure influenced by market…",Toronto,data_analyst
,,"Toronto, ON",Coca-Cola Canada Bottling Limited,3.5,"Prior sales analyst experience in consumer products field.
As a Pricing Analyst you will be responsible for analyzing sales data and preparing sales reports…",Toronto,data_analyst
,,"Toronto, ON",Bolt Logistics,4.4,"A desire to tell stories through data.
Bolt provides a customer-centric and sustainable approach to fulfilment, including reliable warehousing, pick and pack,…",Toronto,data_analyst
,,"Toronto, ON",Toronto Transit Commission,4.0,"Strong attention to detail required for regularly reviewing large volumes of data;
The incumbent is also responsible for the maintenance of vacancy / position…",Toronto,data_analyst
Microbiology Analyst (Inventory),"$63,302 - $80,094 a year","Toronto, ON",Canadian Food Inspection Agency,4.1,"AE2: Experience interpreting scientific data.
Evaluates, reviews, and interprets analytical data.
Indeterminate, Specified Period, Deployment, Acting.",Toronto,data_analyst
Research Analyst Intern - Summer 2022,,"Toronto, ON","The Brattle Group, Inc.",,"Undergraduates working towards a Bachelor’s degree in a quantitative discipline (e.g. economics, math, finance, engineering, data science, etc.) with strong…",Toronto,data_analyst
Research Analyst - Healthcare,,"Toronto, ON",Ipsos North America,3.7,"Develop data plan analyses and perform data analysis.
Manage quantitative market research projects, within timeline and budgets, including working closely with…",Toronto,data_analyst
Music Insights Analyst,,"Toronto, ON",TikTok,,"Work closely with internal data teams to unlock new data points, dashboards, and content insights.
Help to troubleshoot and resolve data issues.",Toronto,data_analyst
,,"Mississauga, ON",PepsiCo,3.8,Role is responsible for managing setup of all new items and corresponding B2B and B2C product attributes in internal data systems and managing the publication…,Toronto,data_analyst
Equity Data Analyst,,"Toronto, ON",Morningstar,3.9,"Comprehension of the fundamentals of databases and data flows.
We are currently seeking an Equity Data Analyst (entry level) to join the CPMS product line of…",Toronto,data_analyst
Jr. Data/Reporting Analyst,,"Markham, ON",Scarsin,,"Data management, data analysis and ETL process skills and concepts including data modeling and transformations.
Required Knowledge, Skills and Experience.",Toronto,data_analyst
"Analyst, Rwd Analytics",,"Toronto, ON",Ex Libris,,"Ensure accuracy of data analysis and customer deliverables.
Use various data modeling and analysis techniques to discover insights that will guide customer…",Toronto,data_analyst
New Grad Data Scientist,,"Markham, ON",Aviva,3.8,This includes participation within the broader data science community including Kaggle competitions or any personal projects with open data.,Toronto,data_scientist
,,"Toronto, ON",NielsenIQ,,"Take analytical objectives and define data requirements.
Hands-on data extraction and reporting off customer database.",Toronto,data_scientist
,,"Toronto, ON",Capital One,3.9,"Design and develop data pipelines and visualizations to monitor model performance and data quality.
Experience building and maintaining data pipelines.",Toronto,data_scientist
Data Scientist,"$110,000 - $130,000 a year","Toronto, ON•Remote",Tiger Analytics Inc.,,"Research and document data requirements, data collection and administration policy, and data access rules.
Collect and document user's requirements.",Toronto,data_scientist
Data Scientist,,"Toronto, ON",Ex Libris,,"Good understanding of a broad spectrum of methods and disciplines in data and analytics, especially skilled in at least one of these fields: machine learning,…",Toronto,data_scientist
Data Scientist,,"Toronto, ON•Temporarily Remote",Thinking Capital,3.2,Use your quantitative mindset to direct the implementation of solutions informed through everything ranging from data quality investigations and adjustments to…,Toronto,data_scientist
"Data Scientist I - Wealth Data, Analytics & Reporting",,"Toronto, ON",TD Bank,3.8,We are looking for someone to work as part of a trailblazing team of data scientists who create groundbreaking analytical solutions that improve our core work…,Toronto,data_scientist
,,"Toronto, ON•Remote",Shopify,3.9,"Masterful data storytelling and strategic thinking.
Influence leadership to drive more data-informed decisions.
Deep understanding of advanced SQL techniques.",Toronto,data_scientist
,,"Toronto, ON•Remote",Shopify,3.9,"Experience creating data product strategies, data products, iterating after launch, and trying again.
7-10 years of commercial experience in a data science role…",Toronto,data_scientist
The Bay | Data Scientist,,"Toronto, ON",Hudson's Bay,3.5,"You will be working closely with a team of data engineers, other data scientists and Analysts to create data products that solve problems, drive growth and…",Toronto,data_scientist
Associate Data Scientist,,"Toronto, ON",Manulife,4.0,"In-house Kaggle-style data science competitions.
Must be proficient in programming (Python), algorithms and data structures.",Toronto,data_scientist
Data Scientist,,"Toronto, ON•Remote",Dataiku,,An ideal candidate is comfortable learning complex new technologies and modeling techniques while being able to explain their work to other data scientists and…,Toronto,data_scientist
Data Scientist,,"Toronto, ON",Electronic Arts,3.8,"Collect, clean, manage, analyze, and visualize large sets of data using multiple data platforms, tools and techniques.
As a Data Scientist you will.",Toronto,data_scientist
Data Scientist - Biology,,"Toronto, ON•Remote",Deep Genomics,,"The successful candidate will work in a multidisciplinary team of biologists and computational scientists, and take on tasks spanning analysis and visualization…",Toronto,data_scientist
,,"Toronto, ON•Remote",Coca-Cola Canada Bottling Limited,3.5,"3+ years of data science-based and analytics roles.
Assist in analyzing and providing insights with retail data, shipment data, demographics, brand attribute,…",Toronto,data_scientist
,,"Toronto, ON",Capital One,3.9,"161 Bay Street (93021), Canada, Toronto,Toronto, Ontario, Data Analyst, Summer Intern/Co-op 2022 About Capital One At Capital One, data is at the center of…",Toronto,data_analyst
,,"Toronto, ON",Scotiabank,3.9,"Requisition ID: 137420 Join a purpose driven winning team, committed to results, in an inclusive and high-performing culture. ORO, Regulatory Data Analyst…",Toronto,data_analyst
,,"Toronto, ON",BMO Financial Group,3.8,"Address: 100 King Street West Job Family Group: Data Analytics & Reporting Defines and implements the portfolio / product strategy for data analytics, RPA…",Toronto,data_analyst
,,"Toronto, ON",Cognizant Technology Solutions,3.9,"Test Analyst Qualification : Bachelors in science , engineering or equivalent Responsibility : Project Proposal : Gather requirements from the Business…",Toronto,data_analyst
Data Analyst,,"Toronto, ON",Lucova,,About Nōwn Nōwn POS is the all-in-one customer recognition retail solution. We put the focus on the person behind the purchase. We’re out to prove that…,Toronto,data_analyst
Data Analyst,,"Mississauga, ON",The Delivery Group,,The Delivery Group has a digital services client looking for a Data Analyst to join their team for a 6-month contract to start. The Data Analyst will join a…,Toronto,data_analyst
Systems Analyst,,"Toronto, ON",SickKids,4.2,"About SickKids Dedicated exclusively to children and their families, The Hospital for Sick Children (SickKids) is one of the largest and most respected…",Toronto,data_analyst
,,"Toronto, ON",East Side Games,,WHAT DOES IT MEAN TO WORK AT ESG? We are East Side Games - a pillar in beautiful Vancouver’s gaming community. Our mission is to create games that are easy…,Toronto,data_analyst
