title,salary,location,employer,employer_rating,summary,search_city,search_role
Environmental Impact Analyst,"$50,000 a year","Montréal, QC",Habitat,4.0,"Engage in the design and development of new equipment and procedures for meteorological data collection, remote sensing, or for related applications.",Montreal,data_analyst
,,"Montréal, QC•Remote",Desjardins,3.9,"As a data analyst, you collect, process, analyze and use data that comes through different channels.
You provide data use guidance and support to stakeholders.",Montreal,data_analyst
,,"Montréal, QC",SSENSE,3.0,"Experience in working with data visualization tools such as Tableau or similar data discovery and visualization tools.
Analyze root causes of inventory issues.",Montreal,data_analyst
Amazon Analyst,,"Montréal, QC",L'Oreal,4.1,"Ability to translate large amounts of data into useful information and draw conclusions.
C. Build and maintain operational reporting to aggregate data across 5…",Montreal,data_analyst
,,"Montréal, QC",BNP Paribas,3.9,"The candidate will be supporting internal data clients.
Collaborate on projects in a business analyst or project management capacity.
Master’s degree is a plus.",Montreal,data_analyst
,,"Montréal, QC",BNP Paribas,3.9,CIB IT - Data Analytics Team focuses on advancing our Analytics capabilities with visualization tools and data engineering pipelines.,Montreal,data_analyst
Operational Data Analyst (User Research Lab),,"Montréal, QC",Ubisoft,3.8,"Perform data queries and KPI computations on in-game data.
As an operational data analyst within the Lab, you’ll transform raw in-game data into meaningful…",Montreal,data_analyst
Data Analyst,,"Montréal, QC",Levio,4.7,"We are looking for a creative and talented UI developer with strong Javascript/Typescript development skills using React.
Up to 6 weeks of vacation.",Montreal,data_analyst
,"$64,210 - $80,260 a year","Montréal, QC",McGill University,4.3,"Analyze and prepare and/or load data into Workday.
Thorough knowledge and understanding of Banner HR processes, data, tables, modules and functionality.",Montreal,data_analyst
,,"Montréal, QC",Canadian National Railway,3.1,"Analyze large quantities of data and display in graphical formats.
Canadian National Railway Company (CN) is looking for a highly motivated person to fulfill a…",Montreal,data_analyst
,,"Montréal, QC",SSENSE,3.0,"Analyze data to identify operational opportunities and risks.
The business analyst will be responsible for formulating clear recommendations on how to improve…",Montreal,data_analyst
,,"Montréal, QC",Autodesk,4.1,"Build a data pipeline to support data driven decision making.
Complete data analysis with SQL, Algorithms, Data Structures, Database Concepts, Machine Learning.",Montreal,data_analyst
Performance And Data Analyst - Telus Health Virtual Care,,"Montréal, QC•Remote",TELUS,3.9,"Coordinate new data development, ensuring consistency and integration with the existing data warehouse structure.
Hands-on Tableau and MS Office experience.",Montreal,data_analyst
Data Analyst,,"Montréal, QC",Talan,,"Web Analytics (Google Analytics, Google Data Studio, Power BI, Agency Analytics, etc.);
Plateformes média (Double Click, etc.) et CRM (Sales Force) ;",Montreal,data_analyst
Business Analyst Business Intelligence,,"Montréal, QC",Ubisoft,3.8,"Perform SQL queries in order to analyze data, perform tests, ensure data quality.
The focus will be on Quality control domain and around databases & data…",Montreal,data_analyst
Scientifique Des Données / Data Scientist,,"Saint-Laurent, QC",Ericsson,4.1,"Applied experience: 2+ years of Machine Learning experience in data science.
Conduct studies and find creative usage of new and/or existing data sources.",Montreal,data_scientist
Data Scientist,,"Montréal, QC",GSOFT,,"You will join GSoft's Data & Analytics team, a team composed of diverse data science expertise, including data engineers and data scientists.",Montreal,data_scientist
Scientifique Des Données / Data Scientist,,"Saint-Laurent, QC•Remote",CAE Inc.,3.6,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",Montreal,data_scientist
,,"Montréal, QC",Alithya,4.0,"Data visualization tools — Tableau, Plotly, etc.
Proven ability to merge and transform disparate internal and external data sets together to create new features…",Montreal,data_scientist
,,"Montréal, QC",Mistplay,,Our teams leverage a wealth of in-game data and machine learning to recommend the right games to the right users - creating a completely tailored gaming…,Montreal,data_scientist
"Data Scientist, Data Valorization",,"Montréal, QC•Remote",Desjardins,3.9,"You lead different stakeholders in projects to meet a variety of business needs, by developing scalable data mining solutions and through complex, strategic…",Montreal,data_scientist
,,"Montréal, QC",TELUS,3.9,"Montreal, Quebec, CA Edmonton, AB, CA Calgary, AB, CA Toronto, ON, CA Vancouver, British Columbia, CA.
L’équipe Marketing, stratégie et analyse de données,…",Montreal,data_scientist
Data Scientist Rotation Program,,"Montréal, QC",National Bank of Canada,3.9,Experience in operating high-volume data and complex environments used for the development of advanced analytical applications.,Montreal,data_scientist
Data Scientist,,"Montréal, QC",DELAN - IT Head Hunters,,"The Data Scientist will be responsible of contributing to the creation of powerful new systems in the medical field, while being part of a new Artificial…",Montreal,data_scientist
Data Scientist,,"Brossard, QC",Newfold Digital,3.4,A posting already exists for the role: https://web.wd1.myworkdayjobs.com/ExternalCareerSite/job/Brossard-Quebec/Data-Scientist_R1209. Just tagged this on to…,Montreal,data_scientist
Data Scientist,,"Montréal, QC",Rizing,,"As a data scientist, with experience in Business and People Analytics, you will be responsible helping Rizing and its clients shift to data-driven decision…",Montreal,data_scientist
,,"Montréal, QC",CAA Québec,4.0,Le service Intelligence d’affaires valorise la donnée et développe la connaissance pour contribuer à la définition et à la réalisation d’initiatives d’affaires.,Montreal,data_scientist
Data Scientist – Automated Market Making Team,,"Montréal, QC",Morgan Stanley,3.8,"AMM is made up of software and hardware developers, traders, data scientists and quantitative strategist.
Interest in quantitative work and data analytics.",Montreal,data_scientist
Senior Data Scientist,,"Montréal, QC",Société Générale,3.9,"Strong data engineering skills (Python).
Relevant degree in a data science, computer science or related field.",Montreal,data_scientist
Data Scientist,,"Montréal, QC",National Bank of Canada,3.9,"Advise high-performance data teams and monitor new data enhancement developments and trends.
Reporting to the Analytics Adoption Manager, you will use the…",Montreal,data_scientist
,,"Montréal, QC",BNP Paribas,3.9,"Analytics – must know how to manipulate data and be comfortable with new tools /technologies.
We are looking for a smart, autonomous and energetic intern who…",Montreal,data_analyst
,,"Montréal, QC•Remote",BNP Paribas,3.9,"The candidate will be supporting internal data clients.
Collaborate on projects in a business analyst or project management capacity.
Master’s degree a plus.",Montreal,data_analyst
Delay Analyst,,"Montréal, QC",Systech International,,"As a Delay Analyst, you will be responsible for providing clients with effective and claims advice, based on detailed and thorough forensic examination and…",Montreal,data_analyst
Data Analyst,,"Montréal, QC",SharkNinja,3.2,"Critical thinking and problem-solving skills are essential for interpreting data.
Develop data governance, best practices, and processes with BI Tool vendor.",Montreal,data_analyst
Data Analyst - Latin America,,"Montréal, QC•Remote",Mino Games,,"Promote data-driven decision processes in the whole company.
Generate high-value insights from the data and communicate them in a meaningful way.",Montreal,data_analyst
,,"Montréal, QC",National Bank of Canada,3.9,"Collaborate with data scientists and data visualization experts in order to provide them with suitable data.
Experience in data flow design and development.",Montreal,data_analyst
"Analyst, Data & Analytics – Data Modeler",,"Dorval, QC",Air Canada,3.8,Perform data model consolidation and integration to integrate new silos of organizations source data to the data platform.,Montreal,data_analyst
Qa Analyst,,"Montréal, QC",TELUS International,3.8,"Implement and execute data extraction scripts and validate data integrity.
Compile and analyze statistical data.
Expérience avec le test des API REST.",Montreal,data_analyst
Data Analyst (6 Months),,"Dollard-Des Ormeaux, QC",Brother Canada,3.8,"Experience with big data tools like Apache Spark and Azure.
Migrate databases from local servers into cloud data warehouses (Azure).",Montreal,data_analyst
,,"Montréal, QC",BNP Paribas,3.9,Monitor data quality in the RISK systems and potentially represent RISK GM’s interests for projects that involve data quality improvement.,Montreal,data_analyst
"Data Analyst, Omnia Ai (Cdc)",,"Montréal, QC",Deloitte,4.0,"2+ years of experience in Data related projects like Modeling and ETL processes within Enterprise systems & Modern Analytic platforms: data lake, data warehouse…",Montreal,data_analyst
Data Business Analyst,,"Montréal, QC",BRP,3.9,"Develop deep understanding of the various HR and business processes, data sets and data deliverables.
5+ years of related to business and/or data analyst…",Montreal,data_analyst
"Analyste Des Données, Intelligence Artificielle / Ai Data An...",,"Montréal, QC",CAE Inc.,3.6,"Experience in data warehouse design and implementation with an emphasis on data preparation.
Develop data management tools to support data-driven decision from…",Montreal,data_analyst
