title,salary,location,employer,employer_rating,summary,search_city,search_role
Junior Analyst,,"Ottawa, ON",Paracel Laboratories,3.7,"Assist in collating and tabulating data from experimental scientific research.
Manage and sell to existing client base through client calls and other means to…",Ottawa,data_analyst
,"$72,800 - $86,450 a year","Ottawa, ON•Remote",Canadian Blood Services,3.7,Work with IT and data stakeholders to resolve challenges relating to availability of key Supply Chain data required for analysis and reporting.,Ottawa,data_analyst
Data Analyst (Remote Ottawa Hub),,"Ottawa, ON•Remote",Scotiabank,3.9,"Provide support to data operation teams, resolving data quality and data production issues.
Conducting data discovery, data requirements and gap analysis using…",Ottawa,data_analyst
Geophysicist/Data Analyst,,"Ottawa, ON",Sander Geophysics,3.8,"GPS and altimeter data processing;
Field data acquisition and quality control;
Preparation of data deliveries and technical reports.",Ottawa,data_analyst
Data Scientist,"$95,350 - $116,060 a year","Ottawa, ON",Canadian Security Intelligence Service,4.4,"The candidate must possess seven (7) years of experience in data science, data analytics or data mining.
Experience performing complex data exploitation on…",Ottawa,data_analyst
"Junior Analyst, Atip, Operations (Pm-02)","$61,152 - $65,887 a year","Ottawa, ON",Shared Services Canada,3.5,"Secondary school diploma or an acceptable combination of education, training and/or experience.
EX1: Work experience related to access to information and…",Ottawa,data_analyst
Foreign Language Intelligence Analyst,"$74,823 - $88,028 a year","Ottawa, ON•Temporarily Remote",Communications Security Establishment,3.9,"Experience conducting research, analyzing information/data and writing reports.
Unique within Canada's security and intelligence community, we employ code…",Ottawa,data_analyst
Es-04 Call Letter (Siib),"$87,815 - $105,702 a year","Ottawa, ON•Temporarily Remote",Canada Revenue Agency,4.0,Effective data management and governance will ensure the delivery of quality and reliable data to business intelligence (BI) users and Canadians.,Ottawa,data_analyst
Data Analyst-Tableau Developer,,"Ottawa, ON",Lumentum Operations LLC,3.5,"Developing Python scripts to support data extracts or data integration;
Conducting data analysis and QA to ensure data quality and integrity;",Ottawa,data_analyst
,,"Ottawa, ON",Canada Post - Postes Canada,3.6,"Oversees the collection of data required for various projects and conducts studies or analyses using this data.
Familiarity with working in a union environment.",Ottawa,data_analyst
Title Intern - Security Operations Analyst,,"Ottawa, ON",Cyberoam,,We are constantly looking for ways to revolutionize how security technology interacts with the user; and have a penchant for solving complex and challenging…,Ottawa,data_analyst
Foreign Language Intelligence Analyst (Chinese),"$74,823 - $88,028 a year","Ottawa, ON•Temporarily Remote",Communications Security Establishment,3.9,"Experience conducting research, analyzing information/data and writing reports.
Unique within Canada's security and intelligence community, we employ code…",Ottawa,data_analyst
Etl Data Analyst,,"Ottawa, ON",Fujitsu,3.6,"Prepare data comparison procedures to test the converted data.
Profile and analyze source data and prepare documentation on data normalization and data…",Ottawa,data_analyst
Business Analyst,"$78,800 - $95,870 a year","Ottawa, ON",Canadian Security Intelligence Service,4.4,"Analyzing information and data; and.
The Business Analyst leads key activities including eliciting, analyzing, validating and documenting business,…",Ottawa,data_analyst
,,"Ottawa, ON",Accenture,4.0,"Drive Performance, Analytics, and Improvement, including analyzing the business data, creating internal benchmarking reports and white papers, and recommending…",Ottawa,data_analyst
Data Scientist,"$95,350 - $116,060 a year","Ottawa, ON",Canadian Security Intelligence Service,4.4,"The candidate must possess seven (7) years of experience in data science, data analytics or data mining.
Field of study related to data analytics.",Ottawa,data_scientist
,"$84,000 - $99,000 a year","Ottawa, ON•Remote",Canadian Blood Services,3.7,"Identifies what data is available and relevant, including internal and external data sources, leveraging new data collection processes such as geo-location…",Ottawa,data_scientist
Data Scientist,,"Ottawa, ON",Trend Micro,4.0,"Has experience in data visualization techniques and tools such as d3, seaborn.
Your role will be to design, implement, test, deploy and support high quality…",Ottawa,data_scientist
"It Analyst, Software Solutions","$75,129 - $91,953 a year","Gatineau, QC",Global Affairs Canada,3.9,"Experience performing complex data exploitation on large volumes of data.
Experience in data management or database management such as master data management,…",Ottawa,data_scientist
