title,salary,location,employer,employer_rating,summary,search_city,search_role
Shell Graduate Programme 2022 - Canada,,"Calgary, AB",Shell,3.9,"You have three years or less of relevant work experience.
Your degree is in a Commerce or Business program, with preference for General Business, Marketing,…",Calgary,data_analyst
Evaluation And Data Analyst,,"Calgary, AB",Calgary Foothills Primary Care Network,,"Assist with collecting and organizing data from various databases, patients, and team members ensuring security of the data.
Flex and paid vacation days.",Calgary,data_analyst
Data Analyst,,"Calgary, AB",ROSEN Group,3.8,"In line inspection data assessment;
Integration and confirmation of supplementary data;
The Data Analyst receives pipeline in-line inspection data, checks for…",Calgary,data_analyst
,,"Calgary, AB•Temporarily Remote",Alberta Energy Regulator,3.5,"This could include contract administration, strategic sourcing, P2P data analysis, vendor performance management and market intelligence.",Calgary,data_analyst
Data Governance Analyst,,"Calgary, AB",Neo Financial,4.7,Work with the data governance team to set up a process to search and identify data errors before the data enters enterprise data warehouse.,Calgary,data_analyst
Network Analyst,,"Calgary, AB",CNRL,3.7,"Design, configure and manage multiple data centre technologies.
Provide escalation support for all network support analyst issues.",Calgary,data_analyst
Market Analyst,"$88,853 - $108,098 a year","Calgary, AB",Canada Energy Regulator,,"(Apply) - Regularly uses available data sources and applies new uses to the data.
(Apply) - Regularly interprets raw data sets, drawing inferences about…",Calgary,data_analyst
Microbiology Analyst (Inventory),"$63,302 - $80,094 a year","Calgary, AB",Canadian Food Inspection Agency,4.1,"AEx2: Experience interpreting scientific data.
Evaluates, reviews, and interprets analytical data against standards.
Adherence to the CFIA Code of Conduct.",Calgary,data_analyst
,,"Calgary, AB•Temporarily Remote",Alberta Energy Regulator,3.5,"Ability to use data tools and generate insights from data.
Find and research problems for the data owners and review data quality thoroughly, by record and case…",Calgary,data_analyst
,,"Calgary, AB",AltaGas,3.5,"Create data models, SQL queries, and Power BI reports related to commodity risk data.
Work within ETRM systems or other transactional data systems.",Calgary,data_analyst
Data & Business Insights Analyst,,"Calgary, AB",Canadian Tire Corporation,3.6,"Demonstrated experience in exploratory data analysis and data mining process of large, complex data sets (i.e. “Big Data”).
Familiarity with Hive and SQL.",Calgary,data_analyst
,,"Calgary, AB+1 location",Alberta Health Services,3.8,"; and experience connecting and mapping multiple large disparate data sources into common data structures.
The position develops, supports, and monitors data…",Calgary,data_analyst
Data Analyst,"$70,000 - $80,000 a year","Calgary, AB",WS,,"1-2 years experience in a data analyst position.
Strong understanding of data modeling principles including dimensional modeling, data normalization principles…",Calgary,data_analyst
,,"Calgary, AB",The University of Calgary,4.1,"Review data analysis prior to reporting and document quality controls.
The Department of Physiology and Pharmacology in the Cumming School of Medicine invites…",Calgary,data_analyst
Business Systems Analyst,"$83,900 - $104,900 a year","Calgary, AB•Temporarily Remote",Shawcor,,"System configuration and data migration will be part.
Responsible for data collection, processing, organizing raw data and reporting from the IFS and…",Calgary,data_analyst
Data Scientist,,"Calgary, AB•Remote",MobSquad,,You are familiar with designing experiments and collecting data for the purpose of deriving data analytics insights and solutions.,Calgary,data_scientist
Data Scientist,,"Calgary, AB",White Whale Analytics,,"Strong Knowledge of modern data architecture, data mining, data structures and data cleansing.
The new team member would work within White Whale’s data science…",Calgary,data_scientist
,,"Calgary, AB•Temporarily Remote",Getty Images,3.9,"You will collaborate with engineers to craft reliable data pipelines.
You will apply that understanding to build both internal and external data products.",Calgary,data_scientist
"Data Scientist, Departments Of Paediatrics And Community Hea...",,"Calgary, AB",The University of Calgary,4.1,"This position will address critical gaps in data science expertise in the area of child health.
This position will work on developing, evaluating, and applying…",Calgary,data_scientist
Data Scientist – Search (Contract),,"Calgary, AB",Getty Images,3.9,"Partner closely with other data scientists, data engineers, machine learning engineers, and search engineers to implement and deploy models in production.",Calgary,data_scientist
Senior Data Scientist (Remote),,"Calgary, AB•Remote",Sun Life Financial,3.9,"Demonstrated experience in data transformation & data manipulation.
You are a data scientist who is constantly updating their knowledge of data science state-of…",Calgary,data_scientist
,,"Calgary, AB•Temporarily Remote",Getty Images,3.9,"Guide and mentor other data scientists and data analysts in formulating and implementing our technical roadmap.
Experience solving highly technical problems.",Calgary,data_scientist
,,"Calgary, AB",Microsoft,4.2,"As a Customer Success Account Manager, you are the primary customer facing role responsible for customer success through the management of program deliveries…",Calgary,data_scientist
