title,salary,location,employer,employer_rating,summary,search_city,search_role
Data Analyst,,"Toronto, ON",Jerry,,"Apply technical expertise with quantitative analysis, experimentation, data mining, and the presentation of data to develop strategies for our products.",Mississauga,data_analyst
,,"Toronto, ON",Bolt Logistics,4.4,"A desire to tell stories through data.
Bolt provides a customer-centric and sustainable approach to fulfilment, including reliable warehousing, pick and pack,…",Mississauga,data_analyst
,,"Toronto, ON",Capital One,3.9,"Identify data process improvements and deliver on them.
Design and develop data solutions that provide seamless execution of business intent.",Mississauga,data_analyst
,"$73,728 - $101,510 a year","Toronto, ON",Metrolinx,4.0,"Identifies data needs to develop high-value, actionable reporting and develops processes for identifying and accessing relevant data essential to the…",Mississauga,data_analyst
Profit And Data Analyst,,"Burlington, ON",UNITED PARCEL SERVICE,3.7,"Performs variance analysis to provide data for evaluating business result.
1-2 years as an analyst (preferred).
Performs Financial Analysis and Reporting.",Mississauga,data_analyst
Data Analyst,,"Toronto, ON",Lucova,,"Interpret and define the data needs of business teams.
Experience with data visualization and presentation, including tool sets for supporting this.",Mississauga,data_analyst
,,"Mississauga, ON",PepsiCo,3.8,Role is responsible for managing setup of all new items and corresponding B2B and B2C product attributes in internal data systems and managing the publication…,Mississauga,data_analyst
Data Analyst,,"Mississauga, ON",The Delivery Group,,"Experience with exploratory data analysis.
Experience working with data mining & performing quantitative analysis.
Demonstrates interest in business & product.",Mississauga,data_analyst
Commercial Data Analyst,,"Toronto, ON",Labatt Breweries of Canada,3.1,"Provide subject matter expertise on systems managing reference data including master data systems, data warehouses.
Reporting to the Sr. Manager Nat.",Mississauga,data_analyst
Data Analyst,,"Mississauga, ON",Citi,3.9,"Experience in working with relational / non-relational data bases to turn into insights - Must.
Experience with parsing messages (ex: JSON, XML) and performing…",Mississauga,data_analyst
Microbiology Analyst (Inventory),"$63,302 - $80,094 a year","Toronto, ON",Canadian Food Inspection Agency,4.1,"AE2: Experience interpreting scientific data.
Evaluates, reviews, and interprets analytical data.
Indeterminate, Specified Period, Deployment, Acting.",Mississauga,data_analyst
Research Analyst Intern - Summer 2022,,"Toronto, ON","The Brattle Group, Inc.",,"Undergraduates working towards a Bachelor’s degree in a quantitative discipline (e.g. economics, math, finance, engineering, data science, etc.) with strong…",Mississauga,data_analyst
Data Analyst,,"Toronto, ON",Basis Technologies,,"Working knowledge about best practices and professional expertise performing data manipulation, extracting data from big data systems, feature engineering and…",Mississauga,data_analyst
,,"Toronto, ON",Toronto Transit Commission,4.0,"Running data validation routines to correct data and ensuring that data is properly matched, accurate, complete and balanced.",Mississauga,data_analyst
Data Support Sr Analyst,,"Toronto, ON",Bank of America,3.8,"Evidence of an interest in data and data analysis desirable.
Identify opportunities and suggest solutions to improve data quality and business processes.",Mississauga,data_analyst
,,"Brampton, ON+1 location•Remote",Loblaw Companies Limited,3.5,The incumbent will be responsible for conducting analyses and developing impactful models to help solve a wide variety of data science problems.,Mississauga,data_scientist
,,"Toronto, ON",NielsenIQ,,"Take analytical objectives and define data requirements.
Hands-on data extraction and reporting off customer database.",Mississauga,data_scientist
Data Scientist,"$110,000 - $130,000 a year","Toronto, ON•Remote",Tiger Analytics Inc.,,"Research and document data requirements, data collection and administration policy, and data access rules.
Collect and document user's requirements.",Mississauga,data_scientist
Data Scientist,,"Toronto, ON",Electronic Arts,3.8,"Collect, clean, manage, analyze, and visualize large sets of data using multiple data platforms, tools and techniques.
As a Data Scientist you will.",Mississauga,data_scientist
,,"Toronto, ON",Capital One,3.9,"Design and develop data pipelines and visualizations to monitor model performance and data quality.
Experience building and maintaining data pipelines.",Mississauga,data_scientist
Data Scientist,,"Toronto, ON•Temporarily Remote",Thinking Capital,3.2,Use your quantitative mindset to direct the implementation of solutions informed through everything ranging from data quality investigations and adjustments to…,Mississauga,data_scientist
,,"Toronto, ON•Remote",Shopify,3.9,"Experience creating data product strategies, data products, iterating after launch, and trying again.
7-10 years of commercial experience in a data science role…",Mississauga,data_scientist
Data Scientist,,"Toronto, ON",Ex Libris,,"Good understanding of a broad spectrum of methods and disciplines in data and analytics, especially skilled in at least one of these fields: machine learning,…",Mississauga,data_scientist
Data Scientist,,"Toronto, ON•Remote",Dataiku,,An ideal candidate is comfortable learning complex new technologies and modeling techniques while being able to explain their work to other data scientists and…,Mississauga,data_scientist
Data Scientist,,"Toronto, ON",CakeAI,,"Explore customer data to uncover insights using data mining and analytic skills.
Training and tuning modern machine learning and AI algorithms to maximize…",Mississauga,data_scientist
Associate Data Scientist,,"Toronto, ON",Manulife,4.0,"In-house Kaggle-style data science competitions.
Must be proficient in programming (Python), algorithms and data structures.",Mississauga,data_scientist
,,"Toronto, ON•Remote",Shopify,3.9,"Masterful data storytelling and strategic thinking.
Influence leadership to drive more data-informed decisions.
Deep understanding of advanced SQL techniques.",Mississauga,data_scientist
"Data Scientist, Nmr",,"Toronto, ON•Remote",Synex Medical,,"This is a full-time position.
We're developing a miniaturized health monitor that can measure critical blood metabolites non-invasively.",Mississauga,data_scientist
Data Scientist,,"Toronto, ON",Clarivate Analytics,,"Good understanding of a broad spectrum of methods and disciplines in data and analytics, especially skilled in at least one of these fields: machine learning,…",Mississauga,data_scientist
Data Scientist,,"Toronto, ON•Remote",sharethrough,,"Present findings to data scientists and product managers to influence product roadmaps.
Work with our data engineering team to make the data needed for your…",Mississauga,data_scientist
"Analyst, Customer Insights",,"Mississauga, ON",Walmart Canada,3.5,"5 Have breadth of working knowledge of different data sources (market share, sales, data, and research) to consolidate across multi data sources into impactful…",Mississauga,data_analyst
Music Insights Analyst,,"Toronto, ON",TikTok,,"Work closely with internal data teams to unlock new data points, dashboards, and content insights.
Help to troubleshoot and resolve data issues.",Mississauga,data_analyst
,,"Toronto, ON",East Side Games,,"The ability to tell a convincing story with data.
Be a key bridge between data, game design, and the business through the creation of reports and dashboards,…",Mississauga,data_analyst
,,"Toronto, ON",BMO Financial Group,3.8,"Partners with designers, data engineers, data scientists and agile development teams to define and deliver products with a focus on user experience.",Mississauga,data_analyst
Market Intelligence Analyst,"$50,000 - $80,000 a year","Mississauga, ON",Snappay Inc.,3.6,"Conduct surveys and analyze data on the buying habits and preferences of wholesale and retail consumers.
Develop social and economic profiles of urban and rural…",Mississauga,data_analyst
Database Analyst,$42 an hour,"Mississauga, ON",EPIC - Educational Program Innovations Center,,"Research and document data requirements, data collection and administration policy, and data access rules.
Operate database management systems to analyze data.",Mississauga,data_analyst
Data Analyst,,"Toronto, ON•Remote",Veeva Systems,,"Derive meaningful and impactful insights from the data, and communicate possibilities unearthed through data.
2+ years of hands-on data analysis experience.",Mississauga,data_analyst
Business Analyst,"$71,284 - $90,301 a year","Toronto, ON",Ryerson University,4.4,"Knowledge of various software applications used to track and report financial data.
You will also advise internal and external clients on how to handle project…",Mississauga,data_analyst
Equity Data Analyst,,"Toronto, ON",Morningstar,3.9,"Comprehension of the fundamentals of databases and data flows.
We are currently seeking an Equity Data Analyst (entry level) to join the CPMS product line of…",Mississauga,data_analyst
,,"Mississauga, ON•Remote",Mother Parkers Tea & Coffee,3.3,Strong SQL and relational data base concepts – required for testing and validating data against identified data sources.,Mississauga,data_analyst
