title,salary,location,employer,employer_rating,summary,search_city,search_role
,,"Winnipeg, MB",SkipTheDishes,2.9,"We're looking for an experienced analyst to turn insights into actions.
Present the story behind the data and help drive business decisions that will make an…",Winnipeg,data_analyst
Data Analyst - Repost,$21.41 an hour,"Winnipeg, MB",Deer Lodge Centre,4.0,"Three years in the management of databases, data entry, the maintenance and cleaning of data, and working with professional teams to collect data and create…",Winnipeg,data_analyst
Data Analyst,,"Winnipeg, MB",SkipTheDishes,2.9,"Some experience in using R or Python for data analysis.
Reporting: You will be creating reports that will provide data and insights directly to our restaurant…",Winnipeg,data_analyst
,,"Winnipeg, MB",SkipTheDishes,2.9,"Lead / take ownership of data-related products - e.g., building report dashboards to support the new launches and /or providing close support of business line…",Winnipeg,data_analyst
,,"Winnipeg, MB",Manitoba Public Insurance,4.2,"Advance knowledge of data analytics applications e.g. Tableau, Business Objects.
Analyze current reporting applications and/or data warehouses through review of…",Winnipeg,data_analyst
,,"Winnipeg, MB",The North West Company,3.9,Supply first line support of PC based infrastructure and assist in the identification and resolution of any problems or maintenance issues related to our POS…,Winnipeg,data_analyst
,,"Winnipeg, MB",Emergent Biosolutions,3.2,"Able to interpret analytical data.
Perform routine laboratory procedures including analyzing and reviewing data.
ANALYST I, QC LABORATORY SERVICES (CANADA).",Winnipeg,data_analyst
,,"Winnipeg, MB",Princess Auto,3.3,"Comprehension of data exchange structures such as XML, JSON.
Ensuring that technology deployments contain no errors by analyzing development data.",Winnipeg,data_analyst
Nfi Parts - Data Analyst - 1 Year Term,,"Winnipeg, MB",NFI,,"Support project requests for data.
Ensure critical data extracts are valid and accurate.
Support the creation of annual budgets through data queries.",Winnipeg,data_analyst
Intern - It Service Request Analyst (Summer 2022),,"Winnipeg, MB",IG Wealth Management,3.6,"Ability to analyze and interpret data.
Engage with technology teams to complete analysis and investigation tasks that contribute to solution delivery.",Winnipeg,data_analyst
,,"Winnipeg, MB",Altus Group,2.6,"Collect data and prepare an analysis.
You will conduct research and enter data accurately.
You will be responsible for collecting, analyzing, and organizing…",Winnipeg,data_analyst
"Senior Policy Analyst, Multiculturalism","$65,288 - $82,064 a year","Winnipeg, MB",Manitoba Government,3.6,"Engaging regularly on key initiatives with the Executive Director, Strategic Policy Branch and reporting to the Director, Culture and Sport Policy Development,…",Winnipeg,data_analyst
,,"Winnipeg, MB",Emergent Biosolutions,3.2,"A strong working knowledge of data integrity principles and use of risk assessment methodology is required.
Responsible for reviewing and approving supporting…",Winnipeg,data_analyst
Business Analyst – North Star Air,,"Winnipeg, MB",The North West Company,3.9,"Providing data-driven models and analysis that informs management decision making for all levels of the business;
Creating and maintaining routine KPI reports;",Winnipeg,data_analyst
Junior Gis Analyst,,"Winnipeg, MB",Stantec,3.7,"Supporting project deliverables through map production and data analysis/summaries.
Intermediate level of knowledge of ArcGIS tools including data-driven pages,…",Winnipeg,data_analyst
Winnipeg - R&D Data Scientist,"$70,000 - $80,000 a year","Winnipeg, MB",Rubicon HR Canada,,"The job is an English-speaking position, but French-speaking would be a bonus.
For over five years they have been a growing and innovating enterprise in the TMS…",Winnipeg,data_scientist
Operations Reporting Analyst,,"Winnipeg, MB",SkipTheDishes,2.9,"Have 1-2 year experience in data analytics.
Optimize, build, and maintain data pipeline.
Interpret and utilize data to optimize the needs of our team and Skip…",Winnipeg,data_analyst
Business Systems Analyst,,"Winnipeg, MB",Canada Life Assurance Company,,"In conjunction with development staff, is responsible to plan and analyze data structures for internal and vendor business systems.",Winnipeg,data_analyst
Solution Analyst,,"Winnipeg, MB•Remote",Wawanesa,3.5,"Effective analysis and problem solving skills for collecting data to analyze options.
The role contributes to Wawanesa success by designing, documenting,…",Winnipeg,data_analyst
Tactical Analyst,,"Winnipeg, MB",Bison Transport,3.4,"Ability to extract data, summarize it and create visuals.
Working directly with business leaders to drive improved results from data analysis, including…",Winnipeg,data_analyst
New Flyer - Financial Analyst Costing,,"Winnipeg, MB",NFI,,"Analyze information and work with data owners to maximize shareholder returns.
Support the Transit Bus Business by providing data analysis for performance…",Winnipeg,data_analyst
Business Analyst,,"Winnipeg, MB•Remote",Bird Construction,4.0,"Direct knowledge of database management, various data retrieval methodologies (including data importing to spreadsheets, graphs, etc.) and data modeling.",Winnipeg,data_analyst
,,"Winnipeg, MB",Canada Life Assurance Company,,"Support existing data owners in their data management practices ensuring single source of truth.
4+ years experience in data management / performance analysis.",Winnipeg,data_analyst
"Senior Analyst, Insurance Data & Technology",,"Winnipeg, MB",IG Wealth Management,3.6,"As a data steward, ensuring that insurance data is validated, updated and solutions are prioritized as well as working in partnership with 3rd party vendors and…",Winnipeg,data_analyst
Financial Analyst,,"Winnipeg, MB",Loblaw Companies Limited,3.5,"Experience in handling very large amounts of data for reconciliation and reporting.
As a Finance Analyst in Vendor Services, you will have an opportunity to be…",Winnipeg,data_analyst
Web Analyst (Google Analytics),,"Winnipeg, MB",Ashley Homestore Canada - The Dufresne Group,3.3,"Experience creating meaningful data visualizations, reports and dashboards for stakeholders based on data from various sources using tools like Power BI or…",Winnipeg,data_analyst
