title,salary,location,employer,employer_rating,summary,search_city,search_role
Data & Analytics - Senior Data Analyst,,"Vancouver, BC",Aritzia,3.4,The mission of the Analytics Department is to provide the business with actionable and accurate information to enable data-driven decision-making.,Vancouver,data_analyst
Data Analyst,,"Vancouver, BC",Jerry,,"Apply technical expertise with quantitative analysis, experimentation, data mining, and the presentation of data to develop strategies for our products.",Vancouver,data_analyst
,,"Vancouver, BC",Central 1 Credit Union,2.7,"Provide support to the senior analyst to address issues, identify efficiencies and drive process improvements – (senior analyst will be direct line manager).",Vancouver,data_analyst
Data Analyst,,"Vancouver, BC•Temporarily Remote",MasterCard,4.1,"Strong data analysis and data modeling skills;
Experience dealing with large data sets;
Intermediate level of data analysis and reporting experience in…",Vancouver,data_analyst
,"$72,083 - $82,381 a year","Vancouver, BC",VGH & UBC Hospital Foundation,4.0,"Strong attention to detail and accuracy - someone that loves data, reporting, data governance etc.
Uses the DW to develop a comprehensive set of data management…",Vancouver,data_analyst
Data Analyst,,"Vancouver, BC",Plenty of Fish,4.2,"Collaborate with product management, software and data engineering, data science and other analysts to share and develop knowledge.
It's a bonus if you have..",Vancouver,data_analyst
Data Analyst,,"Burnaby, BC",Raymond James Financial,3.8,"Acquire data from primary or secondary data sources and maintain databases and data systems;
Profile data sources using SQL and other data discovery tools in…",Vancouver,data_analyst
Data Research Analyst (Temporary),,"Vancouver, BC",LandSure Systems,,"Conduct ETL across data platforms, data mining and querying.
Conduct data analytics, quantitative analysis and machine learning with a focus on delivering value…",Vancouver,data_analyst
Marketing Data Analyst,,"Vancouver, BC",System1,,Intermediate to advanced SQL for querying large data sets; familiarity with data warehouses such as Snowflake and AWS is a plus.,Vancouver,data_analyst
Data Analyst - Sports Analytics,,"Vancouver, BC",Electronic Arts,3.8,"Understanding of data modelling, design and architecture principles and techniques across master data, transaction data and derived data.",Vancouver,data_analyst
Data Analyst,,"Richmond, BC",HKJ Marketing,,"Perform large data set analysis that can generate actionable findings.
Excellent SQL skills; extensive experience querying large and complex data sets.",Vancouver,data_analyst
Capacity Analyst,,"Vancouver, BC",Cornershop Inc.,3.6,"Analyze data and work to increase efficiencies for our shoppers.
Central Ops oversees everything we need as a company to function and ensures that orders can be…",Vancouver,data_analyst
"Data Analyst, People Insights",,"Vancouver, BC•Remote",Mark Anthony Group Inc.,,"Establish priority data sets and ensure data integrity and accuracy is sustained.
Use of HR data and systems would be an asset.",Vancouver,data_analyst
New Grad Jobs (2021),,"Burnaby, BC",Fortinet,3.7,Competitive salaries and stock/RSU.,Vancouver,data_analyst
Quality Data Analyst,,"North Vancouver, BC",Vancouver Shipyards,3.5,Experience leveraging emerging data analysis and data science tools such as DataBricks or Anaconda/Jupyter is an asset.,Vancouver,data_analyst
Data & Applied Sciences: Intern Opportunities,,"Vancouver, BC",Microsoft,4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,Vancouver,data_scientist
